editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
JRLucienDaedric,JRLucienDaedric,470,Declared he would read the Oghma Infinium.,forbidden_knowledge,Julianos,+,m,small,"s470 journal: "";The player has said they will read the Oghma Infinium"" cross-gen KEEP: forbidden_knowledge(m) from the Julianos Part B profile, stepped down.",Lucien.esp:0D0385
JRLucienDaedric,JRLucienDaedric,470,Declared he would read the Oghma Infinium.,forbidden_knowledge,Magnus,+,m,small,"s470 journal: "";The player has said they will read the Oghma Infinium"" cross-gen KEEP: forbidden_knowledge(m) from the Magnus Part B profile, stepped down.",Lucien.esp:0D0385
JRLucienDaedric,JRLucienDaedric,470,Declared he would read the Oghma Infinium.,forbidden_knowledge,Hermaeus Mora,+,S,small,"s470 journal: "";The player has said they will read the Oghma Infinium"" cross-gen KEEP: forbidden_knowledge(C) from the Hermaeus Mora Part B profile, stepped down.",Lucien.esp:0D0385
JRLucienDaedric,JRLucienDaedric,470,Declared he would read the Oghma Infinium.,forbidden_knowledge,Vaermina,+,m,small,"s470 journal: "";The player has said they will read the Oghma Infinium"" cross-gen KEEP: forbidden_knowledge(m) from the Vaermina Part B profile, stepped down.",Lucien.esp:0D0385
JRLucienDaedric,JRLucienDaedric,480,Refused to read the Oghma Infinium and turned away Hermaeus Mora's gift.,destroy_reject_daedra:hermaeusmora,Stendarr,+,m,small,"s480 journal: "";The player has said they will not read the Oghma Infinium."" cross-gen KEEP: destroy_reject_daedra:hermaeusmora(S) from the Stendarr Part B profile, stepped down.",Lucien.esp:0D0385
JRLucienDragon,JRLucienDragon,10,Reassured a frightened Lucien that he would be safe before the dragon fight.,heal_comfort,Mara,+,S,small,"s10 journal: "";Off to fight the dragon - told Lucien he would be safe."" cross-gen KEEP: heal_comfort(C) from the Mara Part B profile, stepped down.",Lucien.esp:0987A1
JRLucienDragon,JRLucienDragon,10,Reassured a frightened Lucien that he would be safe before the dragon fight.,heal_comfort,Dibella,+,m,small,"s10 journal: "";Off to fight the dragon - told Lucien he would be safe."" cross-gen KEEP: heal_comfort(S) from the Dibella Part B profile, stepped down.",Lucien.esp:0987A1
JRLucienDragon,JRLucienDragon,10,Reassured a frightened Lucien that he would be safe before the dragon fight.,heal_comfort,Kynareth,+,m,small,"s10 journal: "";Off to fight the dragon - told Lucien he would be safe."" cross-gen KEEP: heal_comfort(m) from the Kynareth Part B profile, stepped down.",Lucien.esp:0987A1
JRLucienDragon,JRLucienDragon,10,Reassured a frightened Lucien that he would be safe before the dragon fight.,heal_comfort,The Hist,+,m,small,"s10 journal: "";Off to fight the dragon - told Lucien he would be safe."" cross-gen KEEP: heal_comfort(m) from the The Hist Part B profile, stepped down.",Lucien.esp:0987A1
JRLucienDragon,JRLucienDragon,20,Killed a dragon in open combat alongside Lucien.,kill_honorable_combat,Talos,+,m,small,"s20 journal: "";Killed first dragon with Lucien."" cross-gen KEEP: kill_honorable_combat(S) from the Talos Part B profile, stepped down.",Lucien.esp:0987A1
JRLucienDragon,JRLucienDragon,20,Killed a dragon in open combat alongside Lucien.,kill_honorable_combat,Kyne,+,m,small,"s20 journal: "";Killed first dragon with Lucien."" cross-gen KEEP: kill_honorable_combat(S) from the Kyne Part B profile, stepped down.",Lucien.esp:0987A1
