editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,heal_comfort,Mara,+,S,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: heal_comfort(C) from the Mara Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,heal_comfort,Dibella,+,m,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: heal_comfort(S) from the Dibella Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,honor_the_wild,Kynareth,+,S,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: honor_the_wild(C) from the Kynareth Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,honor_the_wild,Kyne,+,m,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: honor_the_wild(S) from the Kyne Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,honor_the_wild,Y'ffre,+,m,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: honor_the_wild(S) from the Y'ffre Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,honor_the_wild,Khenarthi,+,m,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: honor_the_wild(m) from the Khenarthi Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,honor_the_wild,The Hist,+,m,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: honor_the_wild(S) from the The Hist Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (healed the Heart),100,Made the priest's remedy and healed the living Heart in Ever-Bog,honor_the_wild,Hircine,+,m,small,"B03 tier A terminal: the act is at s60 'The remedy seemed to have worked when applied to the heart', and s100 is its CompleteQuest resolution after reporting to Gwilym. s11 establishes the fork explicitly: 'I can choose to make the remedy or the poison.' cross-gen KEEP: honor_the_wild(m) from the Hircine Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (poisoned the Heart),110,Made Vinillian's poison instead and killed the living Heart of Ever-Bog for payment,defile_nature,Kynareth,-,S,small,"B03 tier A terminal: the act is at s61 'The poison seemed to have worked when applied to the heart', and s110 is its CompleteQuest resolution: 'After returning to Vinillian, he paid me and told me to be on my way.' Rejected generic reads: honest_labor_trade is NOT applied - being paid for it does not make poisoning a living thing honest work, and tagging it so would have Zenithar approve of the branch Kynareth condemns. cross-gen KEEP: defile_nature(C) from the Kynareth Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
aaaHOTRQuest,Heart Of The Reach (poisoned the Heart),110,Made Vinillian's poison instead and killed the living Heart of Ever-Bog for payment,defile_nature,Kyne,-,S,small,"B03 tier A terminal: the act is at s61 'The poison seemed to have worked when applied to the heart', and s110 is its CompleteQuest resolution: 'After returning to Vinillian, he paid me and told me to be on my way.' Rejected generic reads: honest_labor_trade is NOT applied - being paid for it does not make poisoning a living thing honest work, and tagging it so would have Zenithar approve of the branch Kynareth condemns. cross-gen KEEP: defile_nature(C) from the Kyne Part B profile, stepped down.",HeartOfTheReach.esp:0B9E71
