property,race,routed,esp_exists,esp_item_count,manifest_approved_fills,manifest_fills_missing_in_esp,esp_undeclared_items,e2e_verdict,e2e_failing_step,ledger_shell_claim,verdict,findings
PDV_FLST_P2_AltmerAurielSources,Altmer,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_AltmerLorkhanPenalties,Altmer,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_AltmerMagnusSources,Altmer,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_AltmerXarxesSources,Altmer,yes,yes,3,3,0,0,GREEN,,no,OK,
PDV_FLST_P2_ArgonianCommunitySources,Argonian,yes,yes,3,3,0,0,GREEN,,no,OK,
PDV_FLST_P2_ArgonianHistSources,Argonian,yes,yes,4,4,0,0,GREEN,,no,OK,
PDV_FLST_P2_ArgonianSithisSources,Argonian,yes,yes,4,4,0,0,GREEN,,no,OK,
PDV_FLST_P2_BosmerBaanDarSources,Bosmer,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_BosmerYffreSources,Bosmer,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_BosmerZenSources,Bosmer,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_BretonGreenWayHarvests,Breton,yes,yes,4,4,0,0,GREEN,,no,OK,
PDV_FLST_P2_BretonGreenWaySources,Breton,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_BretonHiddenArtSources,Breton,yes,yes,3,3,0,0,GREEN,,no,OK,
PDV_FLST_P2_BretonHiddenArtSpells,Breton,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_BretonKnightsRoadSources,Breton,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_BretonVowSources,Breton,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_DunmerAzuraSources,Dunmer,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_DunmerBoethiahSources,Dunmer,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_DunmerDeviationSources,Dunmer,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_DunmerMephalaSources,Dunmer,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialCivicSources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialDeathDutySources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialHonestWorkSources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialLawfulOrderSources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialMercySources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialPatronCivicSources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialPrivateTalosSources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialPublicServiceSources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_ImperialPublicTalosSources,Imperial,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_KhajiitFocusedSources,Khajiit,yes,yes,3,3,0,0,GREEN,,no,OK,
PDV_FLST_P2_KhajiitLunarSources,Khajiit,yes,yes,5,5,0,0,GREEN,,no,OK,
PDV_FLST_P2_NordHircineArkaySources,Nord,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_NordKyneTalosSources,Nord,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_NordOldWaysSources,Nord,yes,yes,3,3,0,0,GREEN,,no,OK,
PDV_FLST_P2_OrcMalacathSources,Orc,yes,yes,2,2,0,0,GREEN,,no,OK,
PDV_FLST_P2_RedguardAshAbahSources,Redguard,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_RedguardCrownSources,Redguard,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_RedguardForebearSources,Redguard,yes,yes,1,1,0,0,GREEN,,no,OK,
PDV_FLST_P2_RedguardSpineSources,Redguard,yes,yes,1,1,0,0,GREEN,,no,OK,
