input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
0967180acddc7687,A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - JKs Dragonsreach.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - JKs Dragonsreach.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
3e9c51d7c8a4aee8,A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - JKs Palace of the Kings.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - JKs Palace of the Kings.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
f00343c28c889712,A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - LotD Wayward Rest.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - LotD Wayward Rest.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
1cd11be3b96b0e4a,A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - Sarethi Farm.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - Sarethi Farm.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
c43409bcde7a228d,A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - CC Fishing Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - CC Fishing Patch.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
836abfc44570eb95,A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - CFTO Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - CFTO Patch.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
164d50367f3685f2,A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - GG's Thieves Guild Headquarters Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - GG's Thieves Guild Headquarters Patch.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
ecc85716db555456,A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - JK's Riften Outskirts - GG's Thieves Guild Headquarters.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - JK's Riften Outskirts - GG's Thieves Guild Headquarters.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
f30ae3a3b603357f,A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - JK's Riften Outskirts.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - JK's Riften Outskirts.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
a32f63e3f4afbf5b,A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - JK's The Pawned Prawn Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - JK's The Pawned Prawn Patch.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,NO-ROWS,"Primary review: duplicate cleaned source, controller/configuration/dialogue-only surface, or zero-QUST plugin; any non-quest signal remains in the separate signal audit.",Declared masters unavailable in current MO2 install; structural no-QUST result recorded; no semantic inference.,REJECTED
