race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Clavicus Vile,Boon -- Seeker (Tier 1),10,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Bless_Daedric_Vile_Seeker,Boon description,Quiet,Narrator,140,200,129,,Passive blessing description; visible whenever the player views active effects.,Vile's transactional edge is yours. Favorable terms come a little more often; the deal that should fall through somehow does not.,
Clavicus Vile,Boon -- Devoted (Tier 2),11,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Bless_Daedric_Vile_Devoted,Boon description,Quiet,Narrator,140,200,106,,Passive blessing description; visible whenever the player views active effects.,Vile's contract deepens. Favorable turns come more reliably; the bargain you should not win goes your way.,
Clavicus Vile,Boon -- Champion (Tier 3),12,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Bless_Daedric_Vile_Champion,Boon description,Quiet,Narrator,140,200,135,,Passive blessing description; visible whenever the player views active effects.,"Vile names you his preferred client. Favorable terms become your default; loopholes open before you, and the deals bend your direction.",
Clavicus Vile,Price -- Seeker (Tier 1),20,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Price_Daedric_Vile_Seeker,Price description,Quiet,Narrator,140,200,136,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the bargain: Vile's terms have fine print. What you get is real; what it costs is also real, and the invoice arrives later.",
Clavicus Vile,Price -- Devoted (Tier 2),21,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Price_Daedric_Vile_Devoted,Price description,Quiet,Narrator,140,200,126,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price deepens: exploitative terms. Vile's contracts tighten; the backlash when a deal turns arrives harder than it should.,
Clavicus Vile,Price -- Champion (Tier 3),22,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Price_Daedric_Vile_Champion,Price description,Quiet,Narrator,140,200,173,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: you are the preferred client, which means Vile takes interest in what you do with the terms. The favors are real. The dependencies they create are also real.",
Clavicus Vile,Tier-up -- Seeker,30,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Notif_Daedric_Vile_SeekerEntry,Notification,Noted,Narrator,60,80,55,,HUD corner notification. One per save.,Vile acknowledges you as a Seeker. The terms look good.,
Clavicus Vile,Tier-up -- Devoted,31,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Notif_Daedric_Vile_DevotedEntry,Notification,Marked,Narrator,60,80,42,,HUD corner notification. One per save.,Vile's contract deepens its hold. Devoted.,
Clavicus Vile,Tier-down (lapse),32,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Notif_Daedric_Vile_Lapse,Notification,Noted,Narrator,60,80,52,,HUD corner notification. One per direction per save.,Vile's interest cools. The favorable terms withdraw.,
Clavicus Vile,Champion recognition (MessageBox),33,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_ChampionEntry,MessageBox,Marked,God-voice,280,500,23+283,,MessageBox. One-time on first Champion tier.,"Title: ""Vile's Preferred Client"" Body: ""You have done this three times -- asked for something, accepted the terms, and not complained about the fine print afterward. That is rare. Most patrons I prefer have the good sense not to re-read what they agreed to. You are my preferred client. Enjoy the terms. They are very good.""",
Clavicus Vile,Commitment / pact (the gate clears),40,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Commitment,MessageBox,Marked,God-voice,280,500,15+256,,MessageBox. Fires once when the commitment gate clears.,"Title: ""Vile's Contract"" Body: ""Three times you made the deal and paid the price without disputing the terms. Most mortals try to renegotiate at least once. The commitment is registered: preferred client access, and the most interesting obligations that come with it. Read them carefully.""",
Clavicus Vile,Stigma -- Suspected,50,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Notif_Daedric_Vile_Stigma_Suspected,Notification,Noted,Narrator,60,80,69,,HUD corner notification. On entering Suspected.,Vile's dealings in you are suspected. Favorable outcomes draw notice.,
Clavicus Vile,Stigma -- Known,51,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Notif_Daedric_Vile_Stigma_Known,Notification,Noted,Narrator,60,80,74,,HUD corner notification. On entering Known.,Your deal with Vile is known. His clients share the contract's reputation.,
Clavicus Vile,Stigma -- Notorious,52,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Notif_Daedric_Vile_Stigma_Notorious,Notification,Marked,Narrator,60,80,72,,HUD corner notification. On entering Notorious.,You are openly Vile's client. People know what his preferred terms cost.,
Clavicus Vile,Drifting away (neglect),60,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Notif_Daedric_Vile_NeglectTexture,Notification,Noted,Player-2nd,60,80,66,,HUD corner notification. One per lapse-band crossing.,You stop making deals. Vile's favor cools; the obligations remain.,
Clavicus Vile,Renunciation (exit),61,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Exit,MessageBox,Marked,God-voice,280,500,14+274,,MessageBox. Fires once on renunciation; residue persists.,"Title: ""Vile's Discard"" Body: ""You are ending the contract? That is your right -- the terms allowed for it. The favorable edge withdraws, and the outstanding obligations resolve themselves, usually in ways that feel slightly worse than you would prefer. Vile finds the whole thing amusing. He always does.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Nord,MessageBox,Marked,Narrator,280,500,27+272,,MessageBox. One-time on a Nord committing.,"Title: ""Shortcuts Dishonor the Deed"" Body: ""For a Nord, Vile's shortcuts dishonor the deed -- the thing earned through honest struggle is the thing that counts. A deal that delivers the outcome without the work is a lie about who did it. The path corrodes Nord honor; leaving asks sincere cleansing and recommitment.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Imperial,MessageBox,Marked,Narrator,280,500,20+270,,MessageBox. One-time on an Imperial committing.,"Title: ""Against Civic Virtue"" Body: ""For an Imperial, Vile's exploitative contracts strain the civic virtue that holds the Empire together -- a deal that deceives the other party is anti-law by design. The Divines favor the honest contract; Vile profits on the dishonest one. Setting it down is abandonment.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Breton,MessageBox,Marked,Narrator,280,500,29+223,,MessageBox. One-time on a Breton committing.,"Title: ""Contract Magic, Careful Terms"" Body: ""A Breton reads Vile immediately -- contract-magic and the hedge bargain are part of the Breton inheritance. The risk is exposure: a Breton can keep the contract covered, but renunciation is the cleaner option once it grows.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Dunmer,MessageBox,Marked,Narrator,280,500,26+248,,MessageBox. One-time on a Dunmer committing.,"Title: ""Exile Temptation, Not Core"" Body: ""A Dunmer in exile may be tempted by Vile's deals -- the power of a contract when you have nothing is real. But Vile is not the Reclamations, and bargain-logic does not replace House duty or ancestor-debt. The path is foreign; abandonment is direct.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Altmer,MessageBox,Marked,Narrator,280,500,27+258,,MessageBox. One-time on an Altmer committing.,"Title: ""Deal-With-Power Is Apostasy"" Body: ""For an Altmer, Vile's deal-with-power violates Aldmeri orthodoxy -- the Altmer project is Apotheosis through disciplined refinement, not a contract with an opportunistic Daedra. Absolution is difficult and requires dismantling the contract's remaining terms.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Khajiit,MessageBox,Marked,Narrator,280,500,20+274,,MessageBox. One-time on a Khajiit committing.,"Title: ""Not Rajhin's Cunning"" Body: ""A Khajiit may see the trickster shape in Vile -- the loophole found, the deal well made. But Vile is not Rajhin; the contract is not road-wisdom, and following Vile does not honor the clever ancestor. The overlap is surface-level; the path is foreign. Abandonment is direct.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Bosmer,MessageBox,Marked,Narrator,280,500,24+231,,MessageBox. One-time on a Bosmer committing.,"Title: ""Bargain Cunning, No Root"" Body: ""A Bosmer has no deep conflict with deal-making -- Baan Dar respects cunning. But Vile is not Baan Dar, and deal-cunning for Vile's sake is not the native trickster lane. The path has no root; it is set down when it runs its course.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Redguard,MessageBox,Marked,Narrator,280,500,23+273,,MessageBox. One-time on a Redguard committing.,"Title: ""Contracts Without Honor"" Body: ""For a Redguard, contracts matter -- the Yokudan world was built on agreements that held. But Vile corrupts the contract; his terms exploit, and a deal-maker who profits on ignorance is a covenant-breaker. Renunciation requires restoring the terms of any deal Vile arranged.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Orc,MessageBox,Marked,Narrator,280,500,22+246,,MessageBox. One-time on an Orc committing.,"Title: ""Against the Plain Oath"" Body: ""An Orc in exile may be drawn to Vile's bargains -- the favorable deal is tempting. But Malacath's code is the plain oath, not the fine-print contract. Vile's terms strain the code because they produce uneven results; renounce through consequence.""",
Clavicus Vile,Per-race response (on commitment),70,"Clavicus Vile (Daedric path): Cheerful, contractual, deliberately vague on the terms; the god of deals and wishes who speaks with the satisfied pleasantness of someone who has already gotten the better end; his register is friendly and almost helpful -- the trap is always in the fine print, and he never points it out; distinct from Nocturnal's oath-debt and Sanguine's indulgence: Vile offers what you want, and the cost is the thing you forgot to read.",PDV_Msg_Daedric_Vile_Response_Argonian,MessageBox,Marked,Narrator,280,500,27+256,,MessageBox. One-time on an Argonian committing.,"Title: ""Tempting in Exile, Not Hist"" Body: ""To an Argonian, Vile is foreign -- tempting in exile, but the Hist does not bargain with power; it breathes together. Vile's contract is no substitute for the substrate. The path is abandoned; the Hist does not hold the absence against the one who returns.""",
