editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
DA15,The Mind of Madness,200,Help Sheogorath return; the Wabbajack,sow_chaos_madness,Akatosh,-,S,small,"cross-gen candidate: sow_chaos_madness(S) from the Akatosh Part B profile, stepped down; REVIEW before promotion; reviewed A1"
MG01,First Lessons,200,Entered the College and took up disciplined study,disciplined_study,Akatosh,+,m,small,"cross-gen candidate: disciplined_study(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion; reviewed A1"
MG08,The Eye of Magnus,200,Contained the Eye and preserved what could be known of it,disciplined_study,Akatosh,+,m,small,"cross-gen candidate: disciplined_study(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion; reviewed A1"
FreeformKolskeggrA,Kolskeggr Mine (reclaim),200,Drove the Forsworn from Kolskeggr so Pavo and the miners could return to honest work,uphold_law_justice,Akatosh,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion; reviewed A1"
TG08A,Trinity Restored,57,Take the Nightingale Oath to Nocturnal,keep_oath,Akatosh,+,S,small,conflict adjudication: keep_oath(S) dominates serve_a_daedra:nocturnal(m) for Akatosh -- an explicit oath-taking act outweighs incidental Daedra service; reviewed A1
MQ304,Sovngarde,200,"Reached the Hall of Heroes; permitted by Shor to join Gormlaith, Hakon and Felldir against Alduin (single outcome)",honor_the_dead,Arkay,+,S,small,"cross-gen candidate: honor_the_dead(C) from the Arkay Part B profile, stepped down; REVIEW before promotion; reviewed A1"
DLC1VQSaint,Impatience of a Saint,200,Gathered Saint Jiub's lost opus pages in the Soul Cairn and returned a trapped soul his life's work,honor_the_dead,Arkay,+,S,small,"cross-gen candidate: honor_the_dead(C) from the Arkay Part B profile, stepped down; REVIEW before promotion; reviewed A1"
DLC1SeranaCureSelfQuest,Serana's Cure,200,Serana returned from Falion cured of vampirism,cure_undeath,Arkay,+,S,small,"cross-gen candidate: cure_undeath(S) from the Arkay Part B profile; direct hit on the vigil-against-undeath anchor, restored to full profile intensity; reviewed A1"
DA01,The Black Star,100,Cleanse Azura's Star (give to Aranea/Azura),destroy_reject_daedra:molagbal,Stendarr,+,S,small,"conflict adjudication: destroy_reject_daedra:molagbal(S) dominates serve_a_daedra:azura(S) for Stendarr -- the act is cleansing Molag Bal's corruption, not devotion to Azura; reviewed A1"
DA01,The Black Star,110,Complete the Black Star (give to Nelacar; traps mortal souls),serve_a_daedra:azura,Stendarr,-,S,small,"cross-gen candidate: serve_a_daedra:azura(S) from the Stendarr Part B profile; opposite branch of DA01 s100, both kept; REVIEW before promotion; reviewed A1"
DA03,A Daedra's Best Friend,155,Kill loyal Barbas + keep the Rueful Axe,kill_the_helpless,Stendarr,-,S,small,"cross-gen candidate: kill_the_helpless(C) from the Stendarr Part B profile, stepped down; REVIEW before promotion; reviewed A1"
DA04,Discerning the Transmundane,100,Open the lockbox; claim the Oghma Infinium,serve_a_daedra:hermaeusmora,Stendarr,-,m,small,"cross-gen candidate: serve_a_daedra:hermaeusmora(S) from the Stendarr Part B profile, stepped down; REVIEW before promotion; reviewed A1"
DA05,Ill Met By Moonlight,100,Kill Sinding for Hircine (the hunt); Savior's Hide,serve_a_daedra:hircine,Stendarr,-,m,small,"cross-gen candidate: serve_a_daedra:hircine(S) from the Stendarr Part B profile, stepped down; opposite branch of DA05 s105, both kept; REVIEW before promotion; reviewed A1"
DA05,Ill Met By Moonlight,105,Defend Sinding; spare the hunted (Ring of Hircine),mercy_spare,Stendarr,+,S,small,"cross-gen candidate: mercy_spare(C) from the Stendarr Part B profile, stepped down; opposite branch of DA05 s100, both kept; REVIEW before promotion; reviewed A1"
DA08,The Whispering Door,60,Take Mephala's Ebony Blade (fed by slaying those close),serve_a_daedra:mephala,Stendarr,-,m,small,"cross-gen candidate: serve_a_daedra:mephala(S) from the Stendarr Part B profile, stepped down; distinct stage from existing DA08 s25; REVIEW before promotion; reviewed A1"
DA14,A Night To Remember,30,Clean the Temple + apologize to the priestesses of Dibella,charity,Stendarr,+,m,small,"cross-gen candidate: charity(m) from the Stendarr Part B profile; best single stage of DA14, kept over the weaker s200 daedra-service tag; REVIEW before promotion; reviewed A1"
DA15,The Mind of Madness,200,Help Sheogorath return; the Wabbajack,serve_a_daedra:sheogorath,Stendarr,-,m,small,"cross-gen candidate: serve_a_daedra:sheogorath(S) from the Stendarr Part B profile, stepped down; REVIEW before promotion; reviewed A1"
TG08A,Trinity Restored,57,Take the Nightingale Oath to Nocturnal,serve_a_daedra:nocturnal,Stendarr,-,m,small,"cross-gen candidate: serve_a_daedra:nocturnal(S) from the Stendarr Part B profile, stepped down; best single stage of the Nightingale arc, kept over redundant TG09; REVIEW before promotion; reviewed A1"
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Stendarr,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Stendarr Part B profile, stepped down; REVIEW before promotion; reviewed A1"
MG03,Hitting the Books,55,,protect_the_weak,Stendarr,+,S,small,"cross-gen candidate: protect_the_weak(C) from the Stendarr Part B profile, stepped down; REVIEW before promotion; reviewed A1"
MG05,Containment,200,,protect_the_weak,Stendarr,+,S,small,"cross-gen candidate: protect_the_weak(C) from the Stendarr Part B profile, stepped down; REVIEW before promotion; reviewed A1"
FreeformKolskeggrA,Kolskeggr Mine (reclaim),200,Drove the Forsworn from Kolskeggr so Pavo and the miners could return to honest work,uphold_law_justice,Stendarr,+,S,small,cross-gen candidate: uphold_law_justice(S) from the Stendarr Part B profile; REVIEW before promotion; reviewed A1
DA07,Pieces of the Past,100,Kill Silus for Dagon; reforge Mehrunes' Razor,murder_treacherous,Mara,-,m,small,"cross-gen candidate: murder_treacherous(m) from the Mara Part B profile; opposite branch of DA07 s150, both kept; REVIEW before promotion; reviewed A1"
DA07,Pieces of the Past,150,Refuse to kill Silus; reject Dagon,mercy_spare,Mara,+,S,small,"cross-gen candidate: mercy_spare(S) from the Mara Part B profile; opposite branch of DA07 s100, both kept; REVIEW before promotion; reviewed A1"
DA11,The Taste of Death,100,Feast on Verulus's corpse; Ring of Namira,murder_treacherous,Mara,-,m,small,cross-gen candidate: murder_treacherous(m) from the Mara Part B profile; opposite branch of existing DA11 s250; REVIEW before promotion; reviewed A1
DA14,A Night To Remember,30,Clean the Temple + apologize to the priestesses of Dibella,charity,Mara,+,S,small,"cross-gen candidate: charity(C) from the Mara Part B profile, stepped down; REVIEW before promotion; reviewed A1"
CW03,Message to Whiterun,16,"Assist Jarl Balgruuf with the dragon threat, defending Whiterun",protect_the_weak,Mara,+,m,small,cross-gen candidate: protect_the_weak(m) from the Mara Part B profile; REVIEW before promotion; reviewed A1
DB03,Mourning Never Comes,30,"OPTIONAL: killed Nilsine Shatter-Shield, an innocent, for the bonus",kill_the_helpless,Mara,-,m,small,cross-gen candidate: kill_the_helpless(m) from the Mara Part B profile; REVIEW before promotion; reviewed A1
DB08,Recipe for Disaster,200,"Killed Anton Virane, assassinated the Gourmet (single outcome)",murder_treacherous,Mara,-,m,small,cross-gen candidate: murder_treacherous(m) from the Mara Part B profile; REVIEW before promotion; reviewed A1
DB09,To Kill an Empire,50,Infiltrated as the Gourmet and assassinated the decoy 'Emperor' by poison (single outcome),murder_treacherous,Mara,-,m,small,cross-gen candidate: murder_treacherous(m) from the Mara Part B profile; REVIEW before promotion; reviewed A1
DB10,Death Incarnate,70,"Killed Astrid, the betrayer (kill-the-betrayer outcome)",murder_treacherous,Mara,-,m,small,cross-gen candidate: murder_treacherous(m) from the Mara Part B profile; REVIEW before promotion; reviewed A1
