editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
FreeformRiften03,Under the Table,201,Delivered Romlyn Dreth's stolen mead and helped conceal the illegal delivery.,"deceit,theft_burglary","Skyrim.esm direct QUST/VMAD and official QF decompile: physical s200 reads pFFRiften03Arrested; value 0 rewards Romlyn. The core stage adapter maps that proven selector to synthetic s201. RUNTIME-VERIFY.",Skyrim.esm:053307,C,Owner-approved route-specific outcome; never fires from shared physical s200 without the selector.
FreeformRiften03,Under the Table,202,Reported Romlyn Dreth's stolen-mead scheme to Indaryn.,"uphold_law_justice,expose_betray_secret,reject_criminality","Skyrim.esm direct QUST/VMAD and official QF decompile: physical s200 reads pFFRiften03Arrested; value 1 rewards Indaryn. The core stage adapter maps that proven selector to synthetic s202. RUNTIME-VERIFY.",Skyrim.esm:053307,C,Owner-approved route-specific outcome; never fires from shared physical s200 without the selector.
dunMidden01QST,Forgotten Names,80,Bargained with Velehk Sain and released the Dremora in exchange for his treasure map.,bargain_with_daedric_threat,"Skyrim.esm direct DIAL/INFO/TIF/QF read: the player says 'Velehk Sain, I release you'; TIF__000DDEDE sets s80 and the s80 fragment dismisses him. RUNTIME-VERIFY.",Skyrim.esm:055977,B,Exact release branch; no generic Prince-service claim.
dunMidden01QST,Forgotten Names,100,Refused Velehk Sain's bargain and destroyed the Daedric threat.,destroy_daedric_threat,"Skyrim.esm direct DIAL/TIF read proves refusal starts combat; the core player-kill route maps a direct-player kill of unique base MiddenVelehk to s100. RUNTIME-VERIFY.",Skyrim.esm:055977,C,Quest-specific kill route supplies Daedric-threat meaning; the generic combat system continues to own ordinary kill semantics.
WE24,A Good Death,100,Granted the Old Orc the honorable death in single combat that he sought.,"honorable_duel,prove_by_struggle","Skyrim.esm direct QUST/QF read proves WE24 has no semantic success stage; the core player-kill route maps a direct-player kill of WE24Orc to synthetic s100. RUNTIME-VERIFY.",Skyrim.esm:062119,C,Quest-specific route omits kill_honorable_combat because the generic player-kill system already supplies it.
DLC2RR03Intro,An Axe to Find,20,Insisted that Crescius return Glover Mallory's Ancient Nordic Pickaxe and carried it back honestly.,honest_labor_trade,"Dragonborn.esm direct DIAL/INFO/QF and alias-script read: 'It doesn't belong to you' transfers the pickaxe to the player; DLC2RR03IntroPlayerScript then sets s20 and the honest return objective. RUNTIME-VERIFY.",Dragonborn.esm:020A1C,B,Exact honest route; distinct from the s25 lie branch.
DLC2RR03Intro,An Axe to Find,25,Agreed to lie that Crescius lost Glover's pickaxe so he could keep it.,"deceit,theft_burglary","Dragonborn.esm direct DIAL/INFO/TIF/QF read: 'Fine, you keep it' asks the player to report it lost; DLC2_TIF__020209FF sets s25 and displays the lie objective. RUNTIME-VERIFY.",Dragonborn.esm:020A1C,B,Exact deceitful accessory-to-theft route; shared terminal s200 remains unrowed.
DLC2SkaalVillageFreeform1,Skaal Village Dialogue,20,Had Bera's necklace placed at her grave for Morwen.,"honor_the_dead,marriage_family","Dragonborn.esm direct DIAL/INFO/QUST read: Morwen sends the necklace to Runil for placement at her mother's grave; s20 marks the Runil milestone. RUNTIME-VERIFY.",Dragonborn.esm:02C8AA,B,First of two distinct service milestones.
DLC2SkaalVillageFreeform1,Skaal Village Dialogue,200,Returned to Morwen after honoring her mother and was welcomed as an ally of the Skaal.,"friendship,civic_service","Dragonborn.esm direct INFO read at the s20-to-s200 return says the player brought warmth to Morwen's heart and again proved an ally to the Skaal. RUNTIME-VERIFY.",Dragonborn.esm:02C8AA,B,Final friendship/community milestone; does not repeat honor_the_dead.
ccBGSSSE025_StaadaQuest,Staada Quest,301,Gave Staada the Sheogorath-Shaped Amber she sought.,serve_a_daedra:sheogorath,"ccbgssse025-advdsgs.esm direct DIAL/INFO/TIF read proves the amber-gift fragment removes OddAmber; physical s300 is adapted to synthetic s301 when the unique amber is absent. RUNTIME-VERIFY.",ccbgssse025-advdsgs.esm:198277,C,Item-aware route; distinct from surrendering Jyggalag's sword.
