formid,source_plugin,editor_id,quest_name,classification,stage_count,journal_stage_count,completion_stages,objective_count,evidence_summary,notes
ccbgssse001-fish.esm:0008BF,ccbgssse001-fish.esm,ccBGSSSE001_DLCDetectionQuest,(absent),structural-silent,0,0,,0,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control or NPC-only record; no discrete player-act row.
ccbgssse001-fish.esm:0009D3,ccbgssse001-fish.esm,ccBGSSSE001_Start_MQ1,First Catch,candidate-proposed,6,3,50,4,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=6; journal_stages=10|15|50; completion_stages=50; objectives=4,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009D4,ccbgssse001-fish.esm,ccBGSSSE001_Crab_MQ1,In A Pinch,candidate-proposed,6,4,200,4,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=6; journal_stages=10|15|20|200; completion_stages=200; objectives=4,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009D5,ccbgssse001-fish.esm,ccBGSSSE001_Misc_Windhelm,Tusked Terror,candidate-proposed,6,5,200,5,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=6; journal_stages=10|50|60|70|200; completion_stages=200; objectives=5,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009D6,ccbgssse001-fish.esm,ccBGSSSE001_Crab_MQ3,End of the Line,candidate-proposed,9,5,200,8,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=9; journal_stages=10|20|40|55|200; completion_stages=200; objectives=8,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009D7,ccbgssse001-fish.esm,ccBGSSSE001_Misc_WhiterunPartTwo,Two of a Kind,candidate-proposed,10,6,200,6,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=10; journal_stages=5|10|20|60|70|200; completion_stages=200; objectives=6,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009DA,ccbgssse001-fish.esm,ccBGSSSE001_Crab_MQ2,Crustacean Extermination,candidate-proposed,10,7,200,6,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=10; journal_stages=5|10|20|30|40|50|200; completion_stages=200; objectives=6,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009DB,ccbgssse001-fish.esm,ccBGSSSE001_Start_MQ2,Angler Acquaintances,semantic-silent,4,3,200,3,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=4; journal_stages=0|5|200; completion_stages=200; objectives=3,One-shot introduction/hand-off with no distinct theological player act.
ccbgssse001-fish.esm:0009DC,ccbgssse001-fish.esm,ccBGSSSE001_Fish_MQ5,Fishing Legend,candidate-proposed,5,4,200,7,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=5; journal_stages=10|20|21|200; completion_stages=200; objectives=7,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009DD,ccbgssse001-fish.esm,ccBGSSSE001_Fish_MQ4,Darkest Depths,candidate-proposed,5,4,200,7,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=5; journal_stages=10|20|21|200; completion_stages=200; objectives=7,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009DE,ccbgssse001-fish.esm,ccBGSSSE001_Fish_MQ1,Catch of the Day,candidate-proposed,5,4,200,7,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=5; journal_stages=10|20|21|200; completion_stages=200; objectives=7,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009DF,ccbgssse001-fish.esm,ccBGSSSE001_Misc_Markarth,Private Lessons,candidate-proposed,8,5,200,4,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=8; journal_stages=0|10|25|40|200; completion_stages=200; objectives=4,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009E2,ccbgssse001-fish.esm,ccBGSSSE001_Misc_Khajiit,Spirits Away,candidate-proposed,4,4,200,3,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=4; journal_stages=0|20|50|200; completion_stages=200; objectives=3,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009E3,ccbgssse001-fish.esm,ccBGSSSE001_Misc_Solitude,The Ultimate Feast,candidate-proposed,7,4,200,7,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=7; journal_stages=0|20|40|200; completion_stages=200; objectives=7,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009E4,ccbgssse001-fish.esm,ccBGSSSE001_Misc_Morthal,No Contest,candidate-proposed,10,7,200,7,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=10; journal_stages=0|10|20|30|40|50|200; completion_stages=200; objectives=7,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009E6,ccbgssse001-fish.esm,ccBGSSSE001_MiscQuests,Miscellaneous Quests Handler,structural-silent,26,0,,9,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=26; journal_stages=none; completion_stages=none; objectives=9,Structural/dialogue/monitor/handler/control or NPC-only record; no discrete player-act row.
ccbgssse001-fish.esm:0009E8,ccbgssse001-fish.esm,ccBGSSSE001_Fish_MQ3,Frozen Fish,candidate-proposed,7,6,200,9,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=7; journal_stages=4|6|10|20|21|200; completion_stages=200; objectives=9,Direct one-shot player act proposed for owner review.
ccbgssse001-fish.esm:0009E9,ccbgssse001-fish.esm,ccBGSSSE001_Crab_MQ4,Wave Breaker,candidate-proposed,17,11,2000,11,direct_mcp_review=ok; source=ccbgssse001-fish.esm; stages=17; journal_stages=50|100|200|210|215|225|235|300|500|600|2000; completion_stages=2000; objectives=11,Direct one-shot player act proposed for owner review.
