race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Sheogorath,Boon -- Seeker (Tier 1),10,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Bless_Daedric_Sheo_Seeker,Boon description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,"Sheogorath's absurdity opens a crack. Where the direct approach fails, something sideways succeeds; solutions arrive from the wrong angle.",
Sheogorath,Boon -- Devoted (Tier 2),11,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Bless_Daedric_Sheo_Devoted,Boon description,Quiet,Narrator,140,200,139,,Passive blessing description; visible whenever the player views active effects.,"Sheogorath's disruption deepens. Chaotic outcomes bend your way; the problem that should not break breaks, the wall that should hold falls.",
Sheogorath,Boon -- Champion (Tier 3),12,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Bless_Daedric_Sheo_Champion,Boon description,Quiet,Narrator,140,200,117,,Passive blessing description; visible whenever the player views active effects.,Sheogorath names you the Madgod's own. Unpredictability is your ally; the stable is always about to become otherwise.,
Sheogorath,Price -- Seeker (Tier 1),20,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Price_Daedric_Sheo_Seeker,Price description,Quiet,Narrator,140,200,131,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price of the madness path: unpredictability cuts both ways. The disruption does not promise to hit only the targets you choose.,
Sheogorath,Price -- Devoted (Tier 2),21,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Price_Daedric_Sheo_Devoted,Price description,Quiet,Narrator,140,200,131,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price deepens: control erodes. The Madgod's touch does not stop at useful chaos; the devotee's own certainties grow unreliable.,
Sheogorath,Price -- Champion (Tier 3),22,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Price_Daedric_Sheo_Champion,Price description,Quiet,Narrator,140,200,180,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: you cannot put it down. Sheogorath does not give back stability; the one who carries his full mark has become the disruption they chose, and it moves with them now.",
Sheogorath,Tier-up -- Seeker,30,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Notif_Daedric_Sheo_SeekerEntry,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per save.,Sheogorath marks you a Seeker. How delightful.,
Sheogorath,Tier-up -- Devoted,31,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Notif_Daedric_Sheo_DevotedEntry,Notification,Marked,Narrator,60,80,45,,HUD corner notification. One per save.,Sheogorath's madness deepens in you. Devoted.,
Sheogorath,Tier-down (lapse),32,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Notif_Daedric_Sheo_Lapse,Notification,Noted,Narrator,60,80,47,,HUD corner notification. One per direction per save.,Sheogorath grows bored. The chaotic edge fades.,
Sheogorath,Champion recognition (MessageBox),33,"Sheogorath (Daedric path): Theatrical, manic, brilliantly unstable; the Madgod lurches between the genuinely insightful and the completely unhinged; his voice is the disruption that arrives smiling, distinct from Sanguine's temptation and Rajhin's cunning -- Sheogorath is not pleasure or cleverness, he is unmooring, and his register reflects that the ground is always about to shift.",PDV_Msg_Daedric_Sheo_ChampionEntry,MessageBox,Marked,God-voice,280,500,16+278,,MessageBox. One-time on first Champion tier.,"Title: ""The Madgod's Own"" Body: ""Champion! Oh, how I love that word. You have broken three things that were perfectly good and intact, and you did it in the most interesting ways possible. Do you know what that tells me? Nothing at all! Which is exactly right. The disruption is yours. Do not drop it; it bites.""",
