editor_id,outcome_stage,act_tags,reason
CW01A,200,"serve_empire_order,keep_oath,prove_by_struggle,kill_honorable_combat",V02-04 direct audit collapses the proving task and Imperial oath into the stage-200 completion.
CW01B,200,"defy_tyranny_talos,keep_oath,prove_by_struggle,kill_honorable_combat",V02-04 direct audit collapses the proving task and Stormcloak oath into the stage-200 completion.
DA01,100,"serve_a_daedra:azura,destroy_reject_daedra:molagbal",The same outcome gives the cleansed Star to Azura and rejects its soul-binding corruption.
DA03,200,"serve_a_daedra:clavicus,acquire_daedric_artifact:clavicus,keep_oath,mercy_spare",The same outcome reunites and spares Barbas then receives Vile's Masque under the fulfilled bargain.
DA04,100,"forbidden_knowledge,serve_a_daedra:hermaeusmora,acquire_daedric_artifact:hermaeusmora,disciplined_study",The same outcome completes Septimus's study opens Mora's lockbox and claims the Oghma Infinium.
DA05,100,"the_hunt,serve_a_daedra:hircine,acquire_daedric_artifact:hircine",The same outcome completes Hircine's hunt and receives Savior's Hide.
DA05,105,"the_hunt,mercy_spare,protect_the_weak",The same outcome turns the hunt against the hunters and spares and protects Sinding.
DA07,150,"mercy_spare,destroy_reject_daedra:mehrunesdagon",The same outcome spares Silus and refuses Dagon's demanded murder and Razor.
DA08,60,"serve_a_daedra:mephala,acquire_daedric_artifact:mephala,keep_secret",The same outcome accepts Mephala's secret and receives the Ebony Blade.
DA09,500,"slay_undead,cure_undeath,serve_a_daedra:meridia,acquire_daedric_artifact:meridia",The same outcome destroys Malkoran and his shades serves Meridia and receives Dawnbreaker.
DA11,250,"destroy_reject_daedra:namira,mercy_spare,protect_the_weak",The same outcome rejects Namira's feast kills Eola and saves Verulus.
DB06,200,"assassination_contract,murder_treacherous,deceit",The same outcome fulfills the assassination and plants a letter to frame the victim; generic chaos is not a separate evidenced act.
DB09,50,"assassination_contract,murder_treacherous,deceit",The same outcome impersonates the Gourmet and completes the poisoned assassination.
DB10,20,"defend_kin_home,kill_honorable_combat",The same outcome defends the burning Sanctuary by fighting the attacking Legion soldiers.
DB11,70,"murder_treacherous,deceit",The same outcome kills a trusting contractor after accepting his payment.
