editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","sow_chaos_madness","Akatosh","-","S","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile sow_chaos_madness(S)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","mercy_spare","Stendarr","+","C","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile mercy_spare(C)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","mercy_spare","Mara","+","S","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile mercy_spare(S)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","honor_the_dead","Arkay","+","C","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile honor_the_dead(C)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","uphold_law_justice","Zenithar","+","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile uphold_law_justice(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","heal_comfort","Dibella","+","S","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile heal_comfort(S)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","sow_chaos_madness","Julianos","-","S","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile sow_chaos_madness(S)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","defile_nature","Kynareth","-","C","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile defile_nature(C)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","prove_by_struggle","Kyne","+","S","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile prove_by_struggle(S)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","uphold_law_justice","Stuhn","+","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile uphold_law_justice(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","sow_chaos_madness","Auri-El","-","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile sow_chaos_madness(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","sow_chaos_madness","Magnus","-","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile sow_chaos_madness(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","sow_chaos_madness","Xarxes","-","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile sow_chaos_madness(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","defend_kin_home","Trinimac","+","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile defend_kin_home(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","heal_comfort","Syrabane","+","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile heal_comfort(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","defile_nature","Y'ffre","-","C","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile defile_nature(C)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","uphold_law_justice","Z'en","+","S","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile uphold_law_justice(S)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","disciplined_study","Azura","+","m","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile disciplined_study(m)."
"MQ101","Unbound","150","Escaped execution and Alduin's attack at Helgen.","protect_the_weak","Khenarthi","+","S","small","T11 Act I full-coverage curation: survived Helgen and the first return of the World-Eater; Part B profile protect_the_weak(S)."
