race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Namira,Boon -- Seeker (Tier 1),10,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Bless_Daedric_Namira_Seeker,Boon description,Quiet,Narrator,140,200,129,,Passive blessing description; visible whenever the player views active effects.,Namira's darkness settles around you. Revulsion that breaks others steels you; you endure the forgotten places without flinching.,
Namira,Boon -- Devoted (Tier 2),11,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Bless_Daedric_Namira_Devoted,Boon description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,Namira's outcast fellowship deepens. The resilience of one who has nothing to lose is yours; the places that repel others are your domain.,
Namira,Boon -- Champion (Tier 3),12,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Bless_Daedric_Namira_Champion,Boon description,Quiet,Narrator,140,200,131,,Passive blessing description; visible whenever the player views active effects.,Namira names you of the outcast faithful. You are the hunger the respectable pretend does not exist; what they revile sustains you.,
Namira,Price -- Seeker (Tier 1),20,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Price_Daedric_Namira_Seeker,Price description,Quiet,Narrator,140,200,126,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the outcast path: social revulsion. Those who accept Namira's follower are few, and they are not the respectable.",
Namira,Price -- Devoted (Tier 2),21,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Price_Daedric_Namira_Devoted,Price description,Quiet,Narrator,140,200,129,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: consumption taboo. The hunger Namira feeds takes a shape others find unacceptable, and hiding it grows harder.",
Namira,Price -- Champion (Tier 3),22,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Price_Daedric_Namira_Champion,Price description,Quiet,Narrator,140,200,121,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: revulsion is your medium. The respectable do not welcome Namira's Champion, and she does not ask them to.",
Namira,Tier-up -- Seeker,30,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Notif_Daedric_Namira_SeekerEntry,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per save.,Namira marks you a Seeker of the outcast path.,
Namira,Tier-up -- Devoted,31,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Notif_Daedric_Namira_DevotedEntry,Notification,Marked,Narrator,60,80,47,,HUD corner notification. One per save.,Namira's darkness takes a deeper hold. Devoted.,
Namira,Tier-down (lapse),32,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Notif_Daedric_Namira_Lapse,Notification,Noted,Narrator,60,80,60,,HUD corner notification. One per direction per save.,Namira's fellowship withdraws. The outcast resilience fades.,
Namira,Champion recognition (MessageBox),33,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Msg_Daedric_Namira_ChampionEntry,MessageBox,Marked,God-voice,280,500,25+257,,MessageBox. One-time on first Champion tier.,"Title: ""Namira's Outcast Faithful"" Body: ""The respectable have their clean altars. You found your way here instead, and three times you chose the path that brought you lower in their eyes and deeper in mine. That is enough. The hunger is real. The fellowship is real. The revulsion is their problem.""",
Namira,Commitment / pact (the gate clears),40,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Msg_Daedric_Namira_Commitment,MessageBox,Marked,God-voice,280,500,16+239,,MessageBox. Fires once when the commitment gate clears.,"Title: ""Namira's Welcome"" Body: ""Three times you sat with the taboo and did not flinch from it. That is the gate. Namira does not call the clean; she calls those the clean have turned away. If you are here, you already understand the welcome that waits in the dark places.""",
Namira,Stigma -- Suspected,50,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Notif_Daedric_Namira_Stigma_Suspected,Notification,Noted,Narrator,60,80,70,,HUD corner notification. On entering Suspected.,Namira's mark is suspected. People read the filth-path in your traces.,
Namira,Stigma -- Known,51,"Namira (Daedric path): Quiet, low, strangely welcoming; the god who calls from the darkest outcast corners -- she is the hunger the respectable pretend does not exist, the fellowship of the cast-out; her register is not threatening, it is recognizing; she speaks to the ones who have nothing left to lose, not against the ones who turned them away.",PDV_Notif_Daedric_Namira_Stigma_Known,Notification,Noted,Narrator,60,80,74,,HUD corner notification. On entering Known.,Your Namira devotion is known. The outcast-path marks its follower openly.,
