editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid,mod
MASMainQuest,Moon and Star (spared him and broke the weapon),92,Spared the Nerevarine and helped him destroy an ancient Dwemer weapon for the good of Tamriel,protect_the_weak,The Hist,+,m,small,"cross-gen candidate: protect_the_weak(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",MoonAndStar_MAS.esp:00696B,MoonAndStar
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,defend_kin_home,The Hist,+,S,small,"cross-gen candidate: defend_kin_home(C) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:7D3B68,ProjectAHO
DwarfSphereQ07,Freedom of Choice,260,Killed Shanath Selthri before he could summon the AHO.,protect_the_weak,The Hist,+,m,small,"cross-gen candidate: protect_the_weak(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:8159F6,ProjectAHO
DwarfSphereQ07,Freedom of Choice,666,"Sided with Shanath, let Sadrith Kegran be destroyed, and took the AHO for himself.",break_oath_betray,The Hist,-,m,small,"cross-gen candidate: break_oath_betray(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:8159F6,ProjectAHO
DwarfSphereQ07,Freedom of Choice,1000,Launched the AHO with Yen-Ylu's leave and saved Sadrith Kegran.,protect_the_weak,The Hist,+,m,small,"cross-gen candidate: protect_the_weak(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:8159F6,ProjectAHO
DwarfSphereSQ03,The Lady's Ring,101,Kept for himself the ring Tadys had prepared as a gift for his wife.,break_oath_betray,The Hist,-,m,small,"cross-gen candidate: break_oath_betray(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:8B3BDD,ProjectAHO
DwarfSphereSQ07,Signs of Attention,50,Repaired Maren Dwyn's broken amulet and mended his courtship with Aryni Sendu.,heal_comfort,The Hist,+,m,small,"cross-gen candidate: heal_comfort(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:8EBFB9,ProjectAHO
DwarfSphereSQ08,Forgotten Art,15,Carved ten pieces of bark off the living Tel And sprouts so they could be made into weapons.,defile_nature,The Hist,-,m,small,"cross-gen candidate: defile_nature(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:97F2B4,ProjectAHO
DwarfSphereSQ09,Be Aware of Darkness,13,"Killed Slyboots, the creature living in the catacombs beneath the Andavel home.",protect_the_weak,The Hist,+,m,small,"cross-gen candidate: protect_the_weak(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:984460,ProjectAHO
DwarfSphereSQ11,Shadow of the Past,50,Finished the dead Dwemer Kuovin Nrezalf's work and let him pass on without ever telling him he had died.,honor_the_dead,The Hist,+,m,small,"cross-gen candidate: honor_the_dead(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Dwarfsphere.esp:AFCC1B,ProjectAHO
manny_GF_BuryValenDreth,Bury Valen Dreth,10,Buried the remains of Valen Dreth at Falkreath.,honor_the_dead,The Hist,+,m,small,"cross-gen candidate: honor_the_dead(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Gray Fox Cowl.esm:01E072,GrayCowlOfNocturnal
manny_GF_Farewell,Time for the Farewells,20,Escorted Seviana and Luvien safely to the docks of Solitude.,protect_the_weak,The Hist,+,m,small,"cross-gen candidate: protect_the_weak(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",Gray Fox Cowl.esm:01CFA7,GrayCowlOfNocturnal
manny_GF_Sadraaka,The Curse of Sadraaka,30,Killed Sadraaka and freed the ghostly Alik'r warriors of the Forgotten City from their curse.,slay_undead,The Hist,+,m,small,"cross-gen candidate: slay_undead(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Gray Fox Cowl.esm:026AE8,GrayCowlOfNocturnal
