race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Vaermina,Boon -- Seeker (Tier 1),10,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Bless_Daedric_Vaermina_Seeker,Boon description,Quiet,Narrator,140,200,133,,Passive blessing description; visible whenever the player views active effects.,Vaermina's touch opens the dream-path. Sleep reveals more than it hides; you read fear in others before they know you are reading it.,
Vaermina,Boon -- Devoted (Tier 2),11,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Bless_Daedric_Vaermina_Devoted,Boon description,Quiet,Narrator,140,200,124,,Passive blessing description; visible whenever the player views active effects.,"Vaermina's nightmare deepens. Dream insight comes readily; the fear of others is legible, and you press it where it matters.",
Vaermina,Boon -- Champion (Tier 3),12,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Bless_Daedric_Vaermina_Champion,Boon description,Quiet,Narrator,140,200,136,,Passive blessing description; visible whenever the player views active effects.,"Vaermina names you her nightmare-walker. Sleep is your domain; you read fear with precision, and what haunts others gives you advantage.",
Vaermina,Price -- Seeker (Tier 1),20,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Price_Daedric_Vaermina_Seeker,Price description,Quiet,Narrator,140,200,128,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price of the dream-path: sleep corrupts. Vaermina does not only give you the dream; she leaves herself in it when you sleep.,
Vaermina,Price -- Devoted (Tier 2),21,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Price_Daedric_Vaermina_Devoted,Price description,Quiet,Narrator,140,200,128,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price deepens: memory instability. Time in Vaermina's nightmare blurs the boundary between what happened and what was shown.,
Vaermina,Price -- Champion (Tier 3),22,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Price_Daedric_Vaermina_Champion,Price description,Quiet,Narrator,140,200,139,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: fear and memory are hers. You wield fear outward, but Vaermina's access to yours is absolute; nothing you dream is private.",
Vaermina,Tier-up -- Seeker,30,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Notif_Daedric_Vaermina_SeekerEntry,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per save.,Vaermina marks you a Seeker of the dream-path.,
Vaermina,Tier-up -- Devoted,31,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Notif_Daedric_Vaermina_DevotedEntry,Notification,Marked,Narrator,60,80,50,,HUD corner notification. One per save.,Vaermina's nightmare takes a deeper hold. Devoted.,
Vaermina,Tier-down (lapse),32,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Notif_Daedric_Vaermina_Lapse,Notification,Noted,Narrator,60,80,55,,HUD corner notification. One per direction per save.,Vaermina's presence recedes. The dream-path grows dark.,
Vaermina,Champion recognition (MessageBox),33,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Msg_Daedric_Vaermina_ChampionEntry,MessageBox,Marked,God-voice,280,500,27+255,,MessageBox. One-time on first Champion tier.,"Title: ""Vaermina's Nightmare-Walker"" Body: ""You walked into the nightmare and did not wake from it. That is what Champion means in my keeping. I know your fears -- all of them, named and unnamed. Use that knowledge. It cuts better than anything you carry. I have made certain it also cuts both ways.""",
Vaermina,Commitment / pact (the gate clears),40,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Msg_Daedric_Vaermina_Commitment,MessageBox,Marked,God-voice,280,500,18+279,,MessageBox. Fires once when the commitment gate clears.,"Title: ""Vaermina's Opening"" Body: ""Three times you used the nightmare as a tool rather than fleeing from it. That is the gate. Vaermina does not offer comfort; she offers access. The dream-path is open -- the fear-leverage, the memory of things not meant to be legible. The price is that she reads the same in you.""",
Vaermina,Stigma -- Suspected,50,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Notif_Daedric_Vaermina_Stigma_Suspected,Notification,Noted,Narrator,60,80,68,,HUD corner notification. On entering Suspected.,Vaermina's mark is suspected. You know too much about others' fears.,
Vaermina,Stigma -- Known,51,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Notif_Daedric_Vaermina_Stigma_Known,Notification,Noted,Narrator,60,80,66,,HUD corner notification. On entering Known.,Your Vaermina devotion is known. People fear the nightmare-walker.,
Vaermina,Stigma -- Notorious,52,"Vaermina (Daedric path): Quiet, invasive, certain; the god of the dream that knows you better than you do; she does not threaten, she reveals what is already there; her register is the nightmare's particular certainty -- slow, low, unhurried, already inside; she does not need to be loud because she is already in the sleep.",PDV_Notif_Daedric_Vaermina_Stigma_Notorious,Notification,Marked,Narrator,60,80,72,,HUD corner notification. On entering Notorious.,You are openly Vaermina's nightmare-walker. No settled place trusts you.,
