input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
265378248086640a,C008,C,Charater Visuals - Racemenu Addons - CBBE,Camp Khajiit Patterns,CampKhajiitOverlay.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Camp Khajiit Patterns\CampKhajiitOverlay.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 1 QUST.,,NO-ROWS,Primary-review rollup from 1 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
265378248086640a,C008,C,Charater Visuals - Racemenu Addons - CBBE,Camp Khajiit Patterns,CampKhajiitOverlay.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Camp Khajiit Patterns\CampKhajiitOverlay.esp,QUST:000801:CampKhajiitOverlay.esp,QUST,read,QUST,000801:CampKhajiitOverlay.esp,CampKhajiitOverlay,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: CampKhajiitOverlay has no player-facing stages or resolving outcomes; RaceMenu overlay controller only and not a devotional surface.,,REJECTED
d0406a5515f1421b,C008,C,Charater Visuals - Racemenu Addons - CBBE,Even More Makeup by Koralina,EvenMoreMakeup.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Even More Makeup by Koralina\EvenMoreMakeup.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 1 QUST.,,NO-ROWS,Primary-review rollup from 1 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
d0406a5515f1421b,C008,C,Charater Visuals - Racemenu Addons - CBBE,Even More Makeup by Koralina,EvenMoreMakeup.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Even More Makeup by Koralina\EvenMoreMakeup.esp,QUST:000800:EvenMoreMakeup.esp,QUST,read,QUST,000800:EvenMoreMakeup.esp,EvenMoreMakeup,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: EvenMoreMakeup has no player-facing stages or resolving outcomes; RaceMenu overlay controller only and not a devotional surface.,,REJECTED
9f841c2e778601ce,C008,C,Charater Visuals - Racemenu Addons - CBBE,Fabulous Makeup 2 - Racemenu Overlays,(SDZ21) Fabulous Makeup 2.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fabulous Makeup 2 - Racemenu Overlays\(SDZ21) Fabulous Makeup 2.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,Direct summary and exhaustive QUST enumeration: 0 QUST.,,NO-ROWS,Primary-review rollup confirms the direct read contained no QUST evidence rows; non-quest signals remain separate.,,REJECTED
387af58dc5e321dd,C008,C,Charater Visuals - Racemenu Addons - CBBE,Female Makeup Suite - Face - RaceMenu Overlays,FMS_FemaleMakeupSuite.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Female Makeup Suite - Face - RaceMenu Overlays\FMS_FemaleMakeupSuite.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 1 QUST.,,NO-ROWS,Primary-review rollup from 1 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
387af58dc5e321dd,C008,C,Charater Visuals - Racemenu Addons - CBBE,Female Makeup Suite - Face - RaceMenu Overlays,FMS_FemaleMakeupSuite.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Female Makeup Suite - Face - RaceMenu Overlays\FMS_FemaleMakeupSuite.esp,QUST:000800:FMS_FemaleMakeupSuite.esp,QUST,read,QUST,000800:FMS_FemaleMakeupSuite.esp,FMS_Quest,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: FMS_Quest has no player-facing stages or resolving outcomes; RaceMenu overlay controller only and not a devotional surface.,,REJECTED
353cdb040ddcae3d,C008,C,Charater Visuals - Racemenu Addons - CBBE,HIMBO V3 Bodyhair Overlays for Racemenu,HIMBOBodyhairOverlay.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HIMBO V3 Bodyhair Overlays for Racemenu\HIMBOBodyhairOverlay.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 1 QUST.,,NO-ROWS,Primary-review rollup from 1 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
353cdb040ddcae3d,C008,C,Charater Visuals - Racemenu Addons - CBBE,HIMBO V3 Bodyhair Overlays for Racemenu,HIMBOBodyhairOverlay.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HIMBO V3 Bodyhair Overlays for Racemenu\HIMBOBodyhairOverlay.esp,QUST:000800:HIMBOBodyhairOverlay.esp,QUST,read,QUST,000800:HIMBOBodyhairOverlay.esp,HIMBOBodyhairOverlay,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: HIMBOBodyhairOverlay has no player-facing stages or resolving outcomes; RaceMenu overlay controller only and not a devotional surface.,,REJECTED
4e4d5b9416fd7317,C008,C,Charater Visuals - Racemenu Addons - CBBE,Khajiit-yllux Overlays - CBBE 3BA,KhajiitylluxOverlays.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Khajiit-yllux Overlays - CBBE 3BA\KhajiitylluxOverlays.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 1 QUST.,,NO-ROWS,Primary-review rollup from 1 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
