editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,serve_empire_order,Akatosh,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: serve_empire_order(S) from the Akatosh Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,uphold_law_justice,Stendarr,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: uphold_law_justice(S) from the Stendarr Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,uphold_law_justice,Zenithar,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: uphold_law_justice(m) from the Zenithar Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,uphold_law_justice,Julianos,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: uphold_law_justice(S) from the Julianos Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,uphold_law_justice,Stuhn,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: uphold_law_justice(m) from the Stuhn Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,uphold_law_justice,Auri-El,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: uphold_law_justice(m) from the Auri-El Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,uphold_law_justice,Z'en,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: uphold_law_justice(S) from the Z'en Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,serve_empire_order,Alkosh,+,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: serve_empire_order(m) from the Alkosh Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,uphold_law_justice,Sithis,-,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: uphold_law_justice(m) from the Sithis Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,serve_empire_order,Mehrunes Dagon,-,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: serve_empire_order(S) from the Mehrunes Dagon Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,serve_empire_order,Sheogorath,-,m,small,"s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette."" cross-gen KEEP: serve_empire_order(m) from the Sheogorath Part B profile, stepped down.",Penitus_Oculatus.esp:00A9C4
