editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
MS08,In My Time Of Need,200,Defended Saadia and defeated the Alik'r pursuing her.,"protect_the_weak,kill_honorable_combat",Update.esm direct official-winner QUST read: s200 CompleteQuest says the player helped Saadia escape the Alik'r and defeated their leader.,Skyrim.esm:01CF25,A,Branch 1 of 2. The record does not establish whether Saadia or Kematu tells the truth; tags describe only the evidenced protection and armed fight.
MS08,In My Time Of Need,201,Led Saadia into Kematu's ambush after arranging to deliver her.,"deceit,break_oath_betray",Update.esm direct official-winner QUST read: s175 says the player agreed to lead Saadia into an ambush; s201 CompleteQuest says the player delivered her to Kematu alive.,Skyrim.esm:01CF25,A,Branch 2 of 2. No uphold_law_justice tag: the competing political claims are unresolved by the quest record.
MS09,Missing In Action,110,Freed Thorald Gray-Mane from Thalmor captivity and led him to safety.,"protect_the_weak,defy_tyranny_talos",Skyrim.esm direct QUST read: objectives 40/55/60 require freeing Thorald from Thalmor custody and leading him to safety; s110 says he was successfully retrieved from Northwatch Keep.,Skyrim.esm:01CF26,A,Invariant rescue stage before the two identical family-report terminals.
MS03,Promises to Keep,275,Stole Frost and his lineage papers from Black-Briar Lodge for payment.,theft_burglary,Skyrim.esm direct QUST read: objectives 25/30 require stealing Frost's papers and Frost; s200 and s225 both say the player was rewarded for stealing Frost; s275 is the untexted CompleteQuest terminal. RUNTIME-VERIFY.,Skyrim.esm:01DA3C,C,One terminal row avoids double-scoring the alternative s200/s225 payment routes; confirm s275 follows both.
DBSideContract01,Contract: Kill Narfi,200,Assassinated the beggar Narfi for the Dark Brotherhood.,"assassination_contract,murder_treacherous,kill_the_helpless",Skyrim.esm direct QUST read: s10 orders the player to kill the beggar Narfi by any means; s200 CompleteQuest confirms Narfi is dead and the player collected Nazir's reward.,Skyrim.esm:01EA5B,A,One-shot named contract.
DBSideContract02,Contract: Kill Ennodius Papius,200,Assassinated the ex-miller Ennodius Papius for the Dark Brotherhood.,"assassination_contract,murder_treacherous,kill_the_helpless",Skyrim.esm direct QUST read: s10 orders the player to kill the ex-miller Ennodius Papius by any means; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA5E,A,One-shot named contract.
DBSideContract03,Contract: Kill Beitild,200,Assassinated the mine boss Beitild for the Dark Brotherhood.,"assassination_contract,murder_treacherous",Skyrim.esm direct QUST read: s10 orders the player to kill the mine boss Beitild by any means; s200 CompleteQuest confirms her death and the paid reward.,Skyrim.esm:01EA5F,A,One-shot named contract.
DBSideContract04,Contract: Kill Hern,200,Killed the vampire Hern under a Dark Brotherhood contract.,"assassination_contract,slay_undead",Skyrim.esm direct QUST read: s10 identifies Hern as a vampire and orders his contracted killing; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA60,A,One-shot named contract; retains both the contract and undead-slaying readings.
DBSideContract05,Contract: Kill Lurbuk,200,Assassinated the bard Lurbuk for the Dark Brotherhood.,"assassination_contract,murder_treacherous,kill_the_helpless",Skyrim.esm direct QUST read: s10 orders the player to kill the bard Lurbuk by any means; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA61,A,One-shot named contract.
DBSideContract06,Contract: Kill Deekus,200,Assassinated Deekus for the Dark Brotherhood.,"assassination_contract,murder_treacherous",Skyrim.esm direct QUST read: s10 orders the player to kill Deekus at the northern-coast shipwreck by any means; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA62,A,One-shot named contract.
DBSideContract07,Contract: Kill Ma'randru-jo,200,Assassinated the caravan merchant Ma'randru-jo for the Dark Brotherhood.,"assassination_contract,murder_treacherous,kill_the_helpless",Skyrim.esm direct QUST read: s10 identifies Ma'randru-jo as a travelling merchant and orders his killing; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA63,A,One-shot named contract.
DBSideContract08,Contract: Kill Anoriath,200,Assassinated the hunter and market trader Anoriath for the Dark Brotherhood.,"assassination_contract,murder_treacherous",Skyrim.esm direct QUST read: s10 identifies Anoriath as an archer found at his food stall or hunting and orders his killing; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA64,A,One-shot named contract.
DBSideContract09,Contract: Kill Agnis,200,Assassinated the elderly servant Agnis for the Dark Brotherhood.,"assassination_contract,murder_treacherous,kill_the_helpless",Skyrim.esm direct QUST read: s10 identifies Agnis as an old servant and orders her killing; s200 CompleteQuest confirms her death and the paid reward.,Skyrim.esm:01EA65,A,One-shot named contract.
DBSideContract10,Contract: Kill Maluril,200,Assassinated the wizard Maluril for the Dark Brotherhood.,"assassination_contract,murder_treacherous",Skyrim.esm direct QUST read: s10 identifies Maluril as a wizard investigating Mzinchaleft and orders his killing; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA66,A,One-shot named contract.
DBSideContract11,Contract: Kill Helvard,200,Assassinated the housecarl Helvard for the Dark Brotherhood.,"assassination_contract,murder_treacherous",Skyrim.esm direct QUST read: s10 identifies Helvard as Falkreath's housecarl and orders his killing; s200 CompleteQuest confirms his death and the paid reward.,Skyrim.esm:01EA67,A,One-shot named contract.
DBSideContract12,Contract: Kill Safia,200,Assassinated the pirate captain Safia for the Dark Brotherhood.,"assassination_contract,murder_treacherous",Skyrim.esm direct QUST read: s10 identifies Safia as captain of the Red Wave and orders her killing; s200 CompleteQuest confirms her death and the paid reward.,Skyrim.esm:01EA68,A,One-shot named contract.
MS11,Blood on the Ice,100,Wrongly accused Wuunferth of being the Butcher and had him imprisoned.,wrongful_accusation,Update.esm direct official-winner QUST read: s100 CompleteQuest claims Wuunferth was the Butcher; Skyrim.esm MS11b s15 later says another murder occurred and Wuunferth may have been innocent.,Skyrim.esm:01F7A3,A,"Owner-approved canonical tag and justice/law/knowledge disapproval profile, 2026-08-12."
MS11,Blood on the Ice,250,Identified Calixto as the Butcher and helped bring the true killer to justice.,"uphold_law_justice,expose_betray_secret,protect_the_weak",Update.esm direct official-winner QUST read: s250 CompleteQuest identifies Calixto as the Butcher and says the player helped bring him to justice.,Skyrim.esm:01F7A3,A,Direct true-killer route.
MS11b,Blood on the Ice,20,"Caught Calixto, brought the true Butcher to justice, and exonerated Wuunferth.","uphold_law_justice,expose_betray_secret,protect_the_weak","Skyrim.esm direct QUST read: s15 records another murder after Wuunferth's imprisonment; s20 CompleteQuest identifies Calixto, brings him to justice, and exonerates Wuunferth.",Skyrim.esm:020556,A,Recovery route after the wrongful-arrest terminal; mutually exclusive with MS11 s250.
MS07,Lights Out!,100,Extinguished Solitude's lighthouse to lure the Icerunner into a deliberate wreck.,"kill_the_helpless,murder_treacherous",Skyrim.esm direct QUST read: s50 records Jaree-Ra's request; s100 confirms the player extinguished the lighthouse and expected a ship to crash; s125 records that the Icerunner ran aground.,Skyrim.esm:023A64,A,"Scores the player's sabotage, not the later fight after Jaree-Ra's betrayal. Save the Icerunner dependency-route interaction requires ownership review before promotion."
MS12b,Repairing the Phial,100,Helped repair the White Phial in time for Nurelion to see it before he died.,heal_comfort,Update.esm direct official-winner QUST read: objectives 30/40/50/60 gather the repair materials and return to Quintus; s100 CompleteQuest says the player helped repair the Phial before Nurelion died.,Skyrim.esm:02499C,A,One-shot dying-wish outcome.
MS12,The White Phial,100,"Recovered the White Phial for the dying alchemist Nurelion, though it was found broken.",heal_comfort,Skyrim.esm direct QUST read: s10 records Nurelion's dying request; s100 CompleteQuest says the player retrieved the White Phial but found it damaged beyond repair.,Skyrim.esm:02C258,A,"Owner ruling 2026-08-12: the effort to fulfill a dying person's last request is covered by heal_comfort; no redundant tag added."
MS06,The Wolf Queen Awakened,150,Defeated the undead Queen Potema and recovered her remains for consecration.,"slay_undead,protect_the_weak",Skyrim.esm direct QUST read: s100 requires preventing Potema's full resurrection; s150 confirms the player defeated her and retrieved her bones for Styrr's blessing.,Skyrim.esm:026C4D,A,Uses the directly evidenced defeat-and-recovery stage rather than the generic reward terminal.
dunForelhostQST,Siege on the Dragon Cult,60,Defeated the Dragon Priest Rahgot and took his mask.,"slay_undead,protect_the_weak",Skyrim.esm direct QUST read: objective 50 requires obtaining Rahgot's mask; s60 explicitly confirms the player defeated the Dragon Priest and took it.,Skyrim.esm:035354,A,The later imposter-Valmir killing remains unrowed because s70 is only an instruction and the untexted s100/s110 route is not safely distinguished.
CWMission04,Rescue from <Alias=AttackPoint>,200,Freed imprisoned soldiers and captured the fort holding them.,"protect_the_weak,civic_service",Skyrim.esm direct QUST read: objectives 15/40 require freeing the prisoners and taking the fort; s200 CompleteQuest says the prisoners were rescued and the fort captured.,Skyrim.esm:035A23,A,One-shot Civil War rescue mission; no faction-specific tag because the same stage serves Legion and Stormcloak variants.
FreeformKolskeggrA,Kolskeggr Mine,100,Drove the Forsworn from Kolskeggr so Pavo and the miners could return to honest work.,"honest_labor_trade,uphold_law_justice",Skyrim.esm direct QUST+VMAD read: objectives 10/20 require clearing the mine and reporting to Pavo; s100 exists and owns QF_FreeformKolskeggrA_0001FD72 Fragment_2. RUNTIME-VERIFY.,Skyrim.esm:01FD72,C,Owner-approved correction: replace every unsafe core s200 mapping with s100; confirm the positional terminal fires after report-back.
CW02A,The Jagged Crown,160,Defeated the draugr defending Korvanjund.,slay_undead,Skyrim.esm direct QUST+VMAD read: objective 72 names defeating the draugr; s160 exists and owns QF_MQ103A_0002D75C Fragment_43. RUNTIME-VERIFY.,Skyrim.esm:02D75C,C,Owner-approved correction: replace every unsafe Imperial s72 mapping with s160; direct runtime confirmation remains required because the stage has no journal text.
CW02B,The Jagged Crown,160,Defeated the draugr defending Korvanjund.,slay_undead,Skyrim.esm direct QUST+VMAD read: s160 exists and owns QF_MQ103B_0002610B Fragment_40; the mirrored Imperial objective 72 names the shared draugr fight. RUNTIME-VERIFY.,Skyrim.esm:02610B,C,Owner-approved correction: replace every unsafe Stormcloak s72 mapping with s160; direct runtime confirmation remains required because the branch has no objective 72 or journal text.
