editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",disciplined_study,Akatosh,+,m,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: disciplined_study(m) from the Akatosh Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",disciplined_study,Julianos,+,S,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: disciplined_study(C) from the Julianos Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",disciplined_study,Auri-El,+,m,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: disciplined_study(S) from the Auri-El Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",disciplined_study,Magnus,+,S,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: disciplined_study(C) from the Magnus Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",disciplined_study,Xarxes,+,m,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: disciplined_study(S) from the Xarxes Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",disciplined_study,Azura,+,m,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: disciplined_study(m) from the Azura Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",forbidden_knowledge,Hermaeus Mora,+,S,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: forbidden_knowledge(C) from the Hermaeus Mora Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.",forbidden_knowledge,Vaermina,+,m,small,"s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us."" cross-gen KEEP: forbidden_knowledge(m) from the Vaermina Part B profile, stepped down.",HLIORemi.esp:62E259
HLIOMQ1,Reunion of the Fallen,100,Recovered the case of skooma the Riften guard had confiscated so it could be handed back to a smuggler.,theft_burglary,Zenithar,-,m,small,"s100 journal: ""We found a smuggler in Riften who will only give us information if we recover a case of skooma that the Riften guard took from him. We found the skooma, so we should return it to him."" cross-gen KEEP: theft_burglary(S) from the Zenithar Part B profile, stepped down.",HLIORemi.esp:46FA55
HLIOMQ1,Reunion of the Fallen,100,Recovered the case of skooma the Riften guard had confiscated so it could be handed back to a smuggler.,theft_burglary,Baan Dar,+,m,small,"s100 journal: ""We found a smuggler in Riften who will only give us information if we recover a case of skooma that the Riften guard took from him. We found the skooma, so we should return it to him."" cross-gen KEEP: theft_burglary(S) from the Baan Dar Part B profile, stepped down.",HLIORemi.esp:46FA55
HLIOMQ1,Reunion of the Fallen,100,Recovered the case of skooma the Riften guard had confiscated so it could be handed back to a smuggler.,theft_burglary,Rajhin,+,S,small,"s100 journal: ""We found a smuggler in Riften who will only give us information if we recover a case of skooma that the Riften guard took from him. We found the skooma, so we should return it to him."" cross-gen KEEP: theft_burglary(C) from the Rajhin Part B profile, stepped down.",HLIORemi.esp:46FA55
HLIOMQ1,Reunion of the Fallen,100,Recovered the case of skooma the Riften guard had confiscated so it could be handed back to a smuggler.,theft_burglary,Mephala,+,m,small,"s100 journal: ""We found a smuggler in Riften who will only give us information if we recover a case of skooma that the Riften guard took from him. We found the skooma, so we should return it to him."" cross-gen KEEP: theft_burglary(S) from the Mephala Part B profile, stepped down.",HLIORemi.esp:46FA55
HLIOMQ1,Reunion of the Fallen,100,Recovered the case of skooma the Riften guard had confiscated so it could be handed back to a smuggler.,theft_burglary,Nocturnal,+,S,small,"s100 journal: ""We found a smuggler in Riften who will only give us information if we recover a case of skooma that the Riften guard took from him. We found the skooma, so we should return it to him."" cross-gen KEEP: theft_burglary(C) from the Nocturnal Part B profile, stepped down.",HLIORemi.esp:46FA55
HLIOMQ1,Reunion of the Fallen,125,Helped Remi send an anonymous letter falsely denouncing Morvic to the Order of the Hour as a daedra worshipper.,deceit,Baan Dar,+,S,small,"s125 journal: ""Emboldened by her family's safety, Remiel wrote an anonymous letter to the Order of the Hour in Wayrest to frame Morvic as a daedra worshipper."" cross-gen KEEP: deceit(C) from the Baan Dar Part B profile, stepped down.",HLIORemi.esp:46FA55
HLIOMQ1,Reunion of the Fallen,125,Helped Remi send an anonymous letter falsely denouncing Morvic to the Order of the Hour as a daedra worshipper.,deceit,Rajhin,+,m,small,"s125 journal: ""Emboldened by her family's safety, Remiel wrote an anonymous letter to the Order of the Hour in Wayrest to frame Morvic as a daedra worshipper."" cross-gen KEEP: deceit(S) from the Rajhin Part B profile, stepped down.",HLIORemi.esp:46FA55
