editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
HFBigWeddingIF,HFBigWeddingIF,10,The player went through with the wedding ceremony and married Kaidan at the Temple of the Eight.,marriage_family,"s10 obj: ""Attend your wedding"" (tier B; s1 obj ""Speak to a priest at the Temple of the Eight""; terminal s40 carries no text) -- RUNTIME-VERIFY that the ceremony completes on this stage.",Kaidan - Immersive Features.esp:0EC87C,B,Temple wedding variant; mutually exclusive with the HFWRWedding ceremony.
HFWRWedding,HFWRWedding,10,The player went through with the wedding ceremony and married Kaidan at Dragonsreach.,marriage_family,"s10 obj: ""Attend your wedding"" (tier B; s1 obj ""Take Kaidan, Vilkas and Farkas to speak to Balgruuf"") -- RUNTIME-VERIFY that the ceremony completes on this stage.",Kaidan - Immersive Features.esp:46DB25,B,Dragonsreach wedding variant; mutually exclusive with HFBigWeddingIF.
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.","kill_honorable_combat,honor_the_dead","s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer.""",Kaidan - Immersive Features.esp:162E4A,A,Vengeance branch of the s110 kill-or-spare choice; mutually exclusive with s121.
KaiComp,Vengeance and Honor,121,"Kaidan took the path of mercy and spared Wulf, who then died of his wounds and left the hammer behind.","mercy_spare,honor_the_dead","s121: ""Kodlak's murderer succumbed to his injuries, enabling Kaidan to reclaim the hammer the man had refused to surrender.""",Kaidan - Immersive Features.esp:162E4A,A,Mercy branch of the s110 kill-or-spare choice; mutually exclusive with s120.
KaiHoneymoon,With You All The Way,120,The newlyweds reached Northwind Summit and settled in for their honeymoon together.,marriage_family,"s120: ""We finally met up with Kaidan and he took me back to Northwind Summit. We can stay here as long as we want for a honeymoon.""",Kaidan - Immersive Features.esp:A5EA55,A,Same arc as s150; the honeymoon begins here.
KaiHoneymoon,With You All The Way,150,The player saw the honeymoon through with their spouse before returning to the road.,marriage_family,"s150 [COMPLETE]: ""We finally met up with Kaidan and he took me back to Northwind Summit for a honeymoon.""",Kaidan - Immersive Features.esp:A5EA55,A,Terminal of the honeymoon arc; single outcome.
KaiJail,(Another) Bounty for the Hunter,70,The player hunted down and killed the dragon at Rift Watchtower as the price of Kaidan's release.,kill_honorable_combat,"s70: ""The dragon is now dead and I should take to bones and scales to Lillith.""",Kaidan - Immersive Features.esp:31506F,A,Single outcome; the kill is Maven's price rather than a free choice.
KaiJail,(Another) Bounty for the Hunter,100,The player got Kaidan out of Riften's jail after brokering his release through Brynjolf and Maven.,"defend_kin_home,protect_the_weak","s100: ""I've now freed Kaidan but I should wait for a little while and see if he wants to talk about what happened.""",Kaidan - Immersive Features.esp:31506F,A,Single outcome; the release was bought through Maven's corrupt bargain.
KDBro,KDBro,30,The player committed Kaidan to joining the Dark Brotherhood and told Astrid so.,assassination_contract,"s30 obj: ""Tell Astrid that Kaidan will join the Dark Brotherhood"" (tier B, no journal text; terminal s80 inferred) -- RUNTIME-VERIFY that this stage fires on the pledge to Astrid.",Kaidan - Immersive Features.esp:FE62C9,B,"Single outcome; Sithis and the Night Mother are not Daedric Princes, so no namespaced tag applies."
KMDNightmares,Ashes of His Past,41,The player refused to be pushed away and swore to stand as Kaidan's shield through his collapse.,"heal_comfort,keep_oath","s41: ""He is my shield and it is about time he learned that I will be his as well whether he likes it or not.""",Kaidan - Immersive Features.esp:8E7001,A,Single outcome; the payoff of the repeated refusals to abandon him.
KMDNightmares,Ashes of His Past,50,Rosalind was killed and Kaidan was freed from the nightmares her cult had inflicted on him.,kill_honorable_combat,"s50 [COMPLETE]: ""Rosalind is dead. Mehrunes Dagon seems satisfied, at least for now.""",Kaidan - Immersive Features.esp:8E7001,A,Single outcome; Dagon is only 'satisfied' so no namespaced Daedric tag is asserted.
KMDRosalindScenePost,Absolution by Dragon Fire,25,The player drew Kaidan out of Rosalind's self-loathing and he chose to fight for their future.,heal_comfort,"s25: ""He finally seems to realize that it isn't enough to just leave his past behind. He has to want to fight for his future... and he's ready to try.""",Kaidan - Immersive Features.esp:8E1EEB,A,Single outcome.
KMDRosalindScenePost,Absolution by Dragon Fire,40,Both spoke their hearts plainly and committed to a shared future together.,"marriage_family,keep_oath","s40: ""We both took a leap of faith and spoke our hearts. No more being afraid or letting doubt and what if's determine what happens between us.""",Kaidan - Immersive Features.esp:8E1EEB,A,Single outcome.
KMDRosalindScenePost,Absolution by Dragon Fire,80,Kaidan let go of his guilt over the cult and the two bound themselves to one another for good.,"marriage_family,heal_comfort","s80 [COMPLETE]: ""he now accepts that I will always stand beside him... I am his and he is mine.""",Kaidan - Immersive Features.esp:8E1EEB,A,Terminal of the reconciliation arc; single outcome.
KNPCKarisiff,A Bard in Wolf's Clothing,110,The player kept a three-favour bargain with Karisiff and secured her a paying post as the Ragged Flagon's bard.,charity,"s110 [COMPLETE]: ""I completed three favors for her... collected bear claws, retrieved Petunia her lute, and arranged for her to have a job as The Ragged Flagon's bard.""",Kaidan - Immersive Features.esp:A5EA4E,A,Single outcome; the fetch legs themselves are not judged.
