race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Azura,Boon -- Seeker (Tier 1),10,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Bless_Daedric_Azura_Seeker,Boon description,Quiet,Narrator,140,200,130,,Passive blessing description; visible whenever the player views active effects.,Azura opens the threshold a little. At dawn and dusk your sight sharpens -- a brief foresight that reads danger before it strikes.,
Azura,Boon -- Devoted (Tier 2),11,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Bless_Daedric_Azura_Devoted,Boon description,Quiet,Narrator,140,200,142,,Passive blessing description; visible whenever the player views active effects.,"Azura's twilight is yours. Crossing thresholds -- doorways, dawns, deaths narrowly escaped -- grants a span of clearer sight and warded steps.",
Azura,Boon -- Champion (Tier 3),12,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Bless_Daedric_Azura_Champion,Boon description,Quiet,Narrator,140,200,144,,Passive blessing description; visible whenever the player views active effects.,"Azura names you her seer. Foresight holds through the dim hours; what is fated to harm you announces itself, and her star shelters your passage.",
Azura,Price -- Seeker (Tier 1),20,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Price_Daedric_Azura_Seeker,Price description,Quiet,Narrator,140,200,113,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of foresight: the burden of knowing. Visions intrude unbidden, and what you have seen cannot be unseen.",
Azura,Price -- Devoted (Tier 2),21,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Price_Daedric_Azura_Devoted,Price description,Quiet,Narrator,140,200,135,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: fate obligates. Azura's sight comes with her demands, and the path she shows is not always the one you would choose.",
Azura,Price -- Champion (Tier 3),22,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Price_Daedric_Azura_Champion,Price description,Quiet,Narrator,140,200,159,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: you are bound to the prophecy. The sight that protects you also commits you; you serve the pattern Azura reveals, whether or not it serves you.",
Azura,Tier-up -- Seeker,30,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Notif_Daedric_Azura_SeekerEntry,Notification,Noted,Narrator,60,80,43,,HUD corner notification. One per save.,Azura counts you a Seeker at the threshold.,
Azura,Tier-up -- Devoted,31,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Notif_Daedric_Azura_DevotedEntry,Notification,Marked,Narrator,60,80,41,,HUD corner notification. One per save.,Azura holds you in her twilight. Devoted.,
Azura,Tier-down (lapse),32,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Notif_Daedric_Azura_Lapse,Notification,Noted,Narrator,60,80,47,,HUD corner notification. One per direction per save.,Azura's star dims for you. The foresight fades.,
Azura,Champion recognition (MessageBox),33,"Azura (Daedric path): Prophetic, twilight-voiced, poised between dawn and dusk; speaks of fate, thresholds, and what is foreseen; the gentlest of the Princes, but her foresight binds. On the global path she is a foreign star, not the Dunmer mother.",PDV_Msg_Daedric_Azura_ChampionEntry,MessageBox,Marked,God-voice,280,500,12+209,,MessageBox. One-time on first Champion tier.,"Title: ""Azura's Seer"" Body: ""You watched the thresholds and trusted what you saw there. Few outside my children do. I name you seer, Champion -- and a seer belongs to the fate they witness. Walk the pattern. It was always going to be you.""",
