editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,"break_oath_betray,exploit_cheat",Malacath,-,C,milestone,"T14 direct raw-file read: s100 CompleteQuest explicitly says M'rissi has been made to behave like a docile slave; the completed coercion betrays a trusted companion.",MrissiTailOfTroubles.esp:554AD5
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,"break_oath_betray,exploit_cheat",Akatosh,-,S,milestone,"T14 direct raw-file read: s100 CompleteQuest records the completed enslavement; Akatosh's oath/order profile rejects the betrayal of a trusted companion.",MrissiTailOfTroubles.esp:554AD5
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,"break_oath_betray,exploit_cheat",Z'en,-,S,milestone,"T14 direct raw-file read: s100 CompleteQuest records the completed enslavement and exploitation of a trusted companion.",MrissiTailOfTroubles.esp:554AD5
MRTstage8,M'rissi's Tails of Troubles,125,Married M'rissi,marriage_family,Mara,+,C,milestone,"T14 direct raw-file read: s125 CompleteQuest carries the direct marriage journal.",MrissiTailOfTroubles.esp:30DCA3
MRTstage8,M'rissi's Tails of Troubles,250,Joined M'rissi in a kinship ceremony,marriage_family,Mara,+,C,milestone,"T14 direct raw-file read: s250 CompleteQuest carries the direct kinship-ceremony journal.",MrissiTailOfTroubles.esp:30DCA3
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,"break_oath_betray,exploit_cheat",Zenithar,-,S,small,"T14 cross-gen KEEP: completed enslavement is direct exploitation; stepped down from Zenithar's core rejection.",MrissiTailOfTroubles.esp:554AD5
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,"break_oath_betray,exploit_cheat",Stuhn,-,m,small,"T14 cross-gen KEEP: betraying a trusted companion into bondage violates Stuhn's honored bond; stepped down.",MrissiTailOfTroubles.esp:554AD5
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,"break_oath_betray,exploit_cheat",Trinimac,-,m,small,"T14 cross-gen KEEP: betraying a trusted companion violates Trinimac's oath ethic; stepped down.",MrissiTailOfTroubles.esp:554AD5
MRTstage8,M'rissi's Tails of Troubles,125,Married M'rissi,marriage_family,Dibella,+,m,small,"T14 cross-gen KEEP: the direct marriage completion matches Dibella's family profile; stepped down.",MrissiTailOfTroubles.esp:30DCA3
MRTstage8,M'rissi's Tails of Troubles,250,Joined M'rissi in a kinship ceremony,marriage_family,Dibella,+,m,small,"T14 cross-gen KEEP: the direct kinship ceremony matches Dibella's family profile; stepped down.",MrissiTailOfTroubles.esp:30DCA3
