editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
SU04SachilFollower_A6_ScaredDungeon,Sa'chil's Fear of Ruins,20,Comforted Sa'chil through her fear of caves and ruins.,heal_comfort,"s20 journal: ""You talked to Sa'chil about her irrational fear and she feels better now. She won't be scared of caves or ruins now. She appreciates it a lot!""",SU04SachilFollower.esp:32D315,A,Single outcome.
SU04SachilFollower_A7_PlayerHurtSachil,Sa'chil Hurt by the Player,50,Hurt Sa'chil repeatedly until she could no longer forgive the player.,,"s50 journal: ""Sa'chil hurt for the last time. Cannot forgive player.""",SU04SachilFollower.esp:3E8886,A,NEEDS-TAG: abuse_companion; existing vocabulary has no nonlethal companion-abuse primitive.
SU04SachilFollower_B6_RomancePicnic,Groveside Picnic,12,Shared a quiet picnic with Sa'chil and strengthened the relationship.,marriage_family,"s12 [COMPLETE] journal: ""I sat together with her and talked for a bit. I hope it was succesfull in strengthening our bond.""",SU04SachilFollower.esp:CD08D4,A,Romance milestone; not a generic interaction row.
SU04SachilFollower_B8_Marriage,Marriage,100,Married Sa'chil and established a shared household.,marriage_family,"s100 journal: ""Marriage finished, married""; the record's CompleteQuest flag sits earlier at s33, so this later explicit marriage state is used and must be runtime-confirmed. RUNTIME-VERIFY",SU04SachilFollower.esp:B4F743,A,Marriage outcome; no honor_divine tag because the act is marriage rather than worship.
SU04SachilFollower_D3_TheKhajiitReturns,The Khajiit Returns,20,Helped Sa'chil deceive Whiterun's guard into accepting a fabricated authorization.,deceit,"s5 journal: ""Her plan is to manipulate a guard into believing there is a new 'Capital captain' who gave her clearance""; s20 [COMPLETE]: ""The message will be spread, and Sa'chil is now welcome in Skyrim.""",SU04SachilFollower.esp:85205E,A,Single deception outcome.
SU04SachilFollower_E1_Ketud,Big Brother's Omen,60,Protected Sa'chil and Ke'tud from a dragon and earned her brother's trust.,protect_the_weak,"s30 objective: Kill the Frenzied Dragon; s60 [COMPLETE] journal: ""I have atleast won Ke'tud's trust with protecting him and Sa'chil from that dragon.""",SU04SachilFollower.esp:624BBA,A,Single outcome; protection is explicit in the terminal journal.
SU04SachilFollower_E3_Ambushes,Wrath of Hammerfell,70,Kept Sa'chil safe through repeated kidnapping attempts and her mother's final attack.,protect_the_weak,"s50 journal: ""Marilyn is attacking me! I have to defend Sa'chil!""; s70 [COMPLETE]: ""Marilyn is dead. Sa'chil's father Tanan has ordered Sa'chil to come home for two weeks.""",SU04SachilFollower.esp:AC1591,A,Terminal of one escalating protection arc; earlier ambushes are not rowed separately.
SU04SachilFollower_E4_ReturnFromHammerfell,Mending the Shattered Hearth,30,Welcomed Sa'chil home after her family began healing from Marilyn's death.,marriage_family,"s30 [COMPLETE] journal: ""Sa'chil has shown me what she has done to Reachwind Eyrie... it seems like her family is doing better than ever without Marilyn.""",SU04SachilFollower.esp:B03462,A,Positive home-renovation branch; mutually exclusive with the rejected-renovation s32 ending.
SU04SachilFollower_E5_Aydith,Child of Aydith,70,Protected a child version of Sa'chil through her nightmare and helped her escape.,protect_the_weak,"s50 journal: ""I should follow and protect her at all costs""; s70 [COMPLETE]: ""I met a younger Sa'chil there, and made a bridge together with her to escape the dream, and the beasts within.""",SU04SachilFollower.esp:D0D855,A,Single outcome; nightmare setting alone is not service to Vaermina.
SU04SachilFollower_Q6_ThievesGuild,Thieves Guild Commentary,7,Refused Sa'chil's offer to plant a ring for the player.,,"s5 journal: ""Sa'chil asks you about planting a ring for you.""; s7 journal: ""Player declined""",SU04SachilFollower.esp:E3DF2D,A,NEEDS-TAG: refuse_criminal_faction; accepted branch is not rowed because it duplicates the vanilla Brand-Shei frame already covered by core.
