"WorshipObject","DomainCluster","Nord","Imperial","Breton","Altmer","Bosmer","Dunmer","Khajiit","Argonian","Orc","Redguard","Notes"
"Kyne","Nordic divine / sky / storm / warrior-spirit","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Core Nord Old Ways lane; proof-slice deity"
"Kynareth","Imperial Divine / sky / travel / nature","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Nords blend Nine Divines in practice; Khajiit use Khenarthi instead"
"Talos","Human apotheosis / empire / defiance","NATIVE","FOREIGN","NATIVE","HOSTILE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Altmer hostility is explicit; Breton acceptance follows Tiber-Septim civic reading"
"Shor","Nordic Lorkhan-form / afterlife / kingship","NATIVE","FOREIGN","HOSTILE","HOSTILE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","HOSTILE","Kept separate from Sep and Lorkhaj during matrix pass"
"Tsun","Trial / honorable combat / threshold guardian","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Nord-specific honorable-trial lane"
"Stuhn","Mercy in war / ransom / fair combat","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Nord-specific martial-mercy frame"
"Mara","Love / hearth / compassion","NATIVE","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Exists in multiple pantheons but not equally central in every file"
"Akatosh","Imperial Divine / time / civic order","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Altmer native form is Auri-El instead"
"Arkay","Death order / burial / life cycle","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Redguard native analogue is Tu'whacca"
"Stendarr","Mercy / righteous rule / restraint","NATIVE","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Altmer can access Stendarr within full pantheon"
