"Prince","PrincePathType","CommitmentSignal","TemptationPressure","Boon","PrimaryPrice","VanillaHookPriority","BuildabilityTag","Nord","Imperial","Breton","Dunmer","Altmer","Khajiit","Bosmer","Redguard","Orc","Argonian","Notes"
"Azura / Azurah","Fate-dawn-dusk-prophecy","Azura quest outcome, artifact alignment, repeated twilight-threshold acts","Twilight observance, mercy to cursed, prophetic curiosity","Threshold foresight and liminal protection","Fate obligation and prophetic burden","The Black Star > Azura shrine > artifact outcome","Vanilla Hook","Taboo; foreign cult strain against Nord hearth-war frame; cleanse or rededicate","Taboo; non-civic cult reading strains Divine public order; shrine cleansing or rededication","Legible; threshold witchcraft is intelligible but socially risky; cover or rededicate","Native; Good Daedra depth, no outsider stigma; normal switch or ancestor-led rededication","Taboo; apostasy from Auri-El order; difficult absolution only","Native; Azurah is core lunar theology; normal switch within lunar substrate","Foreign; intelligible but not core path; cleansing or quiet abandonment","Foreign; not core Yokudan lane; shrine or ancestor re-entry","Taboo; outsider path beside Malacath code, not normal Orc devotion; hard renunciation","Foreign; outside Hist/community substrate; drift off or ritual cleansing","Native-integrated for Dunmer and Khajiit only"
"Boethiah / Boethra","Struggle-overthrow-trial","Boethiah quest resolution, sacrifice/betrayal threshold, repeated trial-of-strength choices","Admiration for proving, overthrow, ruthless self-assertion","Conflict-winning edge and trial momentum","Conflict escalation and trust damage","Boethiah's Calling > betrayal outcome > proving acts","Vanilla Hook","Taboo; anti-social proving strains Nord communal honor; rededicate through accepted gods","Taboo; anti-civic cult strains legal-divine frame; public penance or abandonment","Taboo; intelligible in occult margins but socially corrosive; cover or renounce","Native; Reclamation layer with no outsider stigma; normal switch or temple-style rededication","Hostile; betrayer of Trinimac narrative strains full orthodoxy; severe rupture only","Legible; Boethra is a known Khajiiti name but not a lunar lane; global path, abandonment or native reframing","Taboo; intelligible as pressure but not normal Bosmer lane; costly renunciation","Foreign; outsider proving ethos, may challenge honor frame; hard rededication","Hostile; deepest Orc rival pressure against Malacath memory; hard rupture only","Foreign; not a Hist/community lane; abandonment or cleansing","Hostility for Altmer and Orc is load-bearing"
"Mephala / Mafala","Web-secret-murder-clan","Whispering Door / Ebony Blade threshold, hidden-loyalty bargains, deliberate web-building","Secrecy, manipulation, hidden loyalties, curated murder logic","Secret-network leverage and hidden-path advantage","Social corruption and hidden violence","The Whispering Door > Ebony Blade > hidden-network choices","Vanilla Hook","Taboo; hidden murder-web strains open honor and kin trust; shrine cleansing or renunciation","Taboo; anti-civic secrecy strains public virtue; confession/cleansing or abandonment","Legible; witchcraft secrecy is intelligible but risky; cover or rededicate","Native; Reclamation/hidden-community lane is culturally legible; normal switch","Taboo; covert corruption violates orthodoxy; difficult absolution","Legible; Mafala is a known Khajiiti name but not a lunar lane; global path, withdrawal or native reframing","Foreign; trickster overlap exists but not core theology; quiet abandonment","Foreign; secret-web lane is alien to open honor frame; hard re-entry to civic trust","Taboo; hidden corruption strains Malacath code; renunciation through proof and cost","Foreign; not a Hist lane, and generic stealth does not justify it; drift off","Do not flatten Mephala into generic stealth behavior"
"Malacath / Mauloch","Oath-exile-code-vengeance","The Cursed Tribe / Volendrung / Blood-Kin / exile-defense threshold","Sympathy with the rejected, oath pressure, retaliatory justice","Endurance, oath retaliation, and outsider resilience","Harsh judgment and code burden","The Cursed Tribe > Volendrung > stronghold/Blood-Kin context","Vanilla Hook","Foreign; understandable outsider god but not normal Nord lane; abandon or cleanse","Taboo; legally/civically suspect outsider path; cleansing or public renunciation","Foreign; can read as harsh outsider code but not Breton baseline; cover or renounce","Taboo; House of Troubles-adjacent pressure, not normal devotion; hard rededication","Taboo; degraded ancestor narrative outside orthodoxy; difficult absolution","Foreign; not a standard lunar lane; abandonment or cleansing","Foreign; Wild-Hunt world can read exile but not as core Bosmer path; drift off","Hostile; Malooc remains cautionary enemy-god; severe rupture only","Native; core Orc code, normal deep progression; normal switch within Orc mode logic","Foreign; outside Hist/community substrate; quiet abandonment","Orc-native exception; Redguard hostility is explicitly preserved"
"Meridia","Cleansing-light-anti-undead overlay","Meridia quest outcome, Dawnbreaker service, repeated undead-cleansing milestones","Anti-undead zeal, purity drive, cleansing instinct","Undead-cleansing edge and radiant corruption resistance","Authoritarian purity and anti-undead intolerance","The Break of Dawn > Dawnbreaker > undead/necromancer cleansing","Vanilla Hook","Tolerated; anti-undead utility fits but remains outsider devotion; normal abandonment","Tolerated; anti-undead service fits civic frame, still non-core; shrine cleansing","Tolerated; acceptable outside witchcraft lane; normal rededication","Foreign; useful against undead but outside Dunmer religious center; quiet abandonment","Foreign; not core orthodoxy but not uniquely catastrophic; difficult but possible renunciation","Foreign; can be respected situationally without replacing lunar frame; abandonment","Foreign; useful but not Bosmer backbone; abandonment","Tolerated; anti-undead service fits Tu'whacca duties if subordinate; normal re-entry","Foreign; tolerated utility, not Orc core lane; renounce through action","Foreign; can aid corruption-fighting but does not replace Hist/community; abandonment","Best treated as tolerated-access in several cultures without becoming native"
"Hircine","Hunt-lycanthropy-predator","Ill Met by Moonlight, active lycanthropy, Companions/wild-hunt threshold","Predator behavior, hunt ritual, fascination with beast-shape","Tracking, hunt momentum, and predator clarity","Predatory instinct and social/afterlife tension","Ill Met by Moonlight > werewolf state > Companions","Vanilla Hook","Curse; intelligible through hunt and Companions but strains Shor/Sovngarde; cure or hard renunciation","Curse; werewolf access overrides normal civic rejection; cure or slow rededication","Legible; witchcraft and druidic frames can read the hunt, but cost varies by path; cure, fork, or rededicate","Foreign; no stable Dunmer framework, only outsider pressure; cure or abandon","Hostile; beast regression opposes Apotheosis, almost no positive lane; cure only","Curse; moon-identity remains but beast-shape strains belonging; cure or controlled distancing","Legible; Wild-Hunt adjacency makes it intelligible but not orthodox; cure or costly re-entry","Curse; no true Redguard Hircine home, only homelessness under curse; cure then restore","Curse; conditionally defensible through strength if controlled; prove discipline or cure","Curse; strains Hist relation but is not total collapse; cure or stabilize through care","Primary curse-access Prince across multiple race files"
"Molag Bal","Domination-vampirism-enslavement","House of Horrors, active vampirism, Volkihar / domination threshold","Cruel control, desecration, fascination with vampiric power","Domination edge, coercive pressure, vampiric leverage","Domination corruption and spiritual violation","The House of Horrors > vampirism > Mace of Molag Bal","Vanilla Hook","Curse; vampirism opens severe rupture path against Nord afterlife; cure and rededicate","Curse; Divine frame collapses under vampirism, only post-cure restoration; cure then lowered-floor return","Curse; witchcraft can read the danger but the price is severe; cure, cover, or renounce","Taboo; House of Troubles pressure and vampire alternative, not normal Dunmer devotion; cure or ancestor rededication","Curse; catastrophic apostasy under vampirism with no clean recovery; cure at best, no full restoration","Curse; identity remains but is corrupted and weakened under vampirism; cure or shadow withdrawal","Curse; hard theological break across Bosmer paths; cure or costly re-entry","Hostile; breaks Far Shores destiny and mortality order; cure then Tu'whacca restoration","Taboo; dependency and contradiction against Malacath code; cure or hard renunciation","Curse; damages Hist and community deeply, Sithis pressure rises but does not justify it; cure or grief-state recovery","Molag Bal is mostly a curse-access lane even where not literally marked Curse"
"Nocturnal","Shadow-oath-luck-debt","Thieves Guild / Nightingale oath / Skeleton Key threshold","Secrecy, opportunism, luck-seeking, criminal glamour","Shadow luck, concealment, and oath-bound stealth support","Debt, oath-binding, and luck withdrawal","Thieves Guild > Nightingale oath > Skeleton Key","Vanilla Hook","Taboo; criminal oath cult strains open Nord honor; renounce oath or endure residue","Taboo; non-civic shadow path strains legal-divine order; oath release if possible","Legible; shadow bargains fit Breton margins but stain public standing; oath release or cover","Taboo; hidden-network overlap exists but Nocturnal remains outsider pressure; hard rededication","Taboo; shadow oath is apostasy from Altmer order; difficult absolution","Taboo; Rajhin remains native trickster lane, Nocturnal is external pressure; oath release or withdrawal","Legible; criminal overlap exists but Baan Dar remains native trickster core; oath release or costly switch","Taboo; outsider criminal cult against honor frame; renounce and restore trust","Taboo; cunning can tempt exiles but it is not Malacath code; oath release or renunciation","Foreign; stealth or outsider life does not make Nocturnal native; drift off or cleanse","Keep Rajhin and Baan Dar distinct from Nocturnal"
"Hermaeus Mora","Forbidden-knowledge-artifact","Discerning the Transmundane, Oghma Infinium, Black Book acceptance, dangerous secret bargains","Curiosity, private scholarship, forbidden archives, truth-at-cost appetite","Knowledge yield, spell insight, and secret access","Knowledge corruption and agency erosion","Discerning the Transmundane > Oghma Infinium > Black Books","Vanilla Hook","Taboo; dangerous outsider knowledge strains Nord mythic frame; renounce and cleanse","Taboo; anti-civic forbidden knowledge strains law and piety; abandon or purge","Legible; witchcraft and secret scholarship make it intelligible but costly; cover or renounce","Foreign; scholars may engage it, but it is not Dunmer core faith; abandon or carefully rededicate","Taboo; study is not worship, and Mora is apostasy; difficult absolution","Legible; Hermorah is culturally legible but should not overwrite lunar substrate; quiet withdrawal or native reframing","Foreign; explicit correction keeps Bosmer Herma-Mora separate from this path; abandonment","Foreign; dangerous scholarship exists but is not Redguard backbone; abandon","Taboo; cunning bargains for knowledge strain Malacath code; renounce through cost","Foreign; explicit dangerous knowledge can matter, but not as Hist substitute; abandon","Khajiit legibility does not mean baseline replacement of lunar order"
"Mehrunes Dagon","Destruction-revolution-ruin","Pieces of the Past, Razor commitment, catastrophic overthrow alignment","Attraction to ruin, anti-order violence, revolutionary destruction","Burst destructive advantage against entrenched targets","Ruin escalation and civic-spiritual rupture","Pieces of the Past > Mehrunes' Razor > destructive outcomes","Vanilla Hook","Taboo; apocalypse cult opposes hearth and continuity; renounce and cleanse","Hostile; Oblivion-memory and civic ruin make this explicit enemy pressure; hard rupture only","Taboo; occult rebellion is intelligible but catastrophic socially; cover or renounce","Taboo; outsider ruin path against layered duty and community; abandon","Taboo; destructive anti-order cult violates orthodoxy; difficult absolution","Taboo; chaos path conflicts with lunar order except as dark pressure; abandon","Taboo; ruin cult opposes continuity and covenant; renounce","Hostile; foreign destroyer opposes way-making and civic survival; severe rupture only","Taboo; destruction for its own sake strains Orc code and provision; renounce","Foreign; collapse/change is not automatically Sithis, and Dagon is outsider ruin; abandon","Imperial hostility is stronger than generic taboo because of Oblivion memory"
