editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
zzzPO01Informant,Unfinished Business,13,Tracked down and killed the escaped Dark Brotherhood assassin under Penitus Oculatus orders and took the leaders' locations off the body.,"serve_empire_order,uphold_law_justice","s13: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>. I've also discovered the locations of Cicero and Babette.""",Penitus_Oculatus.esp:00A9C4,A,"Kill branch; mutually exclusive with the spare branch at s5."
zzzPO01Informant,Unfinished Business,5,Spared the defecting Dark Brotherhood assassin and escorted the target safely to the Penitus Oculatus outpost in return for the leaders' locations.,"mercy_spare,serve_empire_order","s5: ""My target has defected from the Dark Brotherhood, and I have escorted <Alias.PronounObj=DarkBrotherhoodRemnant> safely to the Penitus Oculatus outpost as promised, <Alias.Pronoun=DarkBrotherhoodRemnant> has provided me with the locations of Cicero and Babette.""",Penitus_Oculatus.esp:00A9C4,A,"Spare/escort branch; mutually exclusive with the kill branch at s13."
zzzPO02Babette,Bad Blood,2,Hunted down and killed the escaped Dark Brotherhood assassin named in the assignment.,"serve_empire_order,uphold_law_justice","s2: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location>."" (obj: Report to <Alias=Questgiver>)",Penitus_Oculatus.esp:004E19,A,"Single outcome; record states no vampire or undead trait for the target."
zzzPO03Cicero,Fool's Errand,3,Killed the escaped Dark Brotherhood assassin and took the Dawnstar Sanctuary passphrase from the dead target's journal.,"serve_empire_order,uphold_law_justice","s3: ""I've eliminated <Alias=DarkBrotherhoodRemnant> at <Alias=Location> and discovered the passphrase to the Dawnstar Sanctuary from <Alias.PronounPos=DarkBrotherhoodRemnant> journal.""",Penitus_Oculatus.esp:008968,A,"Single outcome; s2 records the same kill mid-progression."
zzzPO04Sanctuary,A Nest of Vipers,4,Cleared the Dawnstar Sanctuary by killing the Dark Brotherhood remnants hiding there and foiled their plot to assassinate the Emperor.,"serve_empire_order,uphold_law_justice","s4: ""I've eliminated the Dark Brotherhood remnants hiding out at The <Alias=Location> and foiled a plot to assassinate the emperor.""",Penitus_Oculatus.esp:00CA4B,A,"Single outcome; s3 records the same clearance mid-progression."
zzzPO05AmaundMotierre,Loose Ends,2,Tracked down and killed Amaund Motierre the noble who had commissioned the plot against the Emperor.,"serve_empire_order,uphold_law_justice","s2: ""I've eliminated <Alias=Target> at <Alias=Location>."" (obj: Report to <Alias=Questgiver>)",Penitus_Oculatus.esp:00DFE9,A,Single outcome.
zzzPORadiant01,Unfinished Business,2,Tracked down and killed an escaped Dark Brotherhood assassin on Penitus Oculatus assignment.,"serve_empire_order,uphold_law_justice","s2: ""I've eliminated the target at <Alias=Location>."" (obj: Eliminate the Dark Brotherhood remnant)",Penitus_Oculatus.esp:003884,A,"Single outcome; radiant and repeatable."
zzzPORadiant02,House Cleaning,2,Hunted down and killed the rogue Penitus Oculatus agents on assignment from the order itself.,"serve_empire_order,uphold_law_justice","s2: ""I've eliminated the targets at <Alias=Location>."" (obj: Eliminate the rogue Penitus Oculatus agents)",Penitus_Oculatus.esp:01B2C2,A,"Single outcome; radiant and repeatable."
zzzPORadiant03,Paperwork,2,Took the Thalmor agent's documents in a covert operation run around the hold's own authorities.,"serve_empire_order,theft_burglary","s2: ""I've obtained the documents."" (obj: Obtain the Thalmor documents; s1: ""This is a clanstine operation; I am to avoid any entanglement with <Alias=HoldLocation> authorities."")",Penitus_Oculatus.esp:01B2CB,A,"Single outcome; means of acquisition unstated beyond covert taking."
zzzPORadiant04,Inquisition,2,Killed the noble found to be serving the Aldmeri Dominion in a covert operation concealed from the hold's authorities.,"assassination_contract,serve_empire_order","s2: ""I've eliminated the target at <Alias=Location>."" (s1: ""a noble at <Alias=Location> is a traitor working for the Aldmeri Dominion... This is a clandestine operation; I am to avoid any entanglement with <Alias=HoldLocation> authorities."")",Penitus_Oculatus.esp:01BD9F,A,"Single outcome; ordered covert kill, not a public lawful execution."
zzzPORadiant05,Troubleshoot,2,Killed the Thalmor agent interfering with Penitus Oculatus operations in a covert operation concealed from the hold's authorities.,"assassination_contract,serve_empire_order","s2: ""I've eliminated the target at <Alias=Location>."" (s1: ""A Thalmor agent at <Alias=Location> is interfering with Penitus Oculatus operations... This is a clandestine operation; I am to avoid any entanglement with <Alias=HoldLocation> authorities."")",Penitus_Oculatus.esp:01CDD1,A,"Single outcome; ordered covert kill, not a public lawful execution."
