formid,source_plugin,editor_id,quest_name,classification,stage_count,journal_stage_count,completion_stages,objective_count,evidence_summary,notes
000E46:Skyrim.esm,Dawnguard.esm,CreatureDialogueWerewolf,CreatureDialogueWerewolf,structural-silent,11,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=11; journal_stages=none; completion_stages=none; objectives=0,
013E06:Skyrim.esm,Skyrim.esm,VoicePowers,Voice Powers,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
013EB3:Skyrim.esm,Update.esm,DialogueGeneric,Generic dialogue,structural-silent,0,0,,0,direct_mcp_review=ok; source=Update.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
0143AF:Skyrim.esm,Skyrim.esm,DragonControl,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
015CC2:Skyrim.esm,Skyrim.esm,dunEldergleamT03,,semantic-silent,6,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=6; journal_stages=none; completion_stages=none; objectives=0,
015D24:Skyrim.esm,Skyrim.esm,TGRDU,The Shill Job,semantic-silent-radiant-or-template,4,3,200,2,direct_mcp_review=ok; source=Skyrim.esm; stages=4; journal_stages=20|200|250; completion_stages=200; objectives=2,
015FCC:Skyrim.esm,Skyrim.esm,DialogueRiverwoodSceneA,Riverwood test scene,structural-silent,1,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0,
0167D3:Skyrim.esm,Update.esm,WICastMagic03,Shout - Guard says stop,semantic-silent-radiant-or-template,3,0,,1,direct_mcp_review=ok; source=Update.esm; stages=3; journal_stages=none; completion_stages=none; objectives=1,
016C8D:Skyrim.esm,Skyrim.esm,MS05_dunDeadMensRespiteQST,,semantic-silent,29,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=29; journal_stages=none; completion_stages=none; objectives=0,
016FA6:Skyrim.esm,Skyrim.esm,DialogueGenericSceneSpecial01,DialogueGenericSceneSpecial01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
