race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Altmer,First blessing (Tier 1),10,,PDV_Bless_Altmer_Pantheon_T1,Blessing description,Quiet,Narrator,140,200,109,,Passive blessing description; visible whenever the player views active effects.,Auri-El is acknowledged at dawn. Spells in all schools cost 3% less and your resistance to magic rises by 5%.,
Altmer,Deepening blessing (Tier 2),11,,PDV_Bless_Altmer_Pantheon_T2,Blessing description,Quiet,Narrator,140,200,164,,Passive blessing description; visible whenever the player views active effects.,"The pantheon relationship is stable and coherent. At dawn, a spell-cost reduction holds until noon. Advancing a magic skill makes the next cast of that school free.",
Altmer,Devoted blessing (Tier 3),12,,PDV_Bless_Altmer_AuriEl_T3,Blessing description,Quiet,Narrator,140,200,115,,Passive blessing description; visible whenever the player views active effects.,"Auri-El watches your return. Magic regenerates 25% faster out of combat; from dawn to midday, spells cost 15% less.",
Altmer,Devoted blessing (Tier 3),12,"Magnus: Precise, scholarly, escape-coded; the architect who got out; speaks of the Elder Way and of the arts as the road.",PDV_Bless_Altmer_Magnus_T3,Blessing description,Quiet,Narrator,140,200,121,,Passive blessing description; visible whenever the player views active effects.,Magnus marks the scholar's discipline. Alteration and Illusion cost 10% less; magic regenerates 20% faster out of combat.,
Altmer,Devoted blessing (Tier 3),12,"Trinimac: Stern, militant, civilizational; speaks of the project defended by force and orthodoxy held; the martial ancestor.",PDV_Bless_Altmer_Trinimac_T3,Blessing description,Quiet,Narrator,140,200,168,,Passive blessing description; visible whenever the player views active effects.,"Trinimac blesses the project defended by force. Your one-handed attacks strike 5% harder, and an enforcement act under high orthodoxy raises your armor by 15 for a day.",
Altmer,Devoted blessing (Tier 3),12,"Xarxes: Dry, archival, lineage-keeping; speaks of what is written, the genealogy, the quiet truth that outlasts enforcement.",PDV_Bless_Altmer_Xarxes_T3,Blessing description,Quiet,Narrator,140,200,134,,Passive blessing description; visible whenever the player views active effects.,"Xarxes keeps your lineage. Your Lockpicking and Alteration improve by 5%, and a quest of real ancestry returns a day of cheaper magic.",
Altmer,Devoted blessing (Tier 3),12,"Syrabane: Gentle, guardian-toned, warding; the apprentices' protector; speaks of the magic that shields the one still on the path.",PDV_Bless_Altmer_Syrabane_T3,Blessing description,Quiet,Narrator,140,200,99,,Passive blessing description; visible whenever the player views active effects.,Syrabane shields the apprentice. Magic-using foes deal 15% less damage; your wards absorb 15% more.,
Altmer,Other,999,,PDV_Notif_Altmer_Pantheon_ObservantEntry,Notification,Noted,Narrator,60,80,58,,HUD corner notification. One per save.,The dawn is acknowledged and the path is begun. Observant.,
Altmer,Other,999,,PDV_Notif_Altmer_Pantheon_FaithfulEntry,Notification,Noted,Narrator,60,80,44,,HUD corner notification. One per save; suppress-if-offer-same-dawn.,Your theology holds its coherence. Faithful.,
Altmer,Other,999,,PDV_Notif_Altmer_Focus_DevotedEntry,Notification,Marked,Narrator,60,80,38,,HUD corner notification. One per save; %s is the focus deity.,%s recognizes your coherence. Devoted.,
Altmer,Other,999,,PDV_Notif_Altmer_Pantheon_ObservantLapse,Notification,Noted,Narrator,60,80,51,,HUD corner notification. One per direction per save.,The path is acknowledged less surely now. Wavering.,
Altmer,Other,999,,PDV_Notif_Altmer_Pantheon_FaithfulLapse,Notification,Noted,Narrator,60,80,38,,HUD corner notification. One per direction per save.,Your coherence is slipping. Observant.,
Altmer,Other,999,,PDV_Notif_Altmer_Focus_DevotedLapse,Notification,Marked,Narrator,60,80,55,,HUD corner notification. One per save per focus loss.,The bond with %s loosens. The Devoted bond is not held.,
Altmer,Champion recognition (MessageBox),30,,PDV_Msg_Altmer_AuriEl_ChampionEntry,MessageBox,Marked,God-voice,280,500,14+168,,MessageBox. One-time on first Auri-El Devoted.,"Title: ""Auri-El's Dawn"" Body: ""You held the path through a world built to make you forget it. The return is not a doctrine to you; it is a daily practice. Keep walking toward the dawn. I am the dawn.""",
Altmer,Champion ambient line,31,,PDV_Notif_Altmer_AuriEl_ChampionAmbient_Dawn,Notification,Noted,Player-2nd,60,80,48,,HUD corner notification. Auri-El Devoted + dawn observance; one per in-game day.,"The dawn answers you, and the return feels near.",
Altmer,Champion recognition (MessageBox),30,"Magnus: Precise, scholarly, escape-coded; the architect who got out; speaks of the Elder Way and of the arts as the road.",PDV_Msg_Altmer_Magnus_ChampionEntry,MessageBox,Marked,God-voice,280,500,13+156,,MessageBox. One-time on first Magnus Devoted.,"Title: ""The Elder Way"" Body: ""I did not break the trap with force. I studied until the wall became a door. You have studied as I studied. The arts are the road, and you are far along it.""",
Altmer,Champion ambient line,31,"Magnus: Precise, scholarly, escape-coded; the architect who got out; speaks of the Elder Way and of the arts as the road.",PDV_Notif_Altmer_Magnus_ChampionAmbient_Milestone,Notification,Noted,Player-2nd,60,80,55,,HUD corner notification. Magnus Devoted + magic skill milestone; per milestone.,A school mastered further. Magnus marks the discipline.,
