editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
zzzAoMMq08,No Mercy,999,Enacted the No Mercy creed against the corrupted,smite_corruption,Stendarr,+,S,milestone,Vigilant zzzAoMMq08 s999 ShutDownStage (No Mercy creed; lore+structure),Vigilant.esm:00EA8A
zzzAoMMqGoodEnd,Art of Mercy,255,Chose mercy as the Vigilant's higher virtue,show_mercy,Stendarr,+,S,milestone,Vigilant zzzAoMMqGoodEnd s255 ShutDownStage (Art of Mercy; lore+structure),Vigilant.esm:4D0376
zzzCHMQ00,Coldharbour,999,Entered Coldharbour to oppose Molag Bal,defy_daedra,Molag Bal,-,C,milestone,Vigilant zzzCHMQ00 s999 ShutDownStage (Coldharbour; lore+structure),Vigilant.esm:12F24E
zzzCHMQ01,Aetherius,255,Reached Aetherius against Coldharbour's dark,honor_divine,Akatosh,+,S,milestone,Vigilant zzzCHMQ01 s255 terminal (no ShutDown flag - RUNTIME-VERIFY),Vigilant.esm:1363DB
zzzCHSubQuest10,Knight of Arkay,255,Honored the fallen Knight of Arkay in Coldharbour,honor_divine,Arkay,+,m,milestone,Vigilant zzzCHSubQuest10 s255 ShutDownStage,Vigilant.esm:1C31F2
zzzCHSubQuest12,Knight of Kynareth,255,Honored the fallen Knight of Kynareth in Coldharbour,honor_divine,Kynareth,+,m,milestone,Vigilant zzzCHSubQuest12 s255 ShutDownStage,Vigilant.esm:334C8F
zzzCHSubQuest02,Archer of Kyne,255,Honored the fallen Archer of Kyne in Coldharbour,honor_divine,Kyne,+,m,milestone,Vigilant zzzCHSubQuest02 s255 terminal (no ShutDown flag - RUNTIME-VERIFY),Vigilant.esm:1279A1
zzzCHSubQuest07,Knight of Julianos,999,Honored the fallen Knight of Julianos in Coldharbour,honor_divine,Julianos,+,m,milestone,Vigilant zzzCHSubQuest07 s999 terminal (no ShutDown flag - RUNTIME-VERIFY),Vigilant.esm:1265FB
zzzCHSubQuest08,Knight of Zenithar,999,Honored the fallen Knight of Zenithar in Coldharbour,honor_divine,Zenithar,+,m,milestone,Vigilant zzzCHSubQuest08 s999 terminal (no ShutDown flag - RUNTIME-VERIFY),Vigilant.esm:1306FA
zzzAoMMq06,Thus Spoke Khajiit,80,Granted the dying Jo'vanni his last request and returned Campaner'Ra's pelt to him,honor_the_dead,Khenarthi,+,m,milestone,"T12-ARR objective-derived: Thus Spoke Khajiit objective s70 ""Take Campaner'Ra's pelt from Mar'so and bring it back to Jo'vanni"" is the act; row fires on the NEXT stage s80, when that objective resolves. ARR quests carry NO journal text (Stages[i].LogEntries[0].Entry absent), so stage semantics are inferred from Objectives[i].DisplayText -- RUNTIME-VERIFY. Read on D:WabbajackmodlistsARR 2.5 profile KoK R11. Part B profile honor_the_dead(m).",Vigilant.esm:009E68
