editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,deceit,Malacath,-,m,small,"cross-gen candidate: deceit(m) from the Malacath Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,deceit,Boethiah,+,m,small,"cross-gen candidate: deceit(S) from the Boethiah Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,uphold_law_justice,Auri-El,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Auri-El Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,uphold_law_justice,Alkosh,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Alkosh Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,uphold_law_justice,Sithis,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Sithis Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,uphold_law_justice,Sheogorath,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Sheogorath Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,uphold_law_justice,Namira,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Namira Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,uphold_law_justice,Vaermina,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Vaermina Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,150,Opened the contraband and kept the skooma,theft_burglary,Baan Dar,+,m,small,"cross-gen candidate: theft_burglary(S) from the Baan Dar Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:003A58
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,break_oath_betray,Akatosh,-,m,small,"cross-gen candidate: break_oath_betray(S) from the Akatosh Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,kill_the_helpless,Dibella,-,m,small,"cross-gen candidate: kill_the_helpless(m) from the Dibella Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,kill_the_helpless,Kyne,-,m,small,"cross-gen candidate: kill_the_helpless(m) from the Kyne Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,murder_treacherous,Tsun,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Tsun Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,break_oath_betray,Trinimac,-,m,small,"cross-gen candidate: break_oath_betray(S) from the Trinimac Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,break_oath_betray,Z'en,-,m,small,"cross-gen candidate: break_oath_betray(m) from the Z'en Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,break_oath_betray,The Hist,-,m,small,"cross-gen candidate: break_oath_betray(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,deceit,Nocturnal,+,m,small,"cross-gen candidate: deceit(m) from the Nocturnal Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,murder_treacherous,Mehrunes Dagon,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Mehrunes Dagon Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,deceit,Clavicus Vile,+,m,small,"cross-gen candidate: deceit(S) from the Clavicus Vile Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,murder_treacherous,Vaermina,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Vaermina Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:067841
CYRFortPalePassMS01New,A Stormcloak in Chains,600,Freed Bjarni from Imperial custody after the jailbreak,mercy_spare,Kyne,+,m,small,"cross-gen candidate: mercy_spare(m) from the Kyne Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:0CE0F1
CYRFortPalePassMS01New,A Stormcloak in Chains,600,Freed Bjarni from Imperial custody after the jailbreak,mercy_spare,Molag Bal,-,m,small,"cross-gen candidate: mercy_spare(S) from the Molag Bal Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:0CE0F1
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,uphold_law_justice,Auri-El,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Auri-El Part B profile, stepped down; REVIEW before promotion",BSHeartland.esm:086207
