formid,source_plugin,editor_id,quest_name,classification,stage_count,journal_stage_count,completion_stages,objective_count,evidence_summary,notes
HearthFires.esm:0008A8,HearthFires.esm,BYOHHouseBanditAttack2,(absent),candidate,13,0,,2,direct_mcp_review=ok; source=HearthFires.esm; stages=13; journal_stages=none; completion_stages=none; objectives=2,Official QF/TIF decompile proves mutually exclusive s60/s70/s100 spouse-release routes; s70 pays ransom and s100 is spouse rescue dialogue.
HearthFires.esm:0008C3,HearthFires.esm,BYOHHouseBanditPacifier,(absent),structural-silent,2,0,,0,direct_mcp_review=ok; source=HearthFires.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
HearthFires.esm:000C39,HearthFires.esm,BYOHHouseWolfAttack,(absent),ambiguous,3,0,,0,direct_mcp_review=ok; source=HearthFires.esm; stages=3; journal_stages=none; completion_stages=none; objectives=0,"s10 fires on the first wolf alias death, not completion of the whole attack, and does not prove player attribution."
HearthFires.esm:000C3E,HearthFires.esm,BYOHHouseGiantAttack,(absent),ambiguous,3,0,,0,direct_mcp_review=ok; source=HearthFires.esm; stages=3; journal_stages=none; completion_stages=none; objectives=0,s10 fires on giant death but the alias route does not prove the player delivered the kill.
HearthFires.esm:000DDB,HearthFires.esm,CCHouseQuest,(absent),structural-silent,0,0,,0,direct_mcp_review=ok; source=HearthFires.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
HearthFires.esm:00305D,HearthFires.esm,BYOHHouseBuilding,(absent),candidate,8,0,,1,direct_mcp_review=ok; source=HearthFires.esm; stages=8; journal_stages=none; completion_stages=none; objectives=1,Official QF s150 completes the explicit buy-lumber objective; repeatable trade eligible under the daily cap.
HearthFires.esm:00305E,HearthFires.esm,BYOHHouseFalkreath,(absent),needs-tag,23,0,,5,direct_mcp_review=ok; source=HearthFires.esm; stages=23; journal_stages=none; completion_stages=none; objectives=5,NEEDS-TAG: build_homestead. QF s130 completes the player-built foundation objective.
HearthFires.esm:00308B,HearthFires.esm,BYOHHouseStewardOffer,(absent),structural-silent,3,0,,0,direct_mcp_review=ok; source=HearthFires.esm; stages=3; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
HearthFires.esm:003F6E,HearthFires.esm,BYOHRelationshipAdoptionNewAdoptionHandler,(absent),structural-silent,2,0,,0,direct_mcp_review=ok; source=HearthFires.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
HearthFires.esm:003F7B,HearthFires.esm,BYOHRelationshipAdoptableStewardCourier,(absent),structural-silent,1,0,,0,direct_mcp_review=ok; source=HearthFires.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
