path_id,type,manager_function,guard_evidence,anti_farm_evidence,sink_evidence,hook_evidence,global_evidence,notes
altmer_magnus,faucet,HandleAltmerSleepEvents,"IsAltmerOrigin();_activeDeity == PDV_Magnus","PDV.Signal.AltmerAncestralDream","AwardAltmerDawnSignal;AwardAltmerAncestorSpinePulse","HandleAltmerSleepEvents(playerRef, reason)","AwardCuratedSignalScaled(PDV_Magnus, PDV_Magnus.SIGNAL_DISCIPLINED_STUDY","Active Magnus sleep-dream renewable through the existing Altmer sleep seam, daily ancestral dream gate, and dawn scholarship helper."
argonian_hist,faucet,TryArgonianNearWaterMaintenance,"GetPlayerOriginRaceIndex() != ORIGIN_ARGONIAN;PDV_ArgonianHistSubstrate","PDV.Argonian.NearWaterDay;PDV.Signal.ArgonianNearWater","RecordHistMaintenanceScaled;AwardCuratedSignalScaled","TryArgonianNearWaterMaintenance()","PDV_Hist.SIGNAL_HIST_PULSE","Near-water poll is the Hist faucet; it is capped by a day key plus repeat multiplier and double-routes through the Hist piety sink."
argonian_people,faucet,TryArgonianNearWaterMaintenance,"GetArgonianActiveFocus;ARGONIAN_FOCUS_PEOPLE","PDV.Argonian.NearWaterDay;PDV.Signal.ArgonianNearWater","HandleArgonianPeopleSupport;AwardCuratedSignalScaled","TryArgonianNearWaterMaintenance()","PDV_Hist.SIGNAL_HIST_PULSE","People focus can ride the same near-water faucet only when the Argonian active focus resolves to People; People support has its own capped piety sink."
argonian_void,faucet,TryArgonianSithisNearDeathBurst,"GetArgonianActiveFocus;ARGONIAN_FOCUS_VOID;IsVoidFullyActive","PDV.Argonian.SithisNearDeathLastDay","HandleArgonianVoidSignal","HandlePlayerBelowHealthGate(Actor playerRef)","PDV_Sithis.SIGNAL_VOID_THRESHOLD;AwardCuratedSignalScaled","Void near-death burst now routes a capped Void signal after the signature spell so the Ledger has a driver reason."
bosmer_old_contract,faucet,HandleBosmerPactPositiveSignal,"IsBosmerOrigin();PDV_BosmerPathTrack;IsBosmerPactBound","PDV.Signal.BosmerPactPositive","AwardCuratedSignalScaled;AdjustBosmerGreenPactCompliance","HandleBosmerPactPositiveSignal","PDV_Yffre.SIGNAL_PACT_POSITIVE","Old Contract Pact-positive renewable remains path-gated, daily-decayed, and Ledger-visible through Y'ffre."
bosmer_living_story,faucet,HandleBosmerLivingStorySignal,"IsBosmerOrigin();PDV_BosmerPathTrack;BOSMER_PATH_LIVING_STORY","PDV.Signal.BosmerLivingStory","AwardCuratedSignalScaled;RecordEvidenceDay","HandleBosmerLivingStorySignal","PDV_Yffre.SIGNAL_LIVING_STORY","Living Story gets a capped direct manager renewable with source reasons preserved by the Bosmer EventBus route."
bosmer_exchange,faucet,HandleBosmerExchangeSignal,"IsBosmerOrigin();PDV_BosmerPathTrack;BOSMER_PATH_EXCHANGE","PDV.Signal.BosmerExchange","AwardCuratedSignalScaled;RecordEvidenceDay","HandleBosmerExchangeSignal","PDV_Zen.SIGNAL_EXCHANGE","Exchange direct renewable is capped and now receives source-specific EventBus reasons from P2 Zen routes."
bosmer_bandit_road,faucet,HandleBosmerBanditRoadSignal,"IsBosmerOrigin();PDV_BosmerPathTrack;BOSMER_PATH_BANDIT_ROAD","PDV.Signal.BosmerBanditRoad","AwardCuratedSignalScaled;RecordEvidenceDay","HandleBosmerBanditRoadSignal","PDV_BaanDar.SIGNAL_BANDIT_ROAD","Bandit Road direct renewable is capped and now receives source-specific EventBus reasons from P2 Baan Dar routes."
khajiit_khenarthi,day-to-day,HandleKhajiitRoadHomeAnchor,"IsKhajiitOrigin();PDV_KhajiitLunarSubstrate;KHAJIIT_FOCUS_KHENARTHI","PDV.Signal.KhajiitRoadHome","AwardCuratedSignalScaled;RecordRoadHomeCadenceScaled","HandleKhajiitRoadHomeAnchor","PDV_Khenarthi.SIGNAL_ROAD_HOME","Khenarthi road-home anchor is a day-to-day location cadence, capped and Ledger-visible through the road-home piety sink."
khajiit_khenarthi,faucet,RecordKhajiitFocusSignal,"IsKhajiitOrigin()","ConsumeDailyRepeatMultiplier","PulseKhajiitFocusPiety","HandleKhajiitFocusedSourceForFocus","KHAJIIT_FOCUS_KHENARTHI;PDV_Khenarthi.SIGNAL_ROAD_HOME;AwardCuratedSignalScaled","Khenarthi focused-source pulses are capped by the shared focus signal gate and double-route through the Khenarthi piety pulse."
khajiit_baandar,faucet,HandleKhajiitBaanDarRoadTrick,"IsKhajiitOrigin();KHAJIIT_FOCUS_BAANDAR","PDV.Signal.KhajiitBaanDarRoadTrick","RecordKhajiitFocusSignal","HandleKhajiitBaanDarRoadTrick","PDV_BaanDar.SIGNAL_ROAD_TRICK;AwardCuratedSignalScaled","Baan Dar road-trick renewable uses the shared focused-signal cap and now keeps driver reasons from P2 and organic routes."
khajiit_rajhin,faucet,HandleKhajiitRajhinElegantTheft,"IsKhajiitOrigin();KHAJIIT_FOCUS_RAJHIN","PDV.Signal.KhajiitRajhinElegantTheft","RecordKhajiitFocusSignal","HandleKhajiitRajhinElegantTheft","PDV_Rajhin.SIGNAL_ELEGANT_THEFT;AwardCuratedSignalScaled","Rajhin elegant-theft renewable remains capped, focus-gated, ShadowDrift-aware, and Ledger-visible."
khajiit_alkosh,faucet,HandleKhajiitAlkoshDragonOrder,"IsKhajiitOrigin();KHAJIIT_FOCUS_ALKOSH","PDV.Signal.KhajiitAlkoshDragonOrder","RecordKhajiitFocusSignal","HandleKhajiitAlkoshDragonOrder","PDV_Alkosh.SIGNAL_DRAGON_ORDER;AwardCuratedSignalScaled","Alkosh dragon-order renewable uses the shared focused-signal cap and a curated piety sink."
altmer_auriel,faucet,HandleAltmerDawnSteadiness,"IsAltmerOrigin();IsAltmerFavorSuppressedByCurse","PDV.Signal.AltmerDawnSteadiness","AwardAltmerDawnSignal;AwardAltmerAncestorSpinePulse","HandleAltmerDawnSteadiness","PDV_AuriEl.SIGNAL_DAWN_ACKNOWLEDGMENT;AwardCuratedSignalScaled","Auri-El dawn steadiness is capped, curse-guarded, and double-routed through dawn piety plus ancestor spine."
altmer_xarxes,faucet,HandleAltmerOrthodoxCostlyEnforcement,"IsAltmerOrigin();IsAltmerFavorSuppressedByCurse","PDV.Signal.AltmerOrthodoxCostlyEnforcement","AwardAltmerOrthodoxSignal;AwardAltmerAncestorSpinePulse","HandleAltmerOrthodoxCostlyEnforcement","PDV_Xarxes.SIGNAL_LINEAGE_HONORED;AwardCuratedSignalScaled","Xarxes orthodoxy enforcement is capped, curse-guarded, and double-routed through lineage piety plus ancestor spine."
