editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Nocturnal,-,C,milestone,"T16 direct raw-file read: TG Alternative Endings global 1 completion says the player stood against Nocturnal and freed all Nightingales; synthetic stage 201; RUNTIME-VERIFY through organic progression.",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Stendarr,+,S,milestone,"T16 primary ruling: direct rejection of a Daedric pact and release of its bound servants; synthetic stage 201; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Stuhn,+,C,milestone,"T16 primary ruling: freeing an entire bound fellowship is Stuhn's ransom-and-release domain; synthetic stage 201; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Mara,+,m,small,"T16 primary ruling: release of the Nightingale fellowship is a direct protection beat; synthetic stage 201; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,201,Broke the Nightingale pact in order to free every Nightingale,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Akatosh,-,m,small,"T16 primary ruling: the liberating result does not erase the explicit broken oath; synthetic stage 201; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,201,Broke the Nightingale pact in order to free every Nightingale,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Malacath,-,S,small,"T16 primary ruling: the liberating result does not erase the explicit broken oath; synthetic stage 201; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,201,Broke the Nightingale pact in order to free every Nightingale,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Trinimac,-,S,small,"T16 primary ruling: the liberating result does not erase the explicit broken oath; synthetic stage 201; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,201,Broke the Nightingale pact in order to free every Nightingale,"destroy_reject_daedra:nocturnal,protect_the_weak,break_oath_betray",Z'en,-,m,small,"T16 primary ruling: the Nightingale obligation is repudiated even though the release is merciful; synthetic stage 201; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Nocturnal,-,C,milestone,"T16 direct raw-file read: TG Alternative Endings globals 2/3 completion says the player stood against Nocturnal, wrested away the Key, and kept it; synthetic stage 202; RUNTIME-VERIFY through organic progression.",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Rajhin,+,C,milestone,"T16 primary ruling: wresting a Prince's key away and keeping it is a singular theft and reversal of fortune; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Baan Dar,+,S,milestone,"T16 primary ruling: taking the Skeleton Key from its divine owner is a high-stakes trickster reversal; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Kept the stolen Skeleton Key after breaking the Nightingale pact,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Zenithar,-,C,milestone,"T16 primary ruling: the kept Key is explicit theft of an irreplaceable artifact; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Kept the Skeleton Key after breaking the Nightingale pact,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Akatosh,-,S,small,"T16 primary ruling: the outcome repudiates the debt and oath; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Kept the Skeleton Key after breaking the Nightingale pact,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Malacath,-,S,small,"T16 primary ruling: the outcome repudiates the debt and oath; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Kept the Skeleton Key after breaking the Nightingale pact,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Trinimac,-,S,small,"T16 primary ruling: the outcome repudiates the debt and oath; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Kept the Skeleton Key after breaking the Nightingale pact,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Z'en,-,S,small,"T16 primary ruling: the player keeps the object at the heart of an unpaid obligation; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
TG09,Darkness Returns,202,Kept the Skeleton Key after breaking the Nightingale pact,"destroy_reject_daedra:nocturnal,theft_burglary,break_oath_betray,acquire_daedric_artifact:nocturnal",Stuhn,-,m,small,"T16 cross-generation keep: the opposite of TG09's core debt-honoring beat; the Key is retained and the binding obligation broken; synthetic stage 202; RUNTIME-VERIFY.",Skyrim.esm:021555
