editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
MordGiveGold,Feed the Poor,10,Took up the guild's standing charge to hand something to any poor Skyrim citizen in need.,charity,Stendarr,+,m,small,"s10 obj ""Help The Poor People Of Skyrim"": ""Anyone I see who needs my help, I should now be able to give them something. In return, it is possible I might get a little luck, courtesy of the Gray Fox."" cross-gen KEEP: charity(m) from the Stendarr Part B profile, stepped down.",TCBM.esp:0B921F
MordGiveGold,Feed the Poor,10,Took up the guild's standing charge to hand something to any poor Skyrim citizen in need.,charity,Mara,+,S,small,"s10 obj ""Help The Poor People Of Skyrim"": ""Anyone I see who needs my help, I should now be able to give them something. In return, it is possible I might get a little luck, courtesy of the Gray Fox."" cross-gen KEEP: charity(C) from the Mara Part B profile, stepped down.",TCBM.esp:0B921F
MordGiveGold,Feed the Poor,10,Took up the guild's standing charge to hand something to any poor Skyrim citizen in need.,charity,Dibella,+,m,small,"s10 obj ""Help The Poor People Of Skyrim"": ""Anyone I see who needs my help, I should now be able to give them something. In return, it is possible I might get a little luck, courtesy of the Gray Fox."" cross-gen KEEP: charity(m) from the Dibella Part B profile, stepped down.",TCBM.esp:0B921F
MordQuestGM,Taking Charge,10,Leaned on Maven Black-Briar to keep her in line and collected a regular cut from her.,exploit_cheat,Zenithar,-,S,small,"s10: ""Make sure Maven and everyone else knows who's boss! Go back to visit Maven regularly to check up on her and get your cut."" cross-gen KEEP: exploit_cheat(C) from the Zenithar Part B profile, stepped down.",TCBM.esp:20C5FA
MordQuestGM,Taking Charge,10,Leaned on Maven Black-Briar to keep her in line and collected a regular cut from her.,exploit_cheat,Z'en,-,m,small,"s10: ""Make sure Maven and everyone else knows who's boss! Go back to visit Maven regularly to check up on her and get your cut."" cross-gen KEEP: exploit_cheat(S) from the Z'en Part B profile, stepped down.",TCBM.esp:20C5FA
MordQuestGoodThief,Honor Among Thieves,40,Burgled Maven Black-Briar's manor and recovered the bag of gems she had taken from Riften's poor.,theft_burglary,Zenithar,-,m,small,"s40 obj ""Return the Bag of Gems to Bolli"": ""I have recovered the stolen gems from Maven's manor. I should take this to Bolli right away!"" cross-gen KEEP: theft_burglary(S) from the Zenithar Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,40,Burgled Maven Black-Briar's manor and recovered the bag of gems she had taken from Riften's poor.,theft_burglary,Baan Dar,+,m,small,"s40 obj ""Return the Bag of Gems to Bolli"": ""I have recovered the stolen gems from Maven's manor. I should take this to Bolli right away!"" cross-gen KEEP: theft_burglary(S) from the Baan Dar Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,40,Burgled Maven Black-Briar's manor and recovered the bag of gems she had taken from Riften's poor.,theft_burglary,Rajhin,+,S,small,"s40 obj ""Return the Bag of Gems to Bolli"": ""I have recovered the stolen gems from Maven's manor. I should take this to Bolli right away!"" cross-gen KEEP: theft_burglary(C) from the Rajhin Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,40,Burgled Maven Black-Briar's manor and recovered the bag of gems she had taken from Riften's poor.,theft_burglary,Mephala,+,m,small,"s40 obj ""Return the Bag of Gems to Bolli"": ""I have recovered the stolen gems from Maven's manor. I should take this to Bolli right away!"" cross-gen KEEP: theft_burglary(S) from the Mephala Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,40,Burgled Maven Black-Briar's manor and recovered the bag of gems she had taken from Riften's poor.,theft_burglary,Nocturnal,+,S,small,"s40 obj ""Return the Bag of Gems to Bolli"": ""I have recovered the stolen gems from Maven's manor. I should take this to Bolli right away!"" cross-gen KEEP: theft_burglary(C) from the Nocturnal Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,50,Returned the recovered gems to Bolli and relieved someone in desperate need.,protect_the_weak,Stendarr,+,S,small,"s50: ""I have assisted someone who desperately needed help. I should continue on my other adventures until I get another request for aid."" cross-gen KEEP: protect_the_weak(C) from the Stendarr Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,50,Returned the recovered gems to Bolli and relieved someone in desperate need.,charity,Mara,+,S,small,"s50: ""I have assisted someone who desperately needed help. I should continue on my other adventures until I get another request for aid."" cross-gen KEEP: charity(C) from the Mara Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,50,Returned the recovered gems to Bolli and relieved someone in desperate need.,charity,Dibella,+,m,small,"s50: ""I have assisted someone who desperately needed help. I should continue on my other adventures until I get another request for aid."" cross-gen KEEP: charity(m) from the Dibella Part B profile, stepped down.",TCBM.esp:08B900
MordQuestGoodThief,Honor Among Thieves,50,Returned the recovered gems to Bolli and relieved someone in desperate need.,protect_the_weak,Kynareth,+,m,small,"s50: ""I have assisted someone who desperately needed help. I should continue on my other adventures until I get another request for aid."" cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down.",TCBM.esp:08B900
