editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
HFBigWeddingIF,HFBigWeddingIF,10,The player went through with the wedding ceremony and married Kaidan at the Temple of the Eight.,marriage_family,Mara,+,S,small,"s10 obj: ""Attend your wedding"" (tier B; s1 obj ""Speak to a priest at the Temple of the Eight""; terminal s40 carries no text) -- RUNTIME-VERIFY that the ceremony completes on this stage. cross-gen KEEP: marriage_family(C) from the Mara Part B profile, stepped down.",Kaidan - Immersive Features.esp:0EC87C
HFBigWeddingIF,HFBigWeddingIF,10,The player went through with the wedding ceremony and married Kaidan at the Temple of the Eight.,marriage_family,Dibella,+,m,small,"s10 obj: ""Attend your wedding"" (tier B; s1 obj ""Speak to a priest at the Temple of the Eight""; terminal s40 carries no text) -- RUNTIME-VERIFY that the ceremony completes on this stage. cross-gen KEEP: marriage_family(m) from the Dibella Part B profile, stepped down.",Kaidan - Immersive Features.esp:0EC87C
HFWRWedding,HFWRWedding,10,The player went through with the wedding ceremony and married Kaidan at Dragonsreach.,marriage_family,Mara,+,S,small,"s10 obj: ""Attend your wedding"" (tier B; s1 obj ""Take Kaidan, Vilkas and Farkas to speak to Balgruuf"") -- RUNTIME-VERIFY that the ceremony completes on this stage. cross-gen KEEP: marriage_family(C) from the Mara Part B profile, stepped down.",Kaidan - Immersive Features.esp:46DB25
HFWRWedding,HFWRWedding,10,The player went through with the wedding ceremony and married Kaidan at Dragonsreach.,marriage_family,Dibella,+,m,small,"s10 obj: ""Attend your wedding"" (tier B; s1 obj ""Take Kaidan, Vilkas and Farkas to speak to Balgruuf"") -- RUNTIME-VERIFY that the ceremony completes on this stage. cross-gen KEEP: marriage_family(m) from the Dibella Part B profile, stepped down.",Kaidan - Immersive Features.esp:46DB25
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",honor_the_dead,Arkay,+,S,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: honor_the_dead(C) from the Arkay Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Talos,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(S) from the Talos Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Kyne,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(S) from the Kyne Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Shor,+,S,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(C) from the Shor Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Tsun,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(S) from the Tsun Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Auri-El,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(m) from the Auri-El Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",honor_the_dead,Xarxes,+,S,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: honor_the_dead(C) from the Xarxes Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Trinimac,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(S) from the Trinimac Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",honor_the_dead,Azura,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: honor_the_dead(m) from the Azura Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",honor_the_dead,Khenarthi,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: honor_the_dead(m) from the Khenarthi Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Alkosh,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(S) from the Alkosh Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,Malacath,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(S) from the Malacath Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",honor_the_dead,Tu'whacca,+,S,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: honor_the_dead(C) from the Tu'whacca Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
KaiComp,Vengeance and Honor,120,"Kaidan took the path of vengeance and killed Wulf, reclaiming Kodlak's hammer for the Companions.",kill_honorable_combat,HoonDing,+,m,small,"s120: ""Kaidan has gotten justice for the Companions by slaying Kodlak's murderer and reclaiming the former Harbinger's hammer."" cross-gen KEEP: kill_honorable_combat(m) from the HoonDing Part B profile, stepped down.",Kaidan - Immersive Features.esp:162E4A
