editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Arkay,+,C,milestone,"T13 direct raw-file read: s30 CompleteQuest explicitly says the powerful necromancer and undead army were defeated.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Meridia,+,C,milestone,"T13 direct raw-file read: s30 CompleteQuest explicitly says the powerful necromancer and undead army were defeated.",Siege at Icemoth.esp:5A079F
HYORBlackBook08Quest,Black Book: The Font of Memory,20,Uncovered the hidden knowledge in the Font of Memory,forbidden_knowledge,Hermaeus Mora,+,C,milestone,"T13 direct raw-file read: s20 CompleteQuest explicitly says the Black Book's hidden knowledge was uncovered.",Siege at Icemoth.esp:59F97E
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Azura,+,m,small,"T13 cross-gen KEEP: explicit defeat of an undead army; Azura slay-undead profile match, stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Boethiah,+,S,small,"T13 cross-gen KEEP: s30 names a powerful necromancer and army overcome; prove-by-struggle is central to Boethiah, stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",HoonDing,+,S,small,"T13 cross-gen KEEP: overcoming a powerful necromancer and undead army is a make-way struggle; stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Malacath,+,m,small,"T13 cross-gen KEEP: the record explicitly calls Silas powerful; honorable combat/struggle match, stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Shor,+,S,small,"T13 cross-gen KEEP: open victory over a powerful necromancer and army is honored battle, stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Stendarr,+,m,small,"T13 cross-gen KEEP: explicit undead destruction; Stendarr profile match, stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Tsun,+,S,small,"T13 cross-gen KEEP: overcoming the powerful necromancer and army is an endurance trial, stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Tu'whacca,+,m,small,"T13 cross-gen KEEP: explicit undead destruction preserves the death-duty, stepped down.",Siege at Icemoth.esp:5A079F
HYORdunIcemothQST,Siege at Icemoth,30,Defeated Silas Marceau and ended his undead army,"slay_undead,kill_honorable_combat,prove_by_struggle",Y'ffre,+,m,small,"T13 cross-gen KEEP: explicit undead army destruction matches Y'ffre's bone-law profile, stepped down.",Siege at Icemoth.esp:5A079F
HYORBlackBook08Quest,Black Book: The Font of Memory,20,Uncovered the hidden knowledge in the Font of Memory,forbidden_knowledge,Julianos,+,m,small,"T13 cross-gen KEEP: the CompleteQuest entry explicitly says hidden Black Book knowledge was uncovered; Julianos profile match, stepped down.",Siege at Icemoth.esp:59F97E
HYORBlackBook08Quest,Black Book: The Font of Memory,20,Uncovered the hidden knowledge in the Font of Memory,forbidden_knowledge,Magnus,+,m,small,"T13 cross-gen KEEP: the CompleteQuest entry explicitly says hidden Black Book knowledge was uncovered; Magnus profile match, stepped down.",Siege at Icemoth.esp:59F97E
