editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
AnvilMoonpathQuest,By the Light of the Moon,60,Guided the Khajiit caravan through the broken moonpath and arrived in Tenmar Forest,honor_the_wild,Khenarthi,+,m,milestone,"T14 direct raw-file read: the journal tracks the caravan, moon-phase departure, broken route, and return to Ku'rana; s60 CompleteQuest says the player arrived in Tenmar Forest. The road/wind association is stepped to Khenarthi's profiled honor-the-wild intensity.",moonpath.esp:06A8CA
AnvilDenQuest,Incursion,150,Killed the Thalmor Justiciar after defending the Khajiit den and attacking the Thalmor base,"defy_tyranny_talos,protect_the_weak",Talos,+,C,milestone,"T14 direct raw-file read: s150 CompleteQuest says the Justiciar is dead and rebellion is growing; earlier direct stages establish defending the Khajiit den and taking down the Thalmor base.",moonpath.esp:01ED3C
AnvilDenQuest,Incursion,150,Killed the Thalmor Justiciar after defending the Khajiit den and attacking the Thalmor base,"defy_tyranny_talos,protect_the_weak",Khenarthi,+,S,milestone,"T14 direct raw-file read: the stage chain explicitly defends the Khajiit den from the Thalmor and s150 completes the Justiciar route.",moonpath.esp:01ED3C
AnvilSloadquest,The Dinner Guest,95,Killed Malsato and saved the forest and Khajiit burial site from the Thrassian Plague,"honor_the_wild,protect_the_weak",Khenarthi,+,S,milestone,"T14 direct raw-file read: s95 CompleteQuest says the Sload is dead and the forest saved from plague; earlier journal identifies the hallowed Khajiit burial site.",moonpath.esp:0589C5
AnvilSloadquest,The Dinner Guest,95,Killed Malsato and saved the forest and Khajiit burial site from the Thrassian Plague,"honor_the_wild,protect_the_weak",Kynareth,+,C,milestone,"T14 direct raw-file read: s95 explicitly resolves with the forest saved from the Thrassian Plague.",moonpath.esp:0589C5
AnvilSloadquest,The Dinner Guest,95,Killed Malsato and saved the forest and Khajiit burial site from the Thrassian Plague,"honor_the_wild,protect_the_weak",Y'ffre,+,S,milestone,"T14 direct raw-file read: s95 explicitly resolves with the forest saved; the earlier stage identifies a hallowed burial site under plague.",moonpath.esp:0589C5
AnvilSloadquest,The Dinner Guest,100,Released the Thrassian Plague and left the forest sicker with many lives lost,"defile_nature,reckless_magic",Kynareth,-,C,milestone,"T14 direct raw-file read: s100 FailQuest explicitly says the plague was released, the forest is sicker, and many lives were lost.",moonpath.esp:0589C5
AnvilSloadquest,The Dinner Guest,100,Released the Thrassian Plague and left the forest sicker with many lives lost,"defile_nature,reckless_magic",Y'ffre,-,C,milestone,"T14 direct raw-file read: s100 FailQuest explicitly records the plague release and damage to the forest.",moonpath.esp:0589C5
AnvilSloadquest,The Dinner Guest,100,Released the Thrassian Plague and left the forest sicker with many lives lost,"defile_nature,reckless_magic",The Hist,-,S,milestone,"T14 direct raw-file read: s100 FailQuest explicitly records plague-driven damage to a living forest and loss of life; stepped to the Hist's defile-nature intensity.",moonpath.esp:0589C5
AnvilSloadquest,The Dinner Guest,100,Released the Thrassian Plague and left the forest sicker with many lives lost,"defile_nature,reckless_magic",Magnus,-,C,milestone,"T14 direct raw-file read: the failed route releases a magical plague with widespread harm, matching Magnus's reckless-magic rejection.",moonpath.esp:0589C5
