effectId,familyId,lane,class,origin,wired,record,status,detail
PDV_Bless_Altmer_Orthodox_T1,Altmer-Orthodox|boon,Altmer-Orthodox,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Orthodox_T2,Altmer-Orthodox|boon,Altmer-Orthodox,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_AuriEl_T1,Altmer-AuriEl|boon,Altmer-AuriEl,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_AuriEl_T2,Altmer-AuriEl|boon,Altmer-AuriEl,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_AuriEl_T3,Altmer-AuriEl|boon,Altmer-AuriEl,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Magnus_T1,Altmer-Magnus|boon,Altmer-Magnus,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Magnus_T2,Altmer-Magnus|boon,Altmer-Magnus,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Magnus_T3,Altmer-Magnus|boon,Altmer-Magnus,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Trinimac_T1,Altmer-Trinimac|boon,Altmer-Trinimac,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Trinimac_T2,Altmer-Trinimac|boon,Altmer-Trinimac,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Trinimac_T3,Altmer-Trinimac|boon,Altmer-Trinimac,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Xarxes_T1,Altmer-Xarxes|boon,Altmer-Xarxes,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Xarxes_T2,Altmer-Xarxes|boon,Altmer-Xarxes,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Xarxes_T3,Altmer-Xarxes|boon,Altmer-Xarxes,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Syrabane_T1,Altmer-Syrabane|boon,Altmer-Syrabane,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Syrabane_T2,Altmer-Syrabane|boon,Altmer-Syrabane,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Altmer_Syrabane_T3,Altmer-Syrabane|boon,Altmer-Syrabane,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Altmer,Neglect-Altmer|neglect,Neglect-Altmer,neglect,race-spec,PASS,PASS,PASS,""
PDV_Msg_Altmer_VampireExiledPath_Entry,Altmer-VampireExiledPath|curse,Altmer-VampireExiledPath,curse,race-spec,PASS,PASS,PASS,""
PDV_Msg_Altmer_VampireExiledPath_Recognition,Altmer-VampireExiledPath|curse,Altmer-VampireExiledPath,curse,race-spec,PASS,PASS,PASS,""
PDV_Msg_Altmer_CurseState_WerewolfHardHalt,Altmer-CurseState|curse,Altmer-CurseState,curse,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Substrate_Always,Argonian-Substrate|substrate-favor,Argonian-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Substrate_Mid,Argonian-Substrate|substrate-favor,Argonian-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Substrate_High,Argonian-Substrate|substrate-favor,Argonian-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_ArgonianHist,Neglect-ArgonianHist|neglect,Neglect-ArgonianHist,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Hist_T1,Argonian-Hist|boon,Argonian-Hist,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Hist_T2,Argonian-Hist|boon,Argonian-Hist,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Hist_Signature,Argonian-Hist|boon,Argonian-Hist,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_People_T1,Argonian-People|boon,Argonian-People,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_People_T2,Argonian-People|boon,Argonian-People,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_People_T3,Argonian-People|boon,Argonian-People,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Sithis_T1,Argonian-Sithis|boon,Argonian-Sithis,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Sithis_T2,Argonian-Sithis|boon,Argonian-Sithis,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Argonian_Sithis_T3,Argonian-Sithis|boon,Argonian-Sithis,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_ArgonianSithisNearDeathBurst,Argonian-supportSpells|boon,Argonian-supportSpells,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Bosmer,Neglect-Bosmer|neglect,Neglect-Bosmer,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_Yffre_T1,Bosmer-Yffre|boon,Bosmer-Yffre,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_Yffre_T2,Bosmer-Yffre|boon,Bosmer-Yffre,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_OldContract_T1,Bosmer-OldContract|boon,Bosmer-OldContract,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_OldContract_T2,Bosmer-OldContract|boon,Bosmer-OldContract,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_OldContract_T3,Bosmer-OldContract|boon,Bosmer-OldContract,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_LivingStory_T1,Bosmer-LivingStory|boon,Bosmer-LivingStory,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_LivingStory_T2,Bosmer-LivingStory|boon,Bosmer-LivingStory,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_LivingStory_T3,Bosmer-LivingStory|boon,Bosmer-LivingStory,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_Exchange_T1,Bosmer-Exchange|boon,Bosmer-Exchange,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_Exchange_T2,Bosmer-Exchange|boon,Bosmer-Exchange,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_Exchange_T3,Bosmer-Exchange|boon,Bosmer-Exchange,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_BanditRoad_T1,Bosmer-BanditRoad|boon,Bosmer-BanditRoad,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_BanditRoad_T2,Bosmer-BanditRoad|boon,Bosmer-BanditRoad,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Bosmer_BanditRoad_T3,Bosmer-BanditRoad|boon,Bosmer-BanditRoad,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Breton,Neglect-Breton|neglect,Neglect-Breton,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Tradition_T1,Breton-Tradition|boon,Breton-Tradition,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Tradition_T2,Breton-Tradition|boon,Breton-Tradition,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_KnightsRoad_T1,Breton-KnightsRoad|boon,Breton-KnightsRoad,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_KnightsRoad_T2,Breton-KnightsRoad|boon,Breton-KnightsRoad,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_KnightsRoad_T3,Breton-KnightsRoad|boon,Breton-KnightsRoad,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_HiddenArt_T1,Breton-HiddenArt|boon,Breton-HiddenArt,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_HiddenArt_T2,Breton-HiddenArt|boon,Breton-HiddenArt,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_HiddenArt_T3,Breton-HiddenArt|boon,Breton-HiddenArt,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_GreenWay_T1,Breton-GreenWay|boon,Breton-GreenWay,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_GreenWay_T2,Breton-GreenWay|boon,Breton-GreenWay,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_GreenWay_T3,Breton-GreenWay|boon,Breton-GreenWay,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Mara,Breton-Mara|boon,Breton-Mara,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Arkay,Breton-Arkay|boon,Breton-Arkay,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Akatosh,Breton-Akatosh|boon,Breton-Akatosh,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Julianos,Breton-Julianos|boon,Breton-Julianos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Kynareth,Breton-Kynareth|boon,Breton-Kynareth,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Dibella,Breton-Dibella|boon,Breton-Dibella,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Zenithar,Breton-Zenithar|boon,Breton-Zenithar,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Talos,Breton-Talos|boon,Breton-Talos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Breton_Champion_Magnus,Breton-Magnus|boon,Breton-Magnus,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_CreedLoss_Breton_VowIntegrity,CreedLoss-Breton|price,CreedLoss-Breton,price,race-spec,PASS,PASS,PASS,""
PDV_SPEL_CreedLoss_Breton_ExposureRupture,CreedLoss-Breton|price,CreedLoss-Breton,price,race-spec,PASS,PASS,PASS,""
PDV_SPEL_CreedLoss_Breton_Excommunication,CreedLoss-Breton|price,CreedLoss-Breton,price,race-spec,PASS,PASS,PASS,""
PDV_SPEL_CreedLoss_Breton_DruidicForkBetrayal,CreedLoss-Breton|price,CreedLoss-Breton,price,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Substrate_Always,Dunmer-Substrate|substrate-favor,Dunmer-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Substrate_Mid,Dunmer-Substrate|substrate-favor,Dunmer-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Substrate_High,Dunmer-Substrate|substrate-favor,Dunmer-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Dunmer,Neglect-Dunmer|neglect,Neglect-Dunmer,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Reclamation_T1,Dunmer-Reclamation|boon,Dunmer-Reclamation,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Reclamation_T2,Dunmer-Reclamation|boon,Dunmer-Reclamation,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Azura_T1,Dunmer-Azura|boon,Dunmer-Azura,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Azura_T2,Dunmer-Azura|boon,Dunmer-Azura,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Azura_T3,Dunmer-Azura|boon,Dunmer-Azura,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Boethiah_T1,Dunmer-Boethiah|boon,Dunmer-Boethiah,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Boethiah_T2,Dunmer-Boethiah|boon,Dunmer-Boethiah,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Boethiah_T3,Dunmer-Boethiah|boon,Dunmer-Boethiah,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Mephala_T1,Dunmer-Mephala|boon,Dunmer-Mephala,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Mephala_T2,Dunmer-Mephala|boon,Dunmer-Mephala,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Dunmer_Mephala_T3,Dunmer-Mephala|boon,Dunmer-Mephala,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Imperial,Neglect-Imperial|neglect,Neglect-Imperial,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Civic_T1,Imperial-Civic|boon,Imperial-Civic,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Civic_T2,Imperial-Civic|boon,Imperial-Civic,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Akatosh_T1,Imperial-Akatosh|boon,Imperial-Akatosh,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Akatosh_T2,Imperial-Akatosh|boon,Imperial-Akatosh,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Akatosh_T3,Imperial-Akatosh|boon,Imperial-Akatosh,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Mara_T1,Imperial-Mara|boon,Imperial-Mara,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Mara_T2,Imperial-Mara|boon,Imperial-Mara,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Mara_T3,Imperial-Mara|boon,Imperial-Mara,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Arkay_T1,Imperial-Arkay|boon,Imperial-Arkay,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Arkay_T2,Imperial-Arkay|boon,Imperial-Arkay,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Arkay_T3,Imperial-Arkay|boon,Imperial-Arkay,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Stendarr_T1,Imperial-Stendarr|boon,Imperial-Stendarr,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Stendarr_T2,Imperial-Stendarr|boon,Imperial-Stendarr,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Stendarr_T3,Imperial-Stendarr|boon,Imperial-Stendarr,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Zenithar_T1,Imperial-Zenithar|boon,Imperial-Zenithar,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Zenithar_T2,Imperial-Zenithar|boon,Imperial-Zenithar,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Zenithar_T3,Imperial-Zenithar|boon,Imperial-Zenithar,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Dibella_T1,Imperial-Dibella|boon,Imperial-Dibella,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Dibella_T2,Imperial-Dibella|boon,Imperial-Dibella,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Dibella_T3,Imperial-Dibella|boon,Imperial-Dibella,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Julianos_T1,Imperial-Julianos|boon,Imperial-Julianos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Julianos_T2,Imperial-Julianos|boon,Imperial-Julianos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Julianos_T3,Imperial-Julianos|boon,Imperial-Julianos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Kynareth_T1,Imperial-Kynareth|boon,Imperial-Kynareth,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Kynareth_T2,Imperial-Kynareth|boon,Imperial-Kynareth,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Kynareth_T3,Imperial-Kynareth|boon,Imperial-Kynareth,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Talos_T1,Imperial-Talos|boon,Imperial-Talos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Talos_T2,Imperial-Talos|boon,Imperial-Talos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Imperial_Talos_T3,Imperial-Talos|boon,Imperial-Talos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Substrate_Always,Khajiit-Substrate|substrate-favor,Khajiit-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Lunar_T1,Khajiit-Lunar|substrate-favor,Khajiit-Lunar,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Substrate_High,Khajiit-Substrate|substrate-favor,Khajiit-Substrate,substrate-favor,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_KhajiitLunar,Neglect-KhajiitLunar|neglect,Neglect-KhajiitLunar,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Khenarthi_T1,Khajiit-Khenarthi|boon,Khajiit-Khenarthi,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Khenarthi_T2,Khajiit-Khenarthi|boon,Khajiit-Khenarthi,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Khenarthi_T3,Khajiit-Khenarthi|boon,Khajiit-Khenarthi,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Azurah_T1,Khajiit-Azurah|boon,Khajiit-Azurah,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Azurah_T2,Khajiit-Azurah|boon,Khajiit-Azurah,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Azurah_T3,Khajiit-Azurah|boon,Khajiit-Azurah,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_BaanDar_T1,Khajiit-BaanDar|boon,Khajiit-BaanDar,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_BaanDar_T2,Khajiit-BaanDar|boon,Khajiit-BaanDar,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_BaanDar_T3,Khajiit-BaanDar|boon,Khajiit-BaanDar,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Rajhin_T1,Khajiit-Rajhin|boon,Khajiit-Rajhin,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Rajhin_T2,Khajiit-Rajhin|boon,Khajiit-Rajhin,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Rajhin_T3,Khajiit-Rajhin|boon,Khajiit-Rajhin,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Alkosh_T1,Khajiit-Alkosh|boon,Khajiit-Alkosh,boon,race-spec,PASS,PASS,PASS,""
