id,surface,race,target,requirement,tier,authority,verify_layer,check_hint,notes,cluster,status
BC-0001,signal_channel,ALL,All 16 Daedric Princes,"A generic-source silence probe (PDV_REFR_Daedric_GenericSilenceProbe_QASmoke, route-201) must exist and return silence when triggered, confirming no generic-source leakage fires a Daedric commitment signal.",BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric controlled sender surface'",esp,PDV_REFR_Daedric_GenericSilenceProbe_QASmoke ACTI base exists; runtime checker --source qasmoke returns silence on probe,,daedric,UNVERIFIED
BC-0002,signal_channel,ALL,Azura,Azura organic commitment signal must fire at DA01 quest stage 100 (The Black Star completion) and route through PDV_FLST_Daedric_AzuraLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_AzuraLiveSources contains DA01 stage 100 FormKey from Skyrim.esm,,daedric,UNVERIFIED
BC-0003,signal_channel,ALL,Boethiah,Boethiah organic commitment signal must fire at DA02 quest stage 100 (Boethiah's Calling completion) and route through PDV_FLST_Daedric_BoethiahLiveSources FormList wired on PDV_PlayerEvents alias.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'; Ledger batch table 'Pilot already drafted' row",esp,PDV_FLST_Daedric_BoethiahLiveSources FormList contains Skyrim.esm DA02 quest FormKey; PDV_PlayerEvents alias script has route wired,,daedric,UNVERIFIED
BC-0004,signal_channel,ALL,Clavicus Vile,Clavicus Vile organic commitment signal must fire at DA03 quest stage 200 (A Daedra's Best Friend completion) and route through PDV_FLST_Daedric_ClavicusLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_ClavicusLiveSources contains DA03 stage 200 FormKey,,daedric,UNVERIFIED
BC-0005,signal_channel,ALL,Hermaeus Mora,Hermaeus Mora organic commitment signal must fire at DA04 quest stage 100 (Discerning the Transmundane/Oghma Infinium completion) and route through PDV_FLST_Daedric_HermaeusLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_HermaeusLiveSources contains DA04 stage 100 FormKey,,daedric,UNVERIFIED
BC-0006,signal_channel,ALL,Hircine,"Hircine organic commitment signal must fire at DA05 quest stage 100 (Ill Met by Moonlight completion / lycanthropy acquisition) and route through PDV_FLST_Daedric_HircineLiveSources FormList; curse-access path, no standard pact counting.",BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'; PDV_Daedric_DecisionPacket_CAT4.md D-16.3",esp,PDV_FLST_Daedric_HircineLiveSources contains DA05 stage 100 FormKey; no CommitmentSignalsRequired counter used,,daedric,UNVERIFIED
BC-0007,signal_channel,ALL,Malacath,Malacath organic commitment signal must fire at DA06 quest stage 200 (The Cursed Tribe completion) and route through PDV_FLST_Daedric_MalacathLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_MalacathLiveSources contains DA06 stage 200 FormKey,,daedric,UNVERIFIED
BC-0008,signal_channel,ALL,Mehrunes Dagon,Mehrunes Dagon organic commitment signal must fire at DA07 quest stage 100 (Pieces of the Past completion) and route through PDV_FLST_Daedric_DagonLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_DagonLiveSources contains DA07 stage 100 FormKey,,daedric,UNVERIFIED
BC-0009,signal_channel,ALL,Mephala,Mephala organic commitment signal must fire at DA08 quest stage 60 (Whispering Door/Ebony Blade threshold) and route through PDV_FLST_Daedric_MephalaLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_MephalaLiveSources contains DA08 stage 60 FormKey,,daedric,UNVERIFIED
BC-0010,signal_channel,ALL,Meridia,Meridia organic commitment signal must fire at DA09 quest stage 500 (The Break of Dawn completion) and route through PDV_FLST_Daedric_MeridiaLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_MeridiaLiveSources contains DA09 stage 500 FormKey,,daedric,UNVERIFIED
