race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Sanguine,Boon -- Seeker (Tier 1),10,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Bless_Daedric_Sanguine_Seeker,Boon description,Quiet,Narrator,140,200,103,,Passive blessing description; visible whenever the player views active effects.,Sanguine's ease settles in you. Revelry lands lighter; you navigate excess with more grace than before.,
Sanguine,Boon -- Devoted (Tier 2),11,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Bless_Daedric_Sanguine_Devoted,Boon description,Quiet,Narrator,140,200,113,,Passive blessing description; visible whenever the player views active effects.,"Sanguine's indulgence deepens. You endure revelry where others wilt; temptation has a familiar, comfortable face.",
Sanguine,Boon -- Champion (Tier 3),12,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Bless_Daedric_Sanguine_Champion,Boon description,Quiet,Narrator,140,200,97,,Passive blessing description; visible whenever the player views active effects.,Sanguine names you his own. Excess is your element; the revelry that should end simply continues.,
Sanguine,Price -- Seeker (Tier 1),20,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Price_Daedric_Sanguine_Seeker,Price description,Quiet,Narrator,140,200,136,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the indulgence path: overindulgence. Sanguine does not enforce the limit, and without the limit the morning arrives harder.",
Sanguine,Price -- Devoted (Tier 2),21,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Price_Daedric_Sanguine_Devoted,Price description,Quiet,Narrator,140,200,116,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price deepens: unreliability. The devotee's word runs alongside the evening's plans; sober commitments dissolve.,
Sanguine,Price -- Champion (Tier 3),22,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Price_Daedric_Sanguine_Champion,Price description,Quiet,Narrator,140,200,118,,Passive price description (paired with the boon); visible whenever the player views active effects.,The full price: restraint is gone. Sanguine does not ask for it back; indulgence is always the more pressing call now.,
Sanguine,Tier-up -- Seeker,30,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Notif_Daedric_Sanguine_SeekerEntry,Notification,Noted,Narrator,60,80,55,,HUD corner notification. One per save.,Sanguine marks you a Seeker. The first round is on him.,
Sanguine,Tier-up -- Devoted,31,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Notif_Daedric_Sanguine_DevotedEntry,Notification,Marked,Narrator,60,80,51,,HUD corner notification. One per save.,Sanguine's indulgence takes a deeper hold. Devoted.,
Sanguine,Tier-down (lapse),32,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Notif_Daedric_Sanguine_Lapse,Notification,Noted,Narrator,60,80,54,,HUD corner notification. One per direction per save.,Sanguine's ease withdraws. The revelry grows ordinary.,
Sanguine,Champion recognition (MessageBox),33,"Sanguine (Daedric path): Warm, charming, genuinely pleased; the god of indulgence and excess who never mentions the cost; his register is the invitation that sounds reasonable right up until three days in when you cannot remember your name -- not malicious, simply indulgent, and content to watch the evening keep going; distinct from Nocturnal's oath-debt and Vile's contract: Sanguine's path is a mood, not a deal.",PDV_Msg_Daedric_Sanguine_ChampionEntry,MessageBox,Marked,God-voice,280,500,14+276,,MessageBox. One-time on first Champion tier.,"Title: ""Sanguine's Own"" Body: ""Well done. You have arrived at the end of the road that begins with one more. I am delighted. The ease is yours permanently -- the revelry, the comfort, the wonderful inability to stop when the evening is still young. That is the gift. You already know what it costs. Welcome.""",
