editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,"protect_the_weak,murder_treacherous","Direct QUST VMAD/QF/INFO proof: the optional substitutes are removed on s110; s145 routes that branch away from the transformation; s210 kills Misha rather than transforming her; s250 stops the quest. RUNTIME-VERIFY the positional terminal presentation.",3DNPC.esp:1D094E,B,Mutually exclusive with s300; the treacherous killing is retained even though it protects the intended family victims.
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,"kill_the_helpless,ritual_sacrifice,reckless_magic","Objectives demand the father's liver, mother's toes, and child's heart; direct INFO has Misha commission those organs; direct QF routes the harvested-organ branch through s190 and transforms Misha at s210. RUNTIME-VERIFY the s300 terminal presentation.",3DNPC.esp:1D094E,B,Mutually exclusive with s250; the victims are family members harvested for a dark rite.
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,"defy_tyranny_talos,kill_honorable_combat","Objectives distribute anti-Thalmor letters at a Talos shrine, kill the pursuing Thalmor, and recover the soul gems; direct QF makes s140 sequential and s200 the loyal completion. RUNTIME-VERIFY the positional terminal presentation.",3DNPC.esp:2838D9,B,The s140 CompleteQuest flag is sequential and is deliberately not rowed.
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,"Direct QF at s500 completes the optional Thalmor-delivery objective, fails the Talos-letter objectives, improves the Thalmor agent relationship, removes the letters, and pays the reward. RUNTIME-VERIFY the positional terminal presentation.",3DNPC.esp:2838D9,B,Mutually exclusive betrayal terminal.
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,"self_sacrifice,protect_the_weak","Objective explicitly offers returning to bed and sacrificing yourself; direct QF for s500 calls game.GetPlayer().KillEssential(). RUNTIME-VERIFY the positional terminal presentation.",3DNPC.esp:1B462D,B,The s200 terminal collapses kill and persuade routes and remains silent.
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,"s200 [COMPLETE]: ""I have successfully completed Olivia's task of retrieving five missing pages from a rare historical tome by Vanus Galerion.""",3DNPC.esp:038120,A,Single evidenced scholarly completion.
DialogueTheRelic,Relic's Revival,20,Successfully repaired a malfunctioning sentient Dwemer Spider Centurion,master_craft_forge,"s20 [COMPLETE]: ""I repaired a malfunctioning but sentient Dwemer Spider Centurion."" Direct VMAD maps s20 to the objective-completion fragment.",3DNPC.esp:044B3C,A,The s30 wonky-personality repair is a separate imperfect branch and remains silent.
dialoguemorviah,The Winter Flower,10,Placed a Dragon's Tongue flower beside Balrund's headstone,honor_the_dead,"Objective: ""Leave a Dragon's Tongue by Balrund's Headstone""; s10 is the untexted CompleteQuest terminal. RUNTIME-VERIFY the positional grave-side completion.",3DNPC.esp:070058,B,Single memorial act.
RDQuest,The Radiant Dark,100,Lured Olivia into a lethal trap and took control of the Radiant Dark,"deceit,break_oath_betray,murder_treacherous","s25 records the lie used to join; s45 orders the player to kill Olivia and her novices; s100 [COMPLETE] records Olivia's defeat and the player's control of the Radiant Dark.",3DNPC.esp:12A16A,A,Mutually exclusive with s200.
RDQuest,The Radiant Dark,200,Destroyed the Radiant Dark and brought Jadro'Ra's spirit peace,"kill_honorable_combat,honor_the_dead","s50 orders elimination of the Radiant Dark; s200 [COMPLETE] records Nelos dead, the guild finished, Jadro'Ra avenged, and his apparition at peace.",3DNPC.esp:12A16A,A,Mutually exclusive with s100.
HorkerQuest,The Way to a Big Oaf's Heart,20,Slew Tusky the legendary horker,the_hunt,"s15 announces the legendary-horker hunt; s20 records: ""I have vanquished Tusky, the Legendary Horker.""",3DNPC.esp:12E107,A,Meaningful intermediate hunt milestone.
HorkerQuest,The Way to a Big Oaf's Heart,100,Reconciled Callen and Gorr and renewed their friendship,friendship,"s100 [COMPLETE]: ""I've brought the horker stew to Gorr, and renewed his friendship with Callen.""",3DNPC.esp:12E107,A,Successful reconciliation terminal.
AnumLaQuest,Honor's Calling,40,Fought off the sellswords sent to silence the investigation,kill_honorable_combat,"s40 journal says the noble sent sellswords to stop the group's meddling and: ""We killed them."" Objective 35 is ""Kill the Sellswords"".",3DNPC.esp:1413D9,A,Player-group combat; not the later NPC-attributed killing.
AnumLaQuest,Honor's Calling,100,Helped expose the assassin threatening Anum-La's surviving companions,protect_the_weak,"s100 [COMPLETE] identifies Dalum-Ei as the assassin after the player's investigation; it explicitly attributes the final killing to Anum-La, so no player-kill tag is used.",3DNPC.esp:1413D9,A,Protection/investigation outcome only.
RumarinQuest,A Spell for Rumarin,100,Helped Rumarin discover an improbable instinctive method for casting a tiny ward,"disciplined_study,embrace_whimsy","s100 [COMPLETE] records the search for teachers and the friendly-fire experiment that produced a ward roughly the size of a gold coin.",3DNPC.esp:145C24,A,Single comic but genuine learning milestone.
SvashniQuest,The Way of the Nine,40,Completed the supplicant's road and received the blessings of the Eight Divines,honor_divine,"s40 journal records walking the supplicant's road and receiving blessings from eight avatars of the Gods.",3DNPC.esp:14E08B,A,Meaningful devotional milestone.
SvashniQuest,The Way of the Nine,70,Defeated eight summoned Akaviri ghosts using the blessings of the Divines,"honor_divine,slay_undead,prove_by_struggle","s70 journal records the blessings lighting the crypt's bonfires and the player defeating all eight summoned ghosts.",3DNPC.esp:14E08B,A,Meaningful trial milestone.
SvashniQuest,The Way of the Nine,110,Slew S'vashni in the agreed single-combat conclusion,"kill_honorable_combat,honorable_duel","s100/s110 record meeting S'vashni in the woods and slaying her; objective 86 is ""Kill S'vashni""; s110 is the CompleteQuest terminal.",3DNPC.esp:14E08B,A,Mutually exclusive with s200.
SvashniQuest,The Way of the Nine,200,Helped S'vashni defeat her master and his eight summoned shadows,"slay_undead,kill_honorable_combat","s200 [COMPLETE]: ""With my help, S'vashni slew her master and his eight shadows""; objective 91 is ""Slay the Ghosts of the Divines"".",3DNPC.esp:14E08B,A,Mutually exclusive with s110; assistance is explicit even though S'vashni lands the narrative kill.
