editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
KWFWikkyQuest,Lost and Found,100,Gave Wikky his agreed share of the treasure-hunting reward after their expedition.,honest_labor_trade,Zenithar,+,S,small,"s55/s60 journal says the reward is a lot of gold and directs the player to give Wikky his share; s100 [COMPLETE]: ""I gave Wikky his share of the reward for helping to recover the treasure book."" cross-gen KEEP: honest_labor_trade(C) from the Zenithar Part B profile, stepped down",KhajiitWillFollow.esp:06D901
KWFWikkyQuest,Lost and Found,100,Gave Wikky his agreed share of the treasure-hunting reward after their expedition.,honest_labor_trade,Z'en,+,S,small,"s55/s60 journal says the reward is a lot of gold and directs the player to give Wikky his share; s100 [COMPLETE]: ""I gave Wikky his share of the reward for helping to recover the treasure book."" cross-gen KEEP: honest_labor_trade(C) from the Z'en Part B profile, stepped down",KhajiitWillFollow.esp:06D901
KhajiitWillFollowMakaraQuest,Wayward Brother,15,Healed Ma'kara's life-threatening injuries after finding her beside the river.,heal_comfort,Mara,+,S,small,"s10 journal: ""Her injuries need to be healed before she succumbs to them."" s15: ""Her injuries were serious, but I managed to heal her."" cross-gen KEEP: heal_comfort(C) from the Mara Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,15,Healed Ma'kara's life-threatening injuries after finding her beside the river.,heal_comfort,Dibella,+,m,small,"s10 journal: ""Her injuries need to be healed before she succumbs to them."" s15: ""Her injuries were serious, but I managed to heal her."" cross-gen KEEP: heal_comfort(S) from the Dibella Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,15,Healed Ma'kara's life-threatening injuries after finding her beside the river.,heal_comfort,Kynareth,+,m,small,"s10 journal: ""Her injuries need to be healed before she succumbs to them."" s15: ""Her injuries were serious, but I managed to heal her."" cross-gen KEEP: heal_comfort(m) from the Kynareth Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,15,Healed Ma'kara's life-threatening injuries after finding her beside the river.,heal_comfort,The Hist,+,m,small,"s10 journal: ""Her injuries need to be healed before she succumbs to them."" s15: ""Her injuries were serious, but I managed to heal her."" cross-gen KEEP: heal_comfort(m) from the The Hist Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,100,Recovered Ma'kara's stolen belongings and honored her dead brother's final message by returning it to her.,protect_the_weak,Stendarr,+,S,small,"s55/s60 journal records Udasi-dro's death and his note to Ma'kara; s100 [COMPLETE] recaps healing Ma'kara, retrieving her belongings, finding her brother, and returning his dying note. cross-gen KEEP: protect_the_weak(C) from the Stendarr Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,100,Recovered Ma'kara's stolen belongings and honored her dead brother's final message by returning it to her.,protect_the_weak,Mara,+,m,small,"s55/s60 journal records Udasi-dro's death and his note to Ma'kara; s100 [COMPLETE] recaps healing Ma'kara, retrieving her belongings, finding her brother, and returning his dying note. cross-gen KEEP: protect_the_weak(m) from the Mara Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,100,Recovered Ma'kara's stolen belongings and honored her dead brother's final message by returning it to her.,honor_the_dead,Arkay,+,S,small,"s55/s60 journal records Udasi-dro's death and his note to Ma'kara; s100 [COMPLETE] recaps healing Ma'kara, retrieving her belongings, finding her brother, and returning his dying note. cross-gen KEEP: honor_the_dead(C) from the Arkay Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,100,Recovered Ma'kara's stolen belongings and honored her dead brother's final message by returning it to her.,protect_the_weak,Kynareth,+,m,small,"s55/s60 journal records Udasi-dro's death and his note to Ma'kara; s100 [COMPLETE] recaps healing Ma'kara, retrieving her belongings, finding her brother, and returning his dying note. cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
KhajiitWillFollowMakaraQuest,Wayward Brother,100,Recovered Ma'kara's stolen belongings and honored her dead brother's final message by returning it to her.,protect_the_weak,Talos,+,m,small,"s55/s60 journal records Udasi-dro's death and his note to Ma'kara; s100 [COMPLETE] recaps healing Ma'kara, retrieving her belongings, finding her brother, and returning his dying note. cross-gen KEEP: protect_the_weak(m) from the Talos Part B profile, stepped down",KhajiitWillFollow.esp:3FAE25
