editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
WTBarrowOfTheWyrm,Barrow of the Wyrm,260,Defeated Vulthurkrah while defending Stonehollow,kill_honorable_combat,Auri-El,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the Auri-El Part B profile, stepped down; REVIEW before promotion",Wyrmstooth.esp:028F01
WTBarrowOfTheWyrm,Barrow of the Wyrm,260,Defeated Vulthurkrah while defending Stonehollow,kill_honorable_combat,Hircine,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Hircine Part B profile, stepped down; REVIEW before promotion",Wyrmstooth.esp:028F01
WTBarrowOfTheWyrm,Barrow of the Wyrm,260,Defeated Vulthurkrah while defending Stonehollow,protect_the_weak,Molag Bal,-,m,small,"cross-gen candidate: protect_the_weak(m) from the Molag Bal Part B profile, stepped down; REVIEW before promotion",Wyrmstooth.esp:028F01
WTBarrowOfTheWyrm,Barrow of the Wyrm,260,Defeated Vulthurkrah while defending Stonehollow,kill_honorable_combat,Mehrunes Dagon,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the Mehrunes Dagon Part B profile, stepped down; REVIEW before promotion",Wyrmstooth.esp:028F01
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,uphold_law_justice,Zenithar,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Zenithar Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,uphold_law_justice,Julianos,+,m,small,"cross-gen candidate: uphold_law_justice(S) from the Julianos Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Talos,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Talos Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Kyne,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Kyne Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Shor,+,S,small,"cross-gen candidate: kill_honorable_combat(C) from the Shor Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Tsun,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Tsun Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,uphold_law_justice,Stuhn,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Stuhn Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Auri-El,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the Auri-El Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Trinimac,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Trinimac Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,uphold_law_justice,Z'en,+,m,small,"cross-gen candidate: uphold_law_justice(S) from the Z'en Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Alkosh,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Alkosh Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,Malacath,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Malacath Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,kill_honorable_combat,HoonDing,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the HoonDing Part B profile, stepped down; REVIEW before promotion",ccbgssse067-daedinv.esm:19952A
