batch_id,wave,separator,mod,plugin,plugin_path,input_id
A001,A,Base Game & Creation Club Files,Cleaned Base Game Masters,Dawnguard.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Cleaned Base Game Masters\Dawnguard.esm,ddbc565b1f549271
A001,A,Base Game & Creation Club Files,Cleaned Base Game Masters,Dragonborn.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Cleaned Base Game Masters\Dragonborn.esm,691ca7441e87f613
A001,A,Base Game & Creation Club Files,Cleaned Base Game Masters,HearthFires.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Cleaned Base Game Masters\HearthFires.esm,17a53e498cecaf79
A001,A,Base Game & Creation Club Files,Cleaned Base Game Masters,Update.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Cleaned Base Game Masters\Update.esm,a96d2d5a79e4450c
A001,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Daedric Mail,ccbgssse051-ba_daedricmail.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Daedric Mail\ccbgssse051-ba_daedricmail.esl,cba070a2e45dfe77
A001,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Daedric Plate,ccbgssse050-ba_daedric.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Daedric Plate\ccbgssse050-ba_daedric.esl,dedc3e0968f7448b
A001,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Dragon Plate,ccbgssse059-ba_dragonplate.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Dragon Plate\ccbgssse059-ba_dragonplate.esl,c1183e4bc12fe1a8
A001,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Dragonscale,ccbgssse060-ba_dragonscale.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Dragonscale\ccbgssse060-ba_dragonscale.esl,d6e149d5a09110e6
A001,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Dwarven Mail,ccbgssse062-ba_dwarvenmail.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Dwarven Mail\ccbgssse062-ba_dwarvenmail.esl,fe7c644d438e17bd
A001,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Dwarven Plate,ccbgssse061-ba_dwarven.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Dwarven Plate\ccbgssse061-ba_dwarven.esl,c09c95298df70e72
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Ebony Plate,ccbgssse063-ba_ebony.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Ebony Plate\ccbgssse063-ba_ebony.esl,d3f2f6993a72194d
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Elven Hunter,ccbgssse064-ba_elven.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Elven Hunter\ccbgssse064-ba_elven.esl,93090dd7948e2cec
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Iron,ccbgssse052-ba_iron.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Iron\ccbgssse052-ba_iron.esl,33e88e1a179deaad
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Leather,ccbgssse053-ba_leather.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Leather\ccbgssse053-ba_leather.esl,798d58334795ef5f
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Orcish Plate,ccbgssse054-ba_orcish.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Orcish Plate\ccbgssse054-ba_orcish.esl,d092c2d74494946b
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Orcish Scaled,ccbgssse055-ba_orcishscaled.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Orcish Scaled\ccbgssse055-ba_orcishscaled.esl,8d55fee38a3b9763
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Silver,ccbgssse056-ba_silver.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Silver\ccbgssse056-ba_silver.esl,3f7ab371544daeb7
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Stalhrim Fur,ccbgssse057-ba_stalhrim.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Stalhrim Fur\ccbgssse057-ba_stalhrim.esl,67fce49b8d31354c
A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Steel Soldier,ccbgssse058-ba_steel.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Steel Soldier\ccbgssse058-ba_steel.esl,a402c2d84831eb9f
A002,A,Base Game & Creation Club Files,Creation Club - Arcane Accessories,ccbgssse014-spellpack01.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Arcane Accessories\ccbgssse014-spellpack01.esl,b08bf4dc72743889
A003,A,Base Game & Creation Club Files,Creation Club - Arms of Chaos,ccpewsse002-armsofchaos.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Arms of Chaos\ccpewsse002-armsofchaos.esl,519292c8573a8afc
A003,A,Base Game & Creation Club Files,Creation Club - Bittercup,cckrtsse001_altar.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Bittercup\cckrtsse001_altar.esl,7b7072a38a7d919a
A003,A,Base Game & Creation Club Files,Creation Club - Civil War Champions,ccffbsse001-imperialdragon.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Civil War Champions\ccffbsse001-imperialdragon.esl,9638c61b63f9dd6d
A003,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccasvsse001-almsivi.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccasvsse001-almsivi.esm,546e7c62dd5e55e2
A003,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccBGSSSE001-Fish.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccBGSSSE001-Fish.esm,c0a4cabde62bb70a
A003,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse003-zombies.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse003-zombies.esl,84feedbc7a704bca
A003,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse004-ruinsedge.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse004-ruinsedge.esl,4600f764215c95c2
A003,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse016-umbra.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse016-umbra.esm,9a29801fc9a3e7b1
A003,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse018-shadowrend.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse018-shadowrend.esl,8d0bb5237c770dca
A003,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccBGSSSE025-AdvDSGS.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccBGSSSE025-AdvDSGS.esm,73dcae7365fedc3b
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse034-mntuni.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse034-mntuni.esl,3fd10846ece9fe3f
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse040-advobgobs.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse040-advobgobs.esl,367ac867ba28f413
