race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Argonian,Substrate posture readout,61,,PDV_Msg_Argonian_HistPosture_Normal,Status spell readout,Quiet,Narrator,180,240,87,,Shown via Survey Devotion and on posture transitions.,"The Hist is distant, as it always is in Skyrim, but it still reaches you. You are held.",
Argonian,Substrate posture readout,61,,PDV_Msg_Argonian_HistPosture_Distant,Status spell readout,Noted,Narrator,180,240,82,,Shown via Survey Devotion and on posture transitions.,The Hist has thinned to almost nothing. You feel like a stranger in your own skin.,
Argonian,Substrate posture readout,61,,PDV_Msg_Argonian_HistPosture_Strained,Status spell readout,Noted,Narrator,180,240,104,,Shown via Survey Devotion and on posture transitions.,"The Hist relation is strained. The beast-shape sits between you and the trees, but they have not let go.",
Argonian,Substrate posture readout,61,,PDV_Msg_Argonian_HistPosture_Silenced,Status spell readout,Marked,Narrator,180,240,88,,Shown via Survey Devotion and on posture transitions.,The Hist has gone silent. It does not speak to its own undead. The cycle is interrupted.,
Argonian,Substrate posture readout,61,,PDV_Msg_Argonian_HistPosture_Corrupted,Status spell readout,Marked,Narrator,180,240,94,,Shown via Survey Devotion and on posture transitions.,The Hist relation is corrupted. Undeath and domination have fouled the connection at its root.,
Argonian,First blessing (Tier 1),10,,PDV_Bless_Argonian_Layered_T1,Blessing description,Quiet,Narrator,140,200,179,,Passive blessing description; visible whenever the player views active effects.,The Hist is distant but present; the People know you. Water breathing deepens; you swim 10% faster; near water you heal 2 health a second; your resistance to disease rises by 15%.,
Argonian,Deepening blessing (Tier 2),11,,PDV_Bless_Argonian_Layered_T2,Blessing description,Quiet,Narrator,140,200,170,,Passive blessing description; visible whenever the player views active effects.,All three layers are maintained under exile. Near water you heal 5 health a second; rest near water restores health and stamina fully; helping a Saxhleel returns stamina.,
Argonian,Devoted blessing (Tier 3),12,,PDV_Bless_Argonian_Hist_T3,Blessing description,Quiet,Narrator,140,200,195,,Passive blessing description; visible whenever the player views active effects.,"The Hist reaches you where water reaches. In wetland and water, your damage resistance rises by 10%, your health regenerates steadily, and your Sneak by 15. The swamp gives what dry stone cannot.",
Argonian,Devoted blessing (Tier 3),12,,PDV_Bless_Argonian_Community_T3,Blessing description,Quiet,Narrator,140,200,145,,Passive blessing description; visible whenever the player views active effects.,The People are your armor. Helping Saxhleel returns strong piety; a friendly Argonian nearby raises your armor by 8; the exile network knows you.,
Argonian,Devoted blessing (Tier 3),12,"Sithis: The primordial void -- change, death, the dark before and around all things; acknowledged, never worshipped; speaks rarely, and never to comfort.",PDV_Bless_Argonian_Sithis_T3,Blessing description,Quiet,Narrator,140,200,157,,Passive blessing description; visible whenever the player views active effects.,"Sithis holds those who faced the void unflinching. Near death, a burst of stamina regeneration; a Dark Brotherhood contract sharpens speed and stealth after.",
