editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
DLC2MQ04,The Path of Knowledge,550,Recovered Hermaeus Mora's Black Book from Nchardak.,"forbidden_knowledge,disciplined_study",Dragonborn.esm direct QUST read: s550 CompleteQuest says the player and Neloth found one of Hermaeus Mora's Black Books after restoring Nchardak's reading room.,Dragonborn.esm:016E1F,A,Retains only the directly evidenced forbidden-knowledge and problem-solving study outcome.
DLC2MQ06,At the Summit of Apocrypha,550,Defeated Miraak in open battle and ended his threat to Solstheim.,"kill_honorable_combat,prove_by_struggle,protect_the_weak",Dragonborn.esm direct QUST read: s550 CompleteQuest says the player fought and killed Miraak and that he will never threaten Solstheim again.,Dragonborn.esm:0179D7,A,"Remove serve_a_daedra:hermaeusmora: Mora's aid is an NPC act, not player service at this stage."
DLC2MQ05,The Gardener of Men,1000,Completed Hermaeus Mora's bargain for the Skaal secrets and received the final Word of Bend Will.,"serve_a_daedra:hermaeusmora,forbidden_knowledge",Dragonborn.esm direct QUST read: s340 states Mora's price; s1000 CompleteQuest says Storn agreed to give the secrets and Mora killed him while teaching the promised Word.,Dragonborn.esm:0179DE,A,"Player facilitated the bargain; Storn's sacrifice and Mora's killing are NPC acts, so ritual_sacrifice and honor_the_dead are removed."
DLC2TT1,Reluctant Steward,500,Found Drovas Relvi and secured a replacement steward for Tel Mithryn.,civic_service,Dragonborn.esm direct QUST/VMAD read: s400 says the player found an eager replacement; s500 has the terminal fragment but no journal; RUNTIME-VERIFY.,Dragonborn.esm:017E8D,B,One-shot community service; terminal position is directly present but untexted.
DLC2MQ02,The Temple of Miraak,200,Read Miraak's Black Book and uncovered its forbidden knowledge.,"forbidden_knowledge,disciplined_study","Dragonborn.esm direct QUST read: s60 and s200 CompleteQuest say the player read the strange book, entered another realm, and learned Miraak's plans.",Dragonborn.esm:017F8F,A,Remove generic law/struggle readings; the terminal directly supports knowledge-seeking only.
DLC2MQ03,The Fate of the Skaal,70,Freed the Skaal from Miraak's control and destroyed his released minion.,"protect_the_weak,civic_service",Dragonborn.esm direct QUST read: s60 records freeing the Skaal; s70 records that the people are free and Miraak's minion destroyed; RUNTIME-VERIFY because s70 is non-terminal.,Dragonborn.esm:017F90,A,Discrete liberation milestone.
DLC2dunKolbjornQST,Unearthed,75,Funded the excavation and relic hunt inside Kolbjorn Barrow.,desecrate_the_dead,Dragonborn.esm direct QUST read: s75 says the player funded an expedition to excavate a tomb for the Relics of Ahzidal; RUNTIME-VERIFY because this is non-terminal.,Dragonborn.esm:01810B,A,Initial knowing tomb excavation; later deaths caused by Ralis are not attributed to the player.
DLC2dunKolbjornQST,Unearthed,475,Defeated the awakened Dragon Priest Ahzidal.,"slay_undead,prove_by_struggle",Dragonborn.esm direct QUST read: s475 says Ralis released the powerful Dragon Priest and the player fought and defeated him; RUNTIME-VERIFY.,Dragonborn.esm:01810B,A,Boss-fight milestone before the Ralis choice.
DLC2dunKolbjornQST,Unearthed,485,Killed Ralis after discovering his lies and blood sacrifices.,uphold_law_justice,Dragonborn.esm direct QUST read: s485 says the player saw through Ralis's lies and killed him for using miners as blood sacrifices; RUNTIME-VERIFY.,Dragonborn.esm:01810B,A,"Owner review: extrajudicial justice is directly stated, but the record does not establish whether Ralis was helpless."
DLC2dunKolbjornQST,Unearthed,490,Spared Ralis after concluding Ahzidal had controlled his actions.,mercy_spare,Dragonborn.esm direct QUST read: s490 says Ralis had no control over his actions and the player allowed him to leave in peace; RUNTIME-VERIFY.,Dragonborn.esm:01810B,A,Mutually exclusive Ralis branch.
DLC2TT1b,A New Debt,300,Paid the debt Mogrul transferred from Drovas to the player.,settle_anothers_debt,Dragonborn.esm direct QUST read: s300 CompleteQuest says the player paid Drovas's 1000-septim debt.,Dragonborn.esm:01844E,A,Owner-approved canonical tag 2026-08-12.
DLC2TT1b,A New Debt,310,Killed Mogrul instead of paying the transferred debt.,resist_extortion,Dragonborn.esm direct QUST read: s310 CompleteQuest says Mogrul demanded Drovas's debt and the player killed him instead.,Dragonborn.esm:01844E,A,Owner-approved canonical tag; the journal does not establish honorable combat versus murder.
DLC2TT1b,A New Debt,320,Persuaded Mogrul to accept half the transferred debt.,resist_extortion,Dragonborn.esm direct QUST read: s320 CompleteQuest says the player persuaded Mogrul to take half.,Dragonborn.esm:01844E,A,Owner-approved canonical tag; persuasion does not imply deceit.
DLC2RR01,March of the Dead,200,Destroyed Falx Carius and the ash-spawn threat to Raven Rock.,"slay_undead,protect_the_weak,civic_service",Dragonborn.esm direct QUST read: s200 CompleteQuest says the player slew Falx Carius and ended further ash-spawn attacks on Raven Rock.,Dragonborn.esm:018B13,A,Remove generic uphold-law framing; this is defense of the town.
DLC2RR02,Served Cold,200,Exposed and defeated the conspirators plotting to assassinate Councilor Morvayn.,"uphold_law_justice,protect_the_weak,civic_service",Dragonborn.esm direct QUST read: s90 says the player killed Vendil and defeated the Morag Tong; s200 CompleteQuest says the threat to Morvayn ended.,Dragonborn.esm:018B14,A,"Remove slay_undead, trade, and deceit: the enemies are living conspirators and the player investigated openly."
DLC2RR03,The Final Descent,200,Recovered Gratian's journal and established the truth of his death for his family.,honor_the_dead,Dragonborn.esm direct QUST read: s30-s50 record recovering Gratian's journal from his remains; s200 CompleteQuest says the truth of his death was uncovered.,Dragonborn.esm:018B15,A,Remove law and generic struggle readings.
DLC2TT2,Old Friends,600,"Confronted and killed Ildari, ending her attacks on Neloth.","kill_honorable_combat,protect_the_weak",Dragonborn.esm direct QUST/VMAD read: s500 says the player confronted and killed Ildari; s600 is the untexted CompleteQuest fragment; RUNTIME-VERIFY.,Dragonborn.esm:0195A1,B,Retain terminal stage but ground it in the direct s500 journal.
DLC2SV01,Lost Legacy,200,Protected Tharstan through Vahlok's tomb and defeated the Dragon Priest.,"protect_the_weak,slay_undead",Dragonborn.esm direct QUST read: s200 CompleteQuest says Tharstan hired the player for protection and the player fought and defeated Vahlok.,Dragonborn.esm:019B4A,A,"Remove honor-the-wild, defend-kin-home, and generic struggle readings."
DLC2MH01,Retaking Thirsk,25,Helped the exiled Nords retake Thirsk Mead Hall from the Rieklings.,"civic_service,kill_honorable_combat",Dragonborn.esm direct QUST read: s25 says the player helped Thirsk's warriors retake their home from the Rieklings; RUNTIME-VERIFY because this is non-terminal.,Dragonborn.esm:01A50B,A,Common reclaim milestone before the later Bujold branch.
DLC2MH01,Retaking Thirsk,40,Opposed Bujold's plan to lead Thirsk through fraud.,reject_criminality,Dragonborn.esm direct QUST read: s40 says Bujold proposed leading despite rejection by Hrothmund and attacked when the player opposed her fraud; RUNTIME-VERIFY.,Dragonborn.esm:01A50B,A,Use the pre-terminal branch milestone because s200 contains colliding conceal-versus-kill outcomes.
DLC2MH02,The Chief of Thirsk Hall,200,Defeated the Riekling chief in combat and became chief of the tribe.,"kill_honorable_combat,prove_by_struggle",Dragonborn.esm direct QUST read: s200 CompleteQuest says the chief attacked over a perceived challenge and the player defeated him and became chief.,Dragonborn.esm:01A50C,A,Does not separately score the earlier assault on the exiled Nords.
DLC2TTF1,From the Ashes,300,Destroyed the Ash Guardian running amok at Tel Mithryn.,protect_the_weak,Dragonborn.esm direct QUST read: s300 CompleteQuest says the player destroyed the Ash Guardian Talvas accidentally summoned.,Dragonborn.esm:01AAB0,A,Talvas caused the reckless summoning; that NPC act is not attributed to the player.
DLC2TTF2,Healing a House,500,Restored Tel Mithryn's withered living tower with treated taproots.,"honor_the_wild,civic_service",Dragonborn.esm direct QUST read: s500 CompleteQuest says the player repaired the withered Telvanni tower by planting treated taproots.,Dragonborn.esm:01AAC8,A,Direct restoration of a living structure and its settlement.
DLC2TTR4a,Experimental Subject,300,Submitted to Neloth's experimental spell despite its dangerous side effects.,reckless_magic,Dragonborn.esm direct QUST read: s100 says the player accepted the experiment; s200 records a dangerous health side effect; s300 is CompleteQuest but untexted; RUNTIME-VERIFY.,Dragonborn.esm:01B664,B,Retains the directly evidenced risky-magic route.
DLC2TTR4b,Experimental Subject,200,Helped Neloth conduct another magical experiment on the player.,reckless_magic,Dragonborn.esm direct QUST/VMAD read: objective 150 says Help Neloth with his research and s200 is a CompleteQuest fragment; RUNTIME-VERIFY because the QUST has no journal prose.,Dragonborn.esm:01CDE1,C,Owner review: positional second-experiment route; no stronger semantic evidence is modeled in QUST.
DLC2SV02,A New Source of Stalhrim,200,Rescued Baldor from the Thalmor and returned the stolen Stalhrim source map.,"protect_the_weak,defy_tyranny_talos,civic_service",Dragonborn.esm direct QUST read: s10-s30 record Baldor's Thalmor abduction and retrieval of their map; s200 CompleteQuest records returning it to him.,Dragonborn.esm:01CAF1,A,"Remove generic wild/struggle fan-out; the directly evidenced acts are rescue, anti-Thalmor defiance, and service to Skaal Village."
DLC2WB01,Filial Bonds,100,Told Wulf the truth of his brother's death and gave him closure.,"honor_the_dead,heal_comfort",Dragonborn.esm direct QUST read: s100 CompleteQuest says the player told Wulf his brother's final story and set his mind to rest.,Dragonborn.esm:0209AE,A,The werebear killed in self-defense is not separately scored; remove generic prove-by-struggle.
DLC2dunHaknirTreasureQST,Deathbrand,100,"Plundered Haknir's tomb, defeated his ghost, and claimed his cursed treasure.","desecrate_the_dead,slay_undead,theft_burglary","Dragonborn.esm direct QUST read: s80-s100 record touching cursed tomb treasure, defeating Haknir's ghost, and claiming his swords and gold; RUNTIME-VERIFY because s100 is unflagged.",Dragonborn.esm:024002,A,One-shot tomb-plunder culmination.
DLC2dunKarstaagQST,Karstaag,250,Summoned and defeated Karstaag in a legendary trial of combat.,"kill_honorable_combat,prove_by_struggle",Dragonborn.esm direct QUST/VMAD read: the quest has an s250 fragment in the Karstaag battle controller; RUNTIME-VERIFY because no journal or objective text identifies the exact beat.,Dragonborn.esm:0247F8,C,Meaningful zero-journal boss quest; stage is positionally inferred from the direct battle-controller VMAD and requires runtime confirmation.
DLC2RRFavor01,Recipe for Distraction,200,Located and reported Raven Rock's hidden contraband wine stash.,"uphold_law_justice,civic_service",Dragonborn.esm direct QUST/VMAD read: objectives require finding the hidden Emberbrand Wine and reporting it to Captain Veleth; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:024DDE,B,One-shot law-enforcement favor.
DLC2RRFavor02,Fetch the Netch,200,Gathered netch jelly and delivered it to Milore Ienth.,"honest_labor_trade,civic_service",Dragonborn.esm direct QUST/VMAD read: objectives require gathering and delivering netch jelly; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:024DE7,B,One-shot practical settlement favor.
DLC2RRFavor03,Clean Sweep,200,Cleansed Raven Rock Temple's ancestral tomb of ash spawn.,"slay_undead,honor_the_dead,civic_service",Dragonborn.esm direct QUST/VMAD read: objectives say Clear the Temple's tomb of ash spawn and report it cleansed; s200 has a fragment but no journal; RUNTIME-VERIFY.,Dragonborn.esm:024DFC,B,Direct objective outcome; unflagged positional terminal.
DLC2RRFavor04,It's All In The Taste,200,Distributed Geldis Sadri's sujamma samples around Raven Rock.,honest_labor_trade,Dragonborn.esm direct QUST/VMAD read: objectives require distributing the liquor samples and reporting success; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:024E04,B,"Player performed commerce; revelry belongs to recipients, not the player."
DLC2RRFavor06,Feeding the Addiction,200,Persuaded the innkeeper to admit Bralsa so she could continue drinking.,enable_addiction,Dragonborn.esm direct QUST/VMAD read: objectives require convincing Geldis to admit Bralsa and telling her she is welcome; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:024FAD,B,Owner-approved canonical tag; revel_indulge remains limited to the player's own indulgence.
DLC2RRFavor07,First Edition,200,Recovered Cindiri's lost folio from a shipwreck and returned it.,recover_lost_keepsake,Dragonborn.esm direct QUST/VMAD read: objectives require locating Cindiri's Folio in the Strident Squall wreck and returning it; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:02BAC6,B,"Owner-approved canonical tag; the item was lost, not stolen."
DLC2TGQuest,Paid in Full,200,Recovered Glover Mallory's stolen Bonemold Formula and returned it.,recover_stolen_keepsake,Dragonborn.esm direct QUST/VMAD read: objectives require recovering and returning Glover's Bonemold Formula; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:02AD26,B,The canonical tag meaning covers returned personal property stolen from another.
DLC2EbonyWarriorQuest,The Ebony Warrior,200,Defeated the Ebony Warrior in his requested final duel and honored his passing.,"kill_honorable_combat,honorable_duel,prove_by_struggle,honor_the_dead",Dragonborn.esm direct QUST read: s100 records his challenge; s200 CompleteQuest says the player defeated him and wishes his soul rest in Sovngarde.,Dragonborn.esm:02C49E,A,Existing outcome is directly supported.
DLC2SkaalVillageFreeform2,Skaal Village Family,200,Persuaded Nikulas to remain with his family in Skaal Village.,marriage_family,Dragonborn.esm direct QUST/VMAD read: objectives require convincing Nikulas to stay and speaking to Edla; s200 has a terminal fragment; RUNTIME-VERIFY.,Dragonborn.esm:031787,B,Family-reconciliation outcome; quest name is absent in the record.
DLC2KagrumezQST,The Kagrumez Gauntlet,250,Completed every combat trial in the Kagrumez Gauntlet.,prove_by_struggle,Dragonborn.esm direct QUST read: s250 CompleteQuest developer entry says all fights are completed; objective identifies the Kagrumez trials; RUNTIME-VERIFY.,Dragonborn.esm:03166D,C,"Remove kill_honorable_combat: the opponents are trial constructs, not evidenced worthy foes."
DLC2BlackBook03Quest,Black Book: Untold Legends,20,Uncovered the forbidden knowledge in Untold Legends.,"forbidden_knowledge,disciplined_study",Dragonborn.esm direct QUST read: s20 CompleteQuest says the player uncovered the Black Book's hidden knowledge.,Dragonborn.esm:03216C,A,Remove serve_a_daedra: no bargain or service is evidenced.
DLC2BlackBook05Quest,Black Book: The Sallow Regent,20,Uncovered the forbidden knowledge in The Sallow Regent.,"forbidden_knowledge,disciplined_study",Dragonborn.esm direct QUST read: s20 CompleteQuest says the player uncovered the Black Book's hidden knowledge.,Dragonborn.esm:03216D,A,Remove serve_a_daedra: no bargain or service is evidenced.
DLC2BlackBook04Quest,Black Book: The Winds of Change,20,Uncovered the forbidden knowledge in The Winds of Change.,"forbidden_knowledge,disciplined_study",Dragonborn.esm direct QUST read: s20 CompleteQuest says the player uncovered the Black Book's hidden knowledge.,Dragonborn.esm:03216E,A,Remove serve_a_daedra: no bargain or service is evidenced.
DLC2BlackBook06Quest,Black Book: Filament and Filigree,20,Uncovered the forbidden knowledge in Filament and Filigree.,"forbidden_knowledge,disciplined_study",Dragonborn.esm direct QUST read: s20 CompleteQuest says the player uncovered the Black Book's hidden knowledge.,Dragonborn.esm:03216F,A,Remove serve_a_daedra: no bargain or service is evidenced.
DLC2BlackBook07Quest,Black Book: The Hidden Twilight,20,Uncovered the forbidden knowledge in The Hidden Twilight.,"forbidden_knowledge,disciplined_study",Dragonborn.esm direct QUST read: s20 CompleteQuest says the player uncovered the Black Book's hidden knowledge.,Dragonborn.esm:032170,A,Remove serve_a_daedra: no bargain or service is evidenced.
DLC2MQ03B,Cleansing the Stones,200,Cleansed Solstheim's sacred Stones and freed the island from Miraak's influence.,"honor_the_wild,protect_the_weak,civic_service",Dragonborn.esm direct QUST read: s200 CompleteQuest says the player cleansed the sacred Stones and freed Solstheim from Miraak's influence.,Dragonborn.esm:035440,A,Remove uphold_law_justice; add the directly evidenced liberation and community service.
DLC2ThirskFFElmus,Elmus Favor Quest,200,Brought Elmus Ashfire Mead from the restored Thirsk Mead Hall.,"honest_labor_trade,civic_service",Dragonborn.esm direct QUST/VMAD read: objective requires bringing the mead; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:038EBF,B,One-shot Thirsk settlement favor.
DLC2ThirskFFElmusBack,Elmus Favor Quest,200,Brought Elmus juniper berries for his mead-making.,"honest_labor_trade,civic_service",Dragonborn.esm direct QUST/VMAD read: objective requires bringing juniper berries; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:038EC4,B,One-shot Thirsk settlement favor.
DLC2ThirskFFHilund,Hilund Favor Quest,200,Gathered Riekling spears for Hilund.,"honest_labor_trade,civic_service",Dragonborn.esm direct QUST/VMAD read: objective requires bringing Hilund the requested Riekling spears; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:038FBB,B,One-shot Thirsk settlement favor.
DLC2ThirskFFHalbarn,Halbarn Favor Quest,200,Supplied Stalhrim ore and ebony ingots for Halbarn's smithing work.,"honest_labor_trade,civic_service",Dragonborn.esm direct QUST/VMAD read: objective requires bringing the smith his materials; s200 is CompleteQuest; RUNTIME-VERIFY.,Dragonborn.esm:038FBC,B,"Remove master_craft_forge: Halbarn, not the player, performs the crafting."
