editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,murder_treacherous,Stendarr,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: murder_treacherous(S) from the Stendarr Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,murder_treacherous,Mara,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: murder_treacherous(m) from the Mara Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,murder_treacherous,Talos,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: murder_treacherous(S) from the Talos Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,murder_treacherous,Shor,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: murder_treacherous(S) from the Shor Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,murder_treacherous,Tsun,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: murder_treacherous(S) from the Tsun Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,deceit,Baan Dar,+,S,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: deceit(C) from the Baan Dar Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,deceit,Rajhin,+,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: deceit(S) from the Rajhin Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,deceit,Malacath,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: deceit(m) from the Malacath Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,murder_treacherous,HoonDing,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: murder_treacherous(m) from the HoonDing Part B profile, stepped down.",Skyrim.esm:01EA50
DB01,Innocence Lost (lured Grelod to the docks),22,Tricked Grelod the Kind into following him to the Riften docks to kill her out of sight,murder_treacherous,Leki,-,m,small,"B04 tier A, a stage this QE ADDS to vanilla DB01 (vanilla has 0/5/20/30/200/255; the mod adds 21/22/198/199/201). s21 'I've convinced Grelod the Kind that Aventus Aretino is just outside Riften. She's agreed to follow me to the docks, where I can then get rid of her discreetly.' s22 'Grelod is at the docks, where no one can see her. Time to get rid of her.' RUNTIME-VERIFY: non-terminal, so reachability down this path is not proven by the record alone. cross-gen KEEP: murder_treacherous(S) from the Leki Part B profile, stepped down.",Skyrim.esm:01EA50
