input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
ab16d82252177b19,B003,B,Gameplay - Frameworks,Subclasses of Skyrim 2,SubclassesOfSkyrim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Subclasses of Skyrim 2\SubclassesOfSkyrim.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 2 QUST.,,NO-ROWS,Primary-review rollup from 2 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
ab16d82252177b19,B003,B,Gameplay - Frameworks,Subclasses of Skyrim 2,SubclassesOfSkyrim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Subclasses of Skyrim 2\SubclassesOfSkyrim.esp,QUST:000801:SubclassesOfSkyrim.esp,QUST,read,QUST,000801:SubclassesOfSkyrim.esp,DAR_SoSControllerQuest,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: DAR_SoSControllerQuest has no player-facing stages or outcomes; system/checker/injection only and not a devotional surface.,,REJECTED
ab16d82252177b19,B003,B,Gameplay - Frameworks,Subclasses of Skyrim 2,SubclassesOfSkyrim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Subclasses of Skyrim 2\SubclassesOfSkyrim.esp,QUST:000DE2:SubclassesOfSkyrim.esp,QUST,read,QUST,000DE2:SubclassesOfSkyrim.esp,DAR_SoSControllerQuestSpell,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: DAR_SoSControllerQuestSpell has no player-facing stages or outcomes; system/checker/injection only and not a devotional surface.,,REJECTED
813f0fdabdc72b04,B003,B,Gameplay - Frameworks,Trade and Barter,trade & barter.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Trade and Barter\trade & barter.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,Direct summary and exhaustive QUST enumeration: 0 QUST.,,NO-ROWS,Primary-review rollup confirms the direct read contained no QUST evidence rows; non-quest signals remain separate.,,REJECTED
e0a14a78bbdf61e6,B003,B,Gameplay - Perks & Leveling,Biggie Traits,Biggie Traits.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Biggie Traits\Biggie Traits.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,Direct summary and exhaustive QUST enumeration: 0 QUST.,,NO-ROWS,Primary-review rollup confirms the direct read contained no QUST evidence rows; non-quest signals remain separate.,,REJECTED
3abd0b1b3fd4b217,B003,B,Gameplay - Perks & Leveling,Experience - MCM,Experience.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Experience - MCM\Experience.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 1 QUST.,,NO-ROWS,Primary-review rollup from 1 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
3abd0b1b3fd4b217,B003,B,Gameplay - Perks & Leveling,Experience - MCM,Experience.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Experience - MCM\Experience.esl,QUST:000800:Experience.esl,QUST,read,QUST,000800:Experience.esl,Experience_MCM,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: Experience_MCM has no player-facing stages or outcomes; system/checker/injection only and not a devotional surface.,,REJECTED
00fc90c1230a7b6e,B003,B,Gameplay - Perks & Leveling,Experience - Thief Experience,Thief Experience.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Experience - Thief Experience\Thief Experience.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,Direct summary and exhaustive QUST enumeration: 0 QUST.,,NO-ROWS,Primary-review rollup confirms the direct read contained no QUST evidence rows; non-quest signals remain separate.,,REJECTED
52ce1a1e0b9ec981,B003,B,Gameplay - Perks & Leveling,Sky Signs,SkySigns.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Sky Signs\SkySigns.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 1 QUST.,,NO-ROWS,Primary-review rollup from 1 reviewed direct evidence row(s); no new semantic decision.,,REJECTED
52ce1a1e0b9ec981,B003,B,Gameplay - Perks & Leveling,Sky Signs,SkySigns.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Sky Signs\SkySigns.esp,QUST:000800:SkySigns.esp,QUST,read,QUST,000800:SkySigns.esp,SkySigns_Quest,,existing-stage-edits-only,,Direct raw enumeration.,,NO-ROWS,Primary reviewed: SkySigns_Quest has no player-facing stages or outcomes; system/checker/injection only and not a devotional surface.,,REJECTED
