editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Stendarr,+,S,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(C) from the Stendarr Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Mara,+,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(m) from the Mara Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Kynareth,+,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Talos,+,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(m) from the Talos Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Tsun,+,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(m) from the Tsun Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Stuhn,+,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(S) from the Stuhn Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Syrabane,+,S,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(C) from the Syrabane Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Khenarthi,+,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(S) from the Khenarthi Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,The Hist,+,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(S) from the The Hist Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
FA01RedcapAniseQ,The Cabin in the Woods,60,Freed the captive Redcap from the witch who had enslaved and tortured him.,protect_the_weak,Molag Bal,-,m,small,"s10 journal details Anise's enslavement and physical and psychological torment of Redcap; s50 says she attacked to prevent his escape; s60 [COMPLETE] records the witch dead and Redcap free to travel with the player. cross-gen KEEP: protect_the_weak(m) from the Molag Bal Part B profile, stepped down",FA01RedcapFollower.esp:0DFB5A
