race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Boethiah,Boon -- Seeker (Tier 1),10,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Bless_Daedric_Boethiah_Seeker,Boon description,Quiet,Narrator,140,200,135,,Passive blessing description; visible whenever the player views active effects.,Boethiah marks the seeker of trials. A kill against a worthy foe sharpens your hand: a brief weapon-damage edge after a hard-won fight.,
Boethiah,Boon -- Devoted (Tier 2),11,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Bless_Daedric_Boethiah_Devoted,Boon description,Quiet,Narrator,140,200,128,,Passive blessing description; visible whenever the player views active effects.,Boethiah's trial momentum is yours. Felling a significant enemy grants a day of heavier carry weight and stronger power attacks.,
Boethiah,Boon -- Champion (Tier 3),12,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Bless_Daedric_Boethiah_Champion,Boon description,Quiet,Narrator,140,200,136,,Passive blessing description; visible whenever the player views active effects.,Boethiah names you proven. In sustained combat a winning edge builds and holds; overthrowing the strong returns the Prince's full favor.,
Boethiah,Price -- Seeker (Tier 1),20,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Price_Daedric_Boethiah_Seeker,Price description,Quiet,Narrator,140,200,123,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price of the pact: conflict gathers around you. Hostile encounters escalate more readily while Boethiah's edge is held.,
Boethiah,Price -- Devoted (Tier 2),21,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Price_Daedric_Boethiah_Devoted,Price description,Quiet,Narrator,140,200,131,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: trust frays. Followers and allies are harder to keep, and the world meets your strength with sharper resistance.",
Boethiah,Price -- Champion (Tier 3),22,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Price_Daedric_Boethiah_Champion,Price description,Quiet,Narrator,140,200,160,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: you are a standing trial. Bonds of loyalty strain hardest now, and few alliances outlast the proving Boethiah demands of all who stand near you.",
Boethiah,Tier-up -- Seeker,30,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Notif_Daedric_Boethiah_SeekerEntry,Notification,Noted,Narrator,60,80,39,,HUD corner notification. One per save.,Boethiah counts you a Seeker of trials.,
Boethiah,Tier-up -- Devoted,31,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Notif_Daedric_Boethiah_DevotedEntry,Notification,Marked,Narrator,60,80,36,,HUD corner notification. One per save.,Boethiah counts you proven. Devoted.,
Boethiah,Tier-down (lapse),32,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Notif_Daedric_Boethiah_Lapse,Notification,Noted,Narrator,60,80,48,,HUD corner notification. One per direction per save.,Boethiah's regard is thinning. The pact weakens.,
Boethiah,Champion recognition (MessageBox),33,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Msg_Daedric_Boethiah_ChampionEntry,MessageBox,Marked,God-voice,280,500,19+180,,MessageBox. One-time on first Champion tier.,"Title: ""Boethiah's Champion"" Body: ""You did not survive the trials. You won them, and went looking for more. That is the whole of my creed. You are proven, Champion -- and proven things are never left in peace. Good.""",
Boethiah,Commitment / pact (the gate clears),40,"Boethiah (Daedric path): Trial-voiced, sharp, contemptuous of weakness; speaks of strength proven and the unworthy overthrown. The same Prince as the Dunmer-native Reclamation, but on the global path the pact is taken against one's own people: the voice is identical, the social ground is not.",PDV_Msg_Daedric_Boethiah_Commitment,MessageBox,Marked,God-voice,280,500,15+221,,MessageBox. Fires once when the commitment gate clears.,"Title: ""Boethiah's Pact"" Body: ""Three times you have proven you understand me -- the trial taken, the unworthy pulled down, strength shown without apology. The pact is open. Take my edge, and pay its cost: the world will test you as hard as you test it.""",
