"Race","PathModeLayer","Signal","VanillaHook","QuestFaction","CostClass","RewardLayer","Cadence","AntiFarmRule","SurvivalOverlap","CompatibilityNotes","RequiresCustomWork","Risk","SourceNotes"
"Nord","Broad Old Ways / Nine Divines","Honorable hostile combat","Kill Actor hostile humanoid classification routed through ActionRouter","No","A","Baseline blessing","Daily capped","Clamp per day and require hostile classification","Low","Build on Phase 3 kill-event path; avoid follower attribution","No","Low","Combat-facing broad drift shared across Shor, Tsun, Stuhn, Talos lanes"
"Nord","Kyne / Kynareth lane","Open-sky living and outdoor rest","Sleep outdoors or wilderness-rest proxy","No","B","Contextual favor","Repeatable with cooldown","One credit per day; suppress immediate repeats","High","Useful future Survival overlap field; do not require Survival Mode","Maybe","Medium","Matches Kyne/Kynareth natural-living lane"
"Nord","Talos / Ysmir lane","Talos-ban defiance","Civil War stages, Thalmor resistance quests, shrine concealment/protection flags where available","Yes","B","Religious privilege","One-time","Only major acts and staged state changes count","Low","Quest-stage driven where possible; avoid ambient politics simulation","Maybe","Medium","Quest choices should outweigh ambient drift"
"Nord","Kyne / Akatosh / dragon-order contact","Greybeard and Thu'um milestones","Main quest / Greybeards quest stages plus shout-use support if later needed","Yes","B","Religious privilege","One-time","Quest milestones only; ordinary shout spam does not stack here","Low","Keep everyday shout use separate from milestone weighting","No","Low","Strong weight to Kyne/Kynareth; some Akatosh touch"
"Nord","Shor / Tsun / Stuhn lane","Warrior-society and honorable-trial content","Companions membership, Sovngarde/Tsun stages, explicit trial resolutions","Yes","A","Baseline blessing","One-time","Only named milestones; no generic radiant farming","Low","Can remain quest-stage heavy until broader combat taxonomy exists","No","Low","Directly reflects heavy Nordic quest signals"
"Nord","Mara / hearth lane","Household, marriage, hold defense, community restoration","Marriage quest state, home ownership, major hold/community restoration stages","Yes","B","Contextual favor","One-time","One reward per distinct milestone","Medium","Home/hold content may overlap Hearthfire and city-rebuild mods later","No","Medium","Supports Old Ways Mara and Imperial Mara readings"
"Imperial","Broad civic Divine field","Civic order and lawful public observance","Legion membership, city civic quests, public shrine use if later needed","Yes","B","Baseline blessing","State-based","Use faction/quest state, not repeat shrine spam","Low","Keep generic shrine visits low-value unless attached to broader state","Maybe","Medium","Broad Imperial devotion is civic and public"
"Imperial","Talos defiance lane","Hidden shrine use and worshipper protection","Talos shrine activation, protection/concealment quest choices, anti-Thalmor resolutions","Yes","A","Religious privilege","One-time","Major acts only; no farmable shrine loop","Low","Feeds ConcordatStanding and Talos accessibility gate","No","Low","Clearest explicit Talos signal in the file"
"Imperial","Concordat compliance lane","Reporting or enabling Talos suppression","Report/prosecute worshippers, Legion/Thalmor-aligned resolutions, escort/prisoner state","Yes","A","Neglect effect","One-time","State changes only; no repeated bounty-style grind","Low","Should reweight ConcordatStanding rather than create a separate devotion pool","No","Low","Compliance must have real theological cost"
"Imperial","Arkay lane","Burial order and anti-necromancy","Hall of the Dead, anti-necromancer quest stages, burial-duty outcomes","Yes","A","Baseline blessing","One-time","Quest milestones only; no corpse-loot exploitation","Low","Can later connect to undead kill taxonomy but should begin with named content","No","Low","Arkay is one of the clearest non-political Imperial lanes"
