"formid","source_plugin","editor_id","quest_name","classification","stage_count","journal_stage_count","completion_stages","objective_count","evidence_summary","notes"
"Skyrim.esm:063EE7","Skyrim.esm","DialogueRiftenGrandPlazaScene25","Grand Plaza Scene 25","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EE9","Skyrim.esm","DialogueRiftenGrandPlazaScene26","Grand Plaza Scene 26","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EEB","Skyrim.esm","DialogueRiftenGrandPlazaScene27","Grand Plaza Scene 27","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EEE","Skyrim.esm","DialogueRiftenGrandPlazaScene28","Grand Plaza Scene 28","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EF0","Skyrim.esm","DialogueRiftenGrandPlazaScene29","Grand Plaza Scene 29","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EF2","Skyrim.esm","DialogueRiftenGrandPlazaScene30","Grand Plaza Scene 30","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EF4","Skyrim.esm","DialogueRiftenGrandPlazaScene31","Grand Plaza Scene 31","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EF6","Skyrim.esm","DialogueRiftenGrandPlazaScene32","Grand Plaza Scene 32","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EF8","Skyrim.esm","DialogueRiftenGrandPlazaScene33","Grand Plaza Scene 33","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EFA","Skyrim.esm","DialogueRiftenGrandPlazaScene34","Grand Plaza Scene 34","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EFC","Skyrim.esm","DialogueRiftenGrandPlazaScene35","Grand Plaza Scene 35","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063EFE","Skyrim.esm","DialogueRiftenGrandPlazaScene36","Grand Plaza Scene 36","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063F00","Skyrim.esm","DialogueRiftenGrandPlazaScene37","Grand Plaza Scene 37","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063F02","Skyrim.esm","DialogueRiftenGrandPlazaScene38","Grand Plaza Scene 38","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063F05","Skyrim.esm","DialogueRiftenGrandPlazaScene39","Grand Plaza Scene 39","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
"Skyrim.esm:063F07","Skyrim.esm","DialogueRiftenGrandPlazaScene40","Grand Plaza Scene 40","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0",""
