separator,mod,plugin,plugin_path,input_id,total_records,selected_signature_counts,scan_verdict,scan_error
--- Alternate Perspective ---,Alternate Perspective - Kids in Nirn Refined,KiNRefined_AlternatePerspective.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Alternate Perspective - Kids in Nirn Refined\KiNRefined_AlternatePerspective.esp,06766a8db3d9c4b2,1,,OUTSIDE-SELECTED-SIGNATURES,
--- Alternate Perspective ---,Alternate Perspective - NPC replacer,ARA_AlternatePerspective NPC replacer.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Alternate Perspective - NPC replacer\ARA_AlternatePerspective NPC replacer.esp,a319dee35d1439e5,8,,OUTSIDE-SELECTED-SIGNATURES,
--- Alternate Perspective ---,Alternate Perspective - Realistic RS Children,realistic_rs_children_alternate_perspective_patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Alternate Perspective - Realistic RS Children\realistic_rs_children_alternate_perspective_patch.esp,c4a63e11c966955e,1,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,Amon NAT III Esp Fix.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\Amon NAT III Esp Fix.esp,d5122fa074ea8b25,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,Amon Night Eye ENB Fix.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\Amon Night Eye ENB Fix.esp,f22835fea0810766,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,Authoria - Berserkyr ENB.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\Authoria - Berserkyr ENB.esp,0ebe104db6c30dd6,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,Authoria - RUDY ENB.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\Authoria - RUDY ENB.esp,24c8723a1d8703b7,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,CompleteControllerSetup.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\CompleteControllerSetup.esl,9a748110ab9258f3,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,Gamepad++.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\Gamepad++.esp,7a395ca5ad4cbf2a,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,madEngagingCombat.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\madEngagingCombat.esp,fd6256c2c3c165a0,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,RaceCompatibility.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\RaceCompatibility.esm,81fe72895eeed5ab,47,FLST:2|KYWD:10,SIGNAL-CANDIDATE,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,Requiem Lite.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\Requiem Lite.esp,52bae99889a7ef4d,0,,OUTSIDE-SELECTED-SIGNATURES,
--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,SlipOffSlopes.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\SlipOffSlopes.esp,afc98bd2c25f31a2,0,,OUTSIDE-SELECTED-SIGNATURES,
--- Vel'dun UI ---,Vel'dun UI,UntarnishedUI_Subtitle.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Vel'dun UI\UntarnishedUI_Subtitle.esp,df994abd9a1a10f8,0,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Combat,BFCO - MCO - Diverse NPC Movesets,UltimateEbonyWarrior.esp,D:\Wabbajack\modlists\ARR 2.5\mods\BFCO - MCO - Diverse NPC Movesets\UltimateEbonyWarrior.esp,4993cbf86c81a7fb,42,KYWD:7|PERK:2|SPEL:13,SIGNAL-CANDIDATE,
Animations - Combat,Smooth Moveset - OAR,Smooth Moveset.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Smooth Moveset - OAR\Smooth Moveset.esp,713e867485ed508c,50,KYWD:9|SPEL:19,SIGNAL-CANDIDATE,
