editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,protect_the_weak,Mara,+,m,small,"cross-gen candidate: protect_the_weak(m) from the Mara Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,protect_the_weak,Kynareth,+,m,small,"cross-gen candidate: protect_the_weak(m) from the Kynareth Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,prove_by_struggle,Talos,+,m,small,"cross-gen candidate: prove_by_struggle(S) from the Talos Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,prove_by_struggle,Kyne,+,m,small,"cross-gen candidate: prove_by_struggle(S) from the Kyne Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,defend_kin_home,Shor,+,m,small,"cross-gen candidate: defend_kin_home(S) from the Shor Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,protect_the_weak,Stuhn,+,m,small,"cross-gen candidate: protect_the_weak(S) from the Stuhn Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,defend_kin_home,Y'ffre,+,m,small,"cross-gen candidate: defend_kin_home(m) from the Y'ffre Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,prove_by_struggle,Baan Dar,+,m,small,"cross-gen candidate: prove_by_struggle(m) from the Baan Dar Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,protect_the_weak,Khenarthi,+,m,small,"cross-gen candidate: protect_the_weak(S) from the Khenarthi Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,prove_by_struggle,HoonDing,+,S,small,"cross-gen candidate: prove_by_struggle(C) from the HoonDing Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,defend_kin_home,The Hist,+,S,small,"cross-gen candidate: defend_kin_home(C) from the The Hist Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,prove_by_struggle,Boethiah,+,S,small,"cross-gen candidate: prove_by_struggle(C) from the Boethiah Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,protect_the_weak,Molag Bal,-,m,small,"cross-gen candidate: protect_the_weak(m) from the Molag Bal Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:2702EE
DBM_EchosOfMadness,Echoes of Madness,100,Removed the curse and restored the Eye of Camlorn,heal_comfort,Mara,+,S,small,"cross-gen candidate: heal_comfort(C) from the Mara Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:4E0D3F
DBM_EchosOfMadness,Echoes of Madness,100,Removed the curse and restored the Eye of Camlorn,heal_comfort,Dibella,+,m,small,"cross-gen candidate: heal_comfort(S) from the Dibella Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:4E0D3F
DBM_EchosOfMadness,Echoes of Madness,100,Removed the curse and restored the Eye of Camlorn,heal_comfort,Kynareth,+,m,small,"cross-gen candidate: heal_comfort(m) from the Kynareth Part B profile, stepped down; REVIEW before promotion",LegacyoftheDragonborn.esm:4E0D3F
