editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,"destroy_reject_daedra:malacath,protect_the_weak,defend_kin_home,prove_by_struggle",Trinimac,+,C,milestone,"T17 direct raw-file read: s350 completes the Trial after Tulrin Deathweaver is defeated, his surface war thwarted, and Neb-Crescen secured.",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,"destroy_reject_daedra:malacath,protect_the_weak,defend_kin_home,prove_by_struggle",Malacath,-,C,milestone,"T17 primary ruling: the named Trinimac trial defeats Deathweaver's Mauloch-aligned project and prevents the war it sought.",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,"destroy_reject_daedra:malacath,protect_the_weak,defend_kin_home,prove_by_struggle",Stendarr,+,m,small,"T17 primary ruling: the final result protects the intended surface victims and rejects the hostile cult project.",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,"destroy_reject_daedra:malacath,protect_the_weak,defend_kin_home,prove_by_struggle",Syrabane,+,m,small,"T17 primary ruling: the trial rejects an invading Daedric-aligned threat within an elven sacred complex.",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,"destroy_reject_daedra:malacath,protect_the_weak,defend_kin_home,prove_by_struggle",Tsun,+,S,small,"T17 cross-generation keep: the named trial culminates in direct struggle against Deathweaver and prevents his war.",LegacyoftheDragonborn.esm:2702EE
DBM_Excavation03A,Trial of Trinimac,350,Defeated Tulrin Deathweaver and prevented his war on the surface,"destroy_reject_daedra:malacath,protect_the_weak,defend_kin_home,prove_by_struggle",Auri-El,+,m,small,"T17 cross-generation keep: the result restores an orthodox elven sacred complex and defeats its Mauloch-aligned corruption.",LegacyoftheDragonborn.esm:2702EE
DBM_EchosOfMadness,Echoes of Madness,100,Removed the curse and restored the Eye of Camlorn,"destroy_reject_daedra:sheogorath,heal_comfort",Sheogorath,-,C,milestone,"T17 direct raw-file read: s100 completes after the curse is removed and the Eye of Camlorn restored, ending its influence.",LegacyoftheDragonborn.esm:4E0D3F
DBM_EchosOfMadness,Echoes of Madness,100,Removed the curse and restored the Eye of Camlorn,"destroy_reject_daedra:sheogorath,heal_comfort",Stendarr,+,S,milestone,"T17 primary ruling: the player ends a named Daedric curse and its harmful influence.",LegacyoftheDragonborn.esm:4E0D3F
DBM_EchosOfMadness,Echoes of Madness,100,Removed the curse and restored the Eye of Camlorn,"destroy_reject_daedra:sheogorath,heal_comfort",Syrabane,+,m,small,"T17 primary ruling: protective magic restores the cursed amulet and releases its victims from the Madgod's influence.",LegacyoftheDragonborn.esm:4E0D3F
DBM_MuchAdoAboutSnowElves,Much Ado About Snow Elves,398,Brought peace to a hostile Snow Elf ghost,"honor_the_dead,mercy_spare",Auri-El,+,S,milestone,"T17 direct event-log read: s398 records the player bringing peace to a hostile Snow Elf ghost; RUNTIME-VERIFY route and finality.",LegacyoftheDragonborn.esm:5C7E75
DBM_MuchAdoAboutSnowElves,Much Ado About Snow Elves,398,Brought peace to a hostile Snow Elf ghost,"honor_the_dead,mercy_spare",Arkay,+,S,milestone,"T17 primary ruling: the explicit result gives a restless dead spirit peace rather than merely destroying it; RUNTIME-VERIFY.",LegacyoftheDragonborn.esm:5C7E75
DBM_MuchAdoAboutSnowElves,Much Ado About Snow Elves,398,Brought peace to a hostile Snow Elf ghost,"honor_the_dead,mercy_spare",Xarxes,+,m,small,"T17 primary ruling: the dead is an ancestral Snow Elf in an elven historical arc; RUNTIME-VERIFY.",LegacyoftheDragonborn.esm:5C7E75
