"Prince","Tier","Slot","Current Effect","Budget Band","Rationale","Discussion Flag"
"Boethiah","Seeker","Boon","One-Handed +10","skill boon","Makes the pact a direct-combat proving path and keeps the cost social instead of build-breaking.",""
"Boethiah","Seeker","Price","Speech -8","skill/social price","Makes the pact a direct-combat proving path and keeps the cost social instead of build-breaking.",""
"Boethiah","Devoted","Boon","One-Handed +15","skill boon","Makes the pact a direct-combat proving path and keeps the cost social instead of build-breaking.",""
"Boethiah","Devoted","Price","Speech -12","skill/social price","Makes the pact a direct-combat proving path and keeps the cost social instead of build-breaking.",""
"Boethiah","Champion","Boon","One-Handed +20","skill boon","Makes the pact a direct-combat proving path and keeps the cost social instead of build-breaking.",""
"Boethiah","Champion","Price","Speech -15","skill/social price","Makes the pact a direct-combat proving path and keeps the cost social instead of build-breaking.",""
"Azura","Seeker","Boon","Magic resistance +10%","regen/resist boon","Moves Azura away from the repeated magicka-regen shell and into a clearer warded-foresight identity.",""
"Azura","Seeker","Price","Stamina regeneration -5%","survival/resource price","Moves Azura away from the repeated magicka-regen shell and into a clearer warded-foresight identity.",""
"Azura","Devoted","Boon","Magic resistance +15%","regen/resist boon","Moves Azura away from the repeated magicka-regen shell and into a clearer warded-foresight identity.",""
"Azura","Devoted","Price","Stamina regeneration -10%","survival/resource price","Moves Azura away from the repeated magicka-regen shell and into a clearer warded-foresight identity.",""
"Azura","Champion","Boon","Magic resistance +20%","regen/resist boon","Moves Azura away from the repeated magicka-regen shell and into a clearer warded-foresight identity.",""
"Azura","Champion","Price","Stamina regeneration -15%","survival/resource price","Moves Azura away from the repeated magicka-regen shell and into a clearer warded-foresight identity.",""
"Vaermina","Seeker","Boon","Illusion +10","skill boon","Keeps dream manipulation central while reducing the old health-regen penalty from punitive to felt.",""
"Vaermina","Seeker","Price","Health regeneration -5%","survival/resource price","Keeps dream manipulation central while reducing the old health-regen penalty from punitive to felt.",""
"Vaermina","Devoted","Boon","Illusion +15","skill boon","Keeps dream manipulation central while reducing the old health-regen penalty from punitive to felt.",""
"Vaermina","Devoted","Price","Health regeneration -10%","survival/resource price","Keeps dream manipulation central while reducing the old health-regen penalty from punitive to felt.",""
"Vaermina","Champion","Boon","Illusion +20","skill boon","Keeps dream manipulation central while reducing the old health-regen penalty from punitive to felt.",""
"Vaermina","Champion","Price","Health regeneration -15%","survival/resource price","Keeps dream manipulation central while reducing the old health-regen penalty from punitive to felt.",""
"Meridia","Seeker","Boon","Restoration +10","skill boon","Replaces narrow disease resistance with a broader anti-corruption Restoration lane.",""
