editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,"deceit,exploit_cheat",Nocturnal,+,m,small,"T17 direct raw-file read: s30 completes after the contraband is returned to Alammu Nethre and the smuggling operation continues.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,"deceit,exploit_cheat",Rajhin,+,S,milestone,"T17 primary ruling: knowingly returning seized contraband preserves a covert smuggling operation.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,"deceit,exploit_cheat",Baan Dar,+,S,milestone,"T17 primary ruling: the player sides with a clandestine smuggler against lawful control.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,"deceit,exploit_cheat",Clavicus Vile,+,m,small,"T17 primary ruling: the player enables a self-serving illicit arrangement through concealment.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,"deceit,exploit_cheat",Z'en,-,S,milestone,"T17 primary ruling: the smuggling resolution evades lawful exchange and exploits the trade boundary.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,"deceit,exploit_cheat",Zenithar,-,S,small,"T17 cross-generation keep: knowingly sustaining the contraband ring undermines lawful trade.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,30,Returned the contraband to Alammu and sustained the smuggling ring,"deceit,exploit_cheat",Mephala,+,S,small,"T17 cross-generation keep: the player preserves a concealed criminal web rather than exposing it.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Stendarr,+,S,milestone,"T17 direct raw-file read: s50 completes after Alammu is reported to the guards, arrested, and the smuggling ring ended.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Akatosh,+,m,small,"T17 primary ruling: the wrongdoer is delivered to civic authority and public order restored.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Zenithar,+,m,small,"T17 primary ruling: ending the contraband ring protects lawful trade.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Z'en,+,S,milestone,"T17 primary ruling: the arrest provides proportionate redress for an illicit trading operation.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Nocturnal,-,m,small,"T17 primary ruling: a covert criminal operation is exposed to the authorities.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Julianos,+,m,small,"T17 cross-generation keep: the direct outcome restores law through evidence and arrest.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Stuhn,+,m,small,"T17 cross-generation keep: the smuggler is brought to lawful justice rather than killed.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,50,Reported Alammu and ended the smuggling ring through her arrest,"uphold_law_justice,expose_betray_secret",Mephala,-,m,small,"T17 cross-generation keep: the player exposes a covert operation and its hidden principal.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,150,Opened the contraband and kept the skooma,"theft_burglary,exploit_cheat",Nocturnal,+,S,milestone,"T17 direct raw-file read: s150 fails the quest after the player opens the contraband and keeps its skooma.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,150,Opened the contraband and kept the skooma,"theft_burglary,exploit_cheat",Rajhin,+,S,milestone,"T17 primary ruling: the player takes the concealed goods for personal gain.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,150,Opened the contraband and kept the skooma,"theft_burglary,exploit_cheat",Zenithar,-,S,milestone,"T17 primary ruling: the player appropriates illicit goods rather than returning or lawfully reporting them.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,150,Opened the contraband and kept the skooma,"theft_burglary,exploit_cheat",Z'en,-,S,milestone,"T17 primary ruling: keeping the smuggled goods is self-serving exploitation without proportionate exchange.",BSHeartland.esm:003A58
CYRBrumaMS01,Alammu's Veil,150,Opened the contraband and kept the skooma,"theft_burglary,exploit_cheat",Mephala,+,m,small,"T17 cross-generation keep: the player covertly appropriates the concealed goods for personal gain.",BSHeartland.esm:003A58
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Mephala,+,C,milestone,"T17 direct raw-file read: s100 records that the player led Renod to the bandits and their leader killed him.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Sithis,+,S,milestone,"T17 primary ruling: the outcome is a deliberately arranged death by betrayal.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Boethiah,+,m,small,"T17 primary ruling: the player uses deceit to overthrow an unwanted dependent through a violent proxy.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Stendarr,-,C,milestone,"T17 primary ruling: a trusting and vulnerable man is deliberately delivered to his killers.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Mara,-,S,milestone,"T17 primary ruling: the player betrays a vulnerable person into a fatal ambush.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Malacath,-,C,milestone,"T17 primary ruling: calculated betrayal and proxy murder violate the Code's bond and honorable-strength domains.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Stuhn,-,S,milestone,"T17 primary ruling: the player betrays rather than grants mercy to a yielding dependent.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Talos,-,S,milestone,"T17 primary ruling: cold-blooded treachery is the inverse of the hero-god's honorable struggle.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Shor,-,S,milestone,"T17 primary ruling: proxy murder by deception violates Shor's direct anti-treachery profile.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Leki,-,S,milestone,"T17 primary ruling: the ambush is the opposite of honorable face-to-face contest.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Khenarthi,-,m,small,"T17 cross-generation keep: a vulnerable traveller is deliberately led to his death on the road.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",HoonDing,-,m,small,"T17 cross-generation keep: proxy murder by ambush is the cowardly inverse of making way through direct struggle.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,100,Led Renod into a bandit ambush where he was killed,"murder_treacherous,break_oath_betray,deceit,kill_the_helpless",Molag Bal,+,S,small,"T17 cross-generation keep: the victim is helplessly delivered into domination and death.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,160,Returned Renod's lute and accepted the agreed reward,"aesthetic_devotion,honest_labor_trade",Dibella,+,S,milestone,"T17 direct raw-file read: s160 completes after the lute is returned, the nuisance stopped, and the player takes the reward.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,160,Returned Renod's lute and accepted the agreed reward,"aesthetic_devotion,honest_labor_trade",Y'ffre,+,S,milestone,"T17 primary ruling: the quest restores a performer's instrument and song without harming him.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,160,Returned Renod's lute and accepted the agreed reward,"aesthetic_devotion,honest_labor_trade",Zenithar,+,S,milestone,"T17 primary ruling: the player completes the requested work and accepts the agreed payment.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,160,Returned Renod's lute and accepted the agreed reward,"aesthetic_devotion,honest_labor_trade",Z'en,+,S,small,"T17 cross-generation keep: the result completes an agreed service for proportionate payment.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,170,Returned Renod's lute and refused payment because Reln-Tei needed it more,"aesthetic_devotion,charity",Mara,+,C,milestone,"T17 direct raw-file read: s170 completes after the lute is returned and the player refuses Reln-Tei's gold because he needs it more.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,170,Returned Renod's lute and refused payment because Reln-Tei needed it more,"aesthetic_devotion,charity",Dibella,+,S,milestone,"T17 primary ruling: the performer and instrument are restored through a generous resolution.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,170,Returned Renod's lute and refused payment because Reln-Tei needed it more,"aesthetic_devotion,charity",Y'ffre,+,S,milestone,"T17 primary ruling: the song and its performer are preserved without taking the needed gold.",BSHeartland.esm:067841
CYRBrumaMS04,The Screeching Songman,170,Returned Renod's lute and refused payment because Reln-Tei needed it more,"aesthetic_devotion,charity",Stendarr,+,m,small,"T17 primary ruling: the player yields payment to someone explicitly said to need it more.",BSHeartland.esm:067841
CYRFortPalePassMS01New,A Stormcloak in Chains,600,Freed Bjarni from Imperial custody after the jailbreak,"defy_tyranny_talos,mercy_spare",Talos,+,C,milestone,"T17 direct raw-file read: s600 completes after the player frees Stormcloak prisoner Bjarni; the jailbreak culminates in Legate Varro's death.",BSHeartland.esm:0CE0F1
CYRFortPalePassMS01New,A Stormcloak in Chains,600,Freed Bjarni from Imperial custody after the jailbreak,"defy_tyranny_talos,mercy_spare",Stuhn,+,S,milestone,"T17 primary ruling: the player releases a captive rather than exploiting his imprisonment.",BSHeartland.esm:0CE0F1
CYRFortPalePassMS01New,A Stormcloak in Chains,600,Freed Bjarni from Imperial custody after the jailbreak,"defy_tyranny_talos,mercy_spare",Akatosh,-,S,milestone,"T17 primary ruling: the chosen route violently rejects Imperial custody and lawful authority.",BSHeartland.esm:0CE0F1
CYRFortPalePassMS01New,A Stormcloak in Chains,600,Freed Bjarni from Imperial custody after the jailbreak,"defy_tyranny_talos,mercy_spare",Stendarr,+,S,small,"T17 cross-generation keep: the player chooses to release an imprisoned man from hostile custody.",BSHeartland.esm:0CE0F1
CYRFortPalePassMS01New,A Stormcloak in Chains,600,Freed Bjarni from Imperial custody after the jailbreak,"defy_tyranny_talos,mercy_spare",Mara,+,m,small,"T17 cross-generation keep: the route is defined by mercy to the captive despite its violent cost.",BSHeartland.esm:0CE0F1
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Stendarr,+,S,milestone,"T17 direct raw-file read: s120 completes after the artifacts are recovered and Adius arrests their thief.",BSHeartland.esm:086207
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Akatosh,+,m,small,"T17 primary ruling: stolen civic heritage is restored through lawful arrest.",BSHeartland.esm:086207
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Zenithar,+,m,small,"T17 primary ruling: stolen property is returned and its thief brought to justice.",BSHeartland.esm:086207
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Z'en,+,S,milestone,"T17 primary ruling: the outcome is proportionate redress for stolen goods.",BSHeartland.esm:086207
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Nocturnal,-,m,small,"T17 primary ruling: a thief is exposed and arrested and the stolen artifacts recovered.",BSHeartland.esm:086207
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Alkosh,+,m,small,"T17 primary ruling: lawful order is restored around stolen Akaviri heritage in Cyrodiil.",BSHeartland.esm:086207
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Julianos,+,m,small,"T17 cross-generation keep: evidence, recovery, and arrest restore lawful custody of historical artifacts.",BSHeartland.esm:086207
CYRBrumaMS07,Absent Antiquity,120,Recovered the stolen Akaviri artifacts and helped arrest the thief,"uphold_law_justice",Stuhn,+,m,small,"T17 cross-generation keep: the thief is arrested and the wrong redressed without extrajudicial killing.",BSHeartland.esm:086207
