formid,source_plugin,editor_id,quest_name,classification,stage_count,journal_stage_count,completion_stages,objective_count,evidence_summary,notes
Dragonborn.esm:016E02,Dragonborn.esm,DLC2Init,Init quest,structural-silent,2,0,,0,direct_mcp_review=ok; source=Dragonborn.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dragonborn.esm:016E1F,Dragonborn.esm,DLC2MQ04,The Path of Knowledge,candidate-proposed,48,3,550,4,direct_mcp_review=ok; source=Dragonborn.esm; stages=48; journal_stages=10|50|550; completion_stages=550; objectives=4,Direct one-shot player act proposed for owner review.
Dragonborn.esm:016E21,Dragonborn.esm,DLC2BookDungeonController,(absent),structural-silent,0,0,,0,direct_mcp_review=ok; source=Dragonborn.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dragonborn.esm:0173BE,Dragonborn.esm,DLC2dunNchardakTracking,(absent),structural-silent,6,0,,0,direct_mcp_review=ok; source=Dragonborn.esm; stages=6; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dragonborn.esm:017962,Dragonborn.esm,DLC2ExpSpiderQuest,(absent),structural-silent,2,0,,0,direct_mcp_review=ok; source=Dragonborn.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dragonborn.esm:0179D7,Dragonborn.esm,DLC2MQ06,At the Summit of Apocrypha,candidate-and-unsafe-existing,23,4,550,5,direct_mcp_review=ok; source=Dragonborn.esm; stages=23; journal_stages=10|200|400|550; completion_stages=550; objectives=5,"unsafe_existing=serve_a_daedra attributes Mora's aid to the player; direct s550 supports combat, struggle, and protecting Solstheim."
Dragonborn.esm:0179DE,Dragonborn.esm,DLC2MQ05,The Gardener of Men,candidate-and-unsafe-existing,31,3,1000,4,direct_mcp_review=ok; source=Dragonborn.esm; stages=31; journal_stages=10|340|1000; completion_stages=1000; objectives=4,unsafe_existing=ritual_sacrifice and honor_the_dead attribute Storn's and Mora's acts to the player; retain player-facilitated Daedric bargain/knowledge only.
Dragonborn.esm:0179E2,Dragonborn.esm,DLC2TameDragon,Tame Dragon controller,structural-silent,0,0,,0,direct_mcp_review=ok; source=Dragonborn.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dragonborn.esm:017E85,Dragonborn.esm,DLC2DialogueTelMithryn,(absent),structural-silent,1,0,,0,direct_mcp_review=ok; source=Dragonborn.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dragonborn.esm:017E8D,Dragonborn.esm,DLC2TT1,Reluctant Steward,candidate-proposed,11,7,500,4,direct_mcp_review=ok; source=Dragonborn.esm; stages=11; journal_stages=150|170|200|210|300|310|400; completion_stages=500; objectives=4,Direct one-shot player act proposed for owner review.
Dragonborn.esm:017F8E,Dragonborn.esm,DLC2MQ01,Dragonborn,unsafe-existing-mapping,9,6,200,6,direct_mcp_review=ok; source=Dragonborn.esm; stages=9; journal_stages=5|7|10|20|30|200; completion_stages=200; objectives=6,"unsafe_existing=s200 law/struggle rows describe investigation and travel, not a discrete moral player act; recommend silent."
Dragonborn.esm:017F8F,Dragonborn.esm,DLC2MQ02,The Temple of Miraak,candidate-and-unsafe-existing,11,7,200,8,direct_mcp_review=ok; source=Dragonborn.esm; stages=11; journal_stages=5|10|25|30|40|60|200; completion_stages=200; objectives=8,unsafe_existing=s200 law/struggle are unsupported; direct terminal supports forbidden knowledge and disciplined study only.
Dragonborn.esm:017F90,Dragonborn.esm,DLC2MQ03,The Fate of the Skaal,candidate-proposed,9,5,200,7,direct_mcp_review=ok; source=Dragonborn.esm; stages=9; journal_stages=10|30|50|60|70; completion_stages=200; objectives=7,Direct one-shot player act proposed for owner review.
