editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
CR04,Hired Muscle,20,Used violence to intimidate a target into paying the Companions.,coercion_extortion,Update.esm direct QUST plus official QF decompile: s20 is the successful intimidation outcome.,Skyrim.esm:025231,A,Owner-approved canonical tag 2026-08-12.
CR07,Escaped Criminal,20,Tracked down and killed an escaped criminal.,"kill_honorable_combat,uphold_law_justice",Update.esm direct QUST read: s20 journal states the player killed an escaped criminal; repeatable eligible under the hard daily cap.,Skyrim.esm:025250,A,Player-act journal evidence at the kill milestone; do not wait for the later report/cleanup stage.
CR08,Rescue Mission,25,Rescued a kidnapped victim and escorted them safely home.,"free_wrongfully_imprisoned,protect_the_weak",Update.esm direct QUST and QF: s25 is the successful rescued-and-escorted-home milestone; s50 is the victim-death failure.,Skyrim.esm:025251,A,Repeatable eligible under the hard daily cap.
MGR20,Fetch me that Book!,200,Recovered a requested book and returned it to Urag.,"disciplined_study,honest_labor_trade","Update.esm direct QUST plus QF: s200 completes the return objective, removes the book/note, pays the player, and stops. RUNTIME-VERIFY.",Skyrim.esm:028A24,B,RUNTIME-VERIFY the repeatable radiant return route.
MGRArniel03,Arniel's Endeavor,200,Completed Arniel's controlled experiment with the warped soul gem.,disciplined_study,Update.esm direct QUST: s40 records successfully altering the gem; s200 completes the assistance to Arniel's Dwarven research.,Skyrim.esm:06A097,A,"Controlled scholarly experiment, not an inferred forbidden-knowledge act."
MGRAppOnmund01,Onmund's Request,200,Recovered Onmund's sentimental amulet through an agreed exchange.,"friendship,honest_labor_trade",Update.esm direct QUST plus QF: Enthir exchanges the amulet for the recovered staff; s200 returns it to Onmund and raises the relationship.,Skyrim.esm:06BC33,A,No stolen-keepsake tag: the journal explicitly says Onmund sold the amulet.
Favor158,Dungeon Delving (Jarl - Caves),20,Recovered the Jarl's requested item and returned it.,"honest_labor_trade,civic_service",Update.esm direct QUST plus QF: s20 transfers the recovered item to the quest giver and completes the quest. RUNTIME-VERIFY.,Skyrim.esm:0940D0,B,RUNTIME-VERIFY the repeatable radiant return route; repetition is controlled by the daily cap.
TGFenceCaravan,Thieves Guild Caravan Fence Quest,200,Delivered Moon Sugar to Ri'saad and reported the completed deal to Tonilia.,contraband_trade,Update.esm direct QUST plus QF: s30 records delivery; s200 rewards the player and advances the fence handler. RUNTIME-VERIFY.,Skyrim.esm:0D8E40,B,RUNTIME-VERIFY the terminal report stage.
TGLarceny,Litany of Larceny,25,Sold the Queen Bee Statue to Delvin.,contraband_trade,Update.esm direct QUST plus official QF decompile: s25 removes the Queen Bee Statue and pays its special-sale reward. RUNTIME-VERIFY.,Skyrim.esm:04C6C2,B,"RUNTIME-VERIFY; fencing milestone, not a duplicate theft score."
TGLarceny,Litany of Larceny,35,Sold the Honningbrew Decanter to Delvin.,contraband_trade,Update.esm direct QUST plus official QF decompile: s35 removes the Honningbrew Decanter and pays its special-sale reward. RUNTIME-VERIFY.,Skyrim.esm:04C6C2,B,"RUNTIME-VERIFY; fencing milestone, not a duplicate theft score."
TGLarceny,Litany of Larceny,45,Sold the East Empire Shipping Map to Delvin.,contraband_trade,Update.esm direct QUST plus official QF decompile: s45 removes the East Empire Shipping Map and pays its special-sale reward. RUNTIME-VERIFY.,Skyrim.esm:04C6C2,B,"RUNTIME-VERIFY; fencing milestone, not a duplicate theft score."
TGLarceny,Litany of Larceny,55,Sold the Model Ship to Delvin.,contraband_trade,Update.esm direct QUST plus official QF decompile: s55 removes the Model Ship and pays its special-sale reward. RUNTIME-VERIFY.,Skyrim.esm:04C6C2,B,"RUNTIME-VERIFY; fencing milestone, not a duplicate theft score."
TGLarceny,Litany of Larceny,65,Sold the Dwemer Puzzle Cube to Delvin.,contraband_trade,Update.esm direct QUST plus official QF decompile: s65 removes the Dwemer Puzzle Cube and pays its special-sale reward. RUNTIME-VERIFY.,Skyrim.esm:04C6C2,B,"RUNTIME-VERIFY; fencing milestone, not a duplicate theft score."
TGLarceny,Litany of Larceny,75,Sold the Bust of the Gray Fox to Delvin.,contraband_trade,Update.esm direct QUST plus official QF decompile: s75 removes the Bust of the Gray Fox and pays its special-sale reward. RUNTIME-VERIFY.,Skyrim.esm:04C6C2,B,"RUNTIME-VERIFY; fencing milestone, not a duplicate theft score."
TGLarceny,Litany of Larceny,85,Sold the Left Eye of the Falmer to Delvin.,contraband_trade,Update.esm direct QUST plus official QF decompile: s85 removes the Left Eye of the Falmer and pays its special-sale reward. RUNTIME-VERIFY.,Skyrim.esm:04C6C2,B,"RUNTIME-VERIFY; fencing milestone, not a duplicate theft score."
CompanionsSingleCombatQuest,,150,Used magic against an opponent during an agreed single-combat trial.,exploit_cheat,Update.esm direct QUST/alias VMAD plus official alias-script decompile: player-cast magic sets s150; s200 also fires on bleedout or leaving and is unsafe. RUNTIME-VERIFY.,Skyrim.esm:0880EB,C,RUNTIME-VERIFY. Treats violating the single-combat constraint as cheating; do not map generic s200.
BYOHHouseBanditAttack2,,60,Freed a kidnapped spouse from bandit captivity.,"free_wrongfully_imprisoned,marriage_family,protect_the_weak","HearthFires.esm direct QUST plus official QF decompile: s60 unrestrains the spouse, completes all rescue objectives, and routes to cleanup.",HearthFires.esm:0008A8,A,Mutually exclusive spouse-release route 1 of 3.
BYOHHouseBanditAttack2,,70,Paid the ransom and freed a kidnapped spouse from bandit captivity.,"free_wrongfully_imprisoned,marriage_family,protect_the_weak","HearthFires.esm direct QUST plus official QF decompile: s70 removes the ransom gold, unrestrains the spouse, completes all rescue objectives, and routes to cleanup.",HearthFires.esm:0008A8,A,Mutually exclusive spouse-release route 2 of 3.
BYOHHouseBanditAttack2,,100,Rescued a kidnapped spouse from the bandit dungeon.,"free_wrongfully_imprisoned,marriage_family,protect_the_weak",HearthFires.esm direct QUST/INFO plus official QF/TIF decompile: spouse rescue dialogue sets s100; s100 releases the spouse and completes all objectives.,HearthFires.esm:0008A8,A,Mutually exclusive spouse-release route 3 of 3.
BYOHHouseBuilding,,150,Bought lumber for construction of a homestead.,honest_labor_trade,HearthFires.esm direct QUST plus official QF decompile: objective 100 is Buy lumber for building your house and s150 completes it. RUNTIME-VERIFY.,HearthFires.esm:00305D,B,RUNTIME-VERIFY; repeatable trade eligible under the hard daily cap.
Favor255,Thane of Hjaalmarch,25,Earned the title Thane of Hjaalmarch after serving the hold.,civic_service,"HearthFires.esm direct QUST plus official QF decompile: s25 awards the Thane relationship, weapon, and housecarl after the hold-service prerequisite.",Skyrim.esm:0A34CE,A,The title award is a one-shot civic-service milestone.
Favor256,Thane of the Pale,25,Earned the title Thane of the Pale after serving the hold.,civic_service,"HearthFires.esm direct QUST plus official QF decompile: s25 awards the Thane relationship, weapon, and housecarl after the hold-service prerequisite.",Skyrim.esm:0A34D4,A,The title award is a one-shot civic-service milestone.
Favor258,Thane of Falkreath,25,Earned the title Thane of Falkreath after serving the hold.,civic_service,"HearthFires.esm direct QUST plus official QF decompile: s25 awards the Thane relationship, weapon, and housecarl after the hold-service prerequisite.",Skyrim.esm:0A34DE,A,The title award is a one-shot civic-service milestone.
HousePurchase,,10,Purchased a lawful home in a Skyrim city.,honest_labor_trade,HearthFires.esm direct QUST plus official QF decompile: all five s10 fragment arms call PurchaseHouse for their respective city property. RUNTIME-VERIFY.,Skyrim.esm:0A7B33,B,RUNTIME-VERIFY. Shared s10 is semantically safe because every fragment arm is the same lawful-purchase act.
BYOHHouseFalkreath,,130,Built the foundation of Lakeview Manor.,build_homestead,"HearthFires.esm direct QUST plus official QF decompile: s130 completes objective 120, Use the Carpenter's Workbench to build the foundation of your house.",HearthFires.esm:00305E,A,Owner-approved canonical tag 2026-08-12.
BYOHHouseHjaalmarch,,130,Built the foundation of Windstad Manor.,build_homestead,"HearthFires.esm direct QUST plus official QF decompile: s130 completes objective 120, Use the Carpenter's Workbench to build the foundation of your house.",HearthFires.esm:00BE09,A,Owner-approved canonical tag 2026-08-12.
BYOHHousePale,,130,Built the foundation of Heljarchen Hall.,build_homestead,"HearthFires.esm direct QUST plus official QF decompile: s130 completes objective 120, Use the Carpenter's Workbench to build the foundation of your house.",HearthFires.esm:010BEE,A,Owner-approved canonical tag 2026-08-12.
