editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
MordGiveGold,Feed the Poor,10,Took up the guild's standing charge to hand something to any poor Skyrim citizen in need.,charity,"s10 obj ""Help The Poor People Of Skyrim"": ""Anyone I see who needs my help, I should now be able to give them something. In return, it is possible I might get a little luck, courtesy of the Gray Fox.""",TCBM.esp:0B921F,A,Defined mod quest; s10 is the only evidence-bearing stage and carries the giving act (terminal 20 has no text).
MordQuestGM,Taking Charge,10,Leaned on Maven Black-Briar to keep her in line and collected a regular cut from her.,exploit_cheat,"s10: ""Make sure Maven and everyone else knows who's boss! Go back to visit Maven regularly to check up on her and get your cut.""",TCBM.esp:20C5FA,A,Defined mod quest; coercive shakedown of a former patron read as exploit_cheat (vocabulary has no intimidation tag).
MordQuestGoodThief,Honor Among Thieves,40,Burgled Maven Black-Briar's manor and recovered the bag of gems she had taken from Riften's poor.,theft_burglary,"s40 obj ""Return the Bag of Gems to Bolli"": ""I have recovered the stolen gems from Maven's manor. I should take this to Bolli right away!""",TCBM.esp:08B900,A,Defined mod quest; burglary aimed at the corrupt patron rather than a victim.
MordQuestGoodThief,Honor Among Thieves,50,Returned the recovered gems to Bolli and relieved someone in desperate need.,"charity,protect_the_weak","s50: ""I have assisted someone who desperately needed help. I should continue on my other adventures until I get another request for aid.""",TCBM.esp:08B900,A,Defined mod quest; the giving half of the Bolli branch.
MordQuestGoodThief,Honor Among Thieves,80,Lifted the confidential papers back out of the Jarl of Windhelm's keeping for Suvaris Atheron.,theft_burglary,"s80 obj ""Return The Stolen Papers To Suvaris Atheron"": ""I have found the confidential papers. I should return them to Suvaris, who is most likely somewhere in the Gray Quarter.""",TCBM.esp:08B900,A,Defined mod quest; recovery theft against the Jarl on a Gray Quarter petitioner's behalf.
MordQuestGoodThief,Honor Among Thieves,90,Handed the stolen papers back to their rightful owner in the Gray Quarter.,protect_the_weak,"s90: ""I have returned the item to its rightful owner. I should wait for another request for help.""",TCBM.esp:08B900,A,Defined mod quest; the restitution half of the Suvaris branch.
MordQuestGoodThief,Honor Among Thieves,110,Took the withheld cure back from the Silver-Bloods in Markarth.,theft_burglary,"s110 obj ""Give The Cure To Cairine"": ""I have the cure! I should give it to Cairine!""",TCBM.esp:08B900,A,Defined mod quest; s110 and s120 carry identical text for the same acquisition - both rowed since the mod can land on either.
MordQuestGoodThief,Honor Among Thieves,120,Took the withheld cure back from the Silver-Bloods in Markarth.,theft_burglary,"s120 obj ""Give The Cure To Cairine"": ""I have the cure! I should give it to Cairine!""",TCBM.esp:08B900,A,Defined mod quest; duplicate of s110 with identical text - rowed separately because either stage can fire.
MordQuestGoodThief,Honor Among Thieves,130,Gave Cairine the cure and saved her life and the lives of others in the Warrens.,"heal_comfort,charity,protect_the_weak","s130: ""I have given Cairine the cure to her illness. It will take awhile for her to heal, but at least she will live now, as will others.""",TCBM.esp:08B900,A,Defined mod quest; the healing half of the Markarth branch.
MordQuestGoodThief,Honor Among Thieves,150,Recovered the necklace taken from Erdi's household in Solitude.,theft_burglary,"s150 obj ""Give The Necklace To Erdi"": ""I have the item. I should return it.""",TCBM.esp:08B900,A,Defined mod quest; acquisition half of the Solitude branch.
MordQuestGoodThief,Honor Among Thieves,160,Returned the necklace to Erdi its rightful owner.,protect_the_weak,"s160 obj ""Wait For Another Request For Help"": ""I have returned the item.""",TCBM.esp:08B900,A,Defined mod quest; restitution half of the Solitude branch.
MordQuestGoodThief,Honor Among Thieves,180,Broke into Black-Briar Lodge and came away with proof of Maven's betrayal of the Empire.,theft_burglary,"s180 obj ""Speak To Delvin"": ""I now have evidence of Maven's betrayal of the empire.""",TCBM.esp:08B900,A,Defined mod quest; burglary of the Black-Briar lodge for leverage.
MordQuestGoodThief,Honor Among Thieves,220,Used Maven's treason to cut the Guild free of her and pledged its take to Skyrim's poorest.,"expose_betray_secret,charity,protect_the_weak","s220 [COMPLETE]: ""I have freed the Thieves Guild from Maven's corrupting influence, and the Guild is now going to be helping the poorest people regularly with the money we steal.""",TCBM.esp:08B900,A,Defined mod quest; terminal stage of the good-thief line.
TCBM_TG02,TCBM TG02,10,Cut and hauled apiary logs for Aringoth to rebuild rather than burning his hives.,honest_labor_trade,"RUNTIME-VERIFY - s10 obj ""Gather apiary materials for Aringoth (<Global=TCBMTG02LogCount>/<Global=TCBMTG02LogReq> sawn logs)""; no journal text on any stage, tier B.",TCBM.esp:0630E4,B,Defined mod quest; the non-arson alternative to TG02's beehive burning. Terminal s200 has no text so the labour act is rowed at s10.
TG00,A Chance Arrangement,210,Walked away from Brynjolf's organisation once his Riften scheme was over rather than take up with it.,,"s210 [COMPLETE]: ""Brynjolf's scheme in Riften has ended and the promise of more coin has been made, but I'm washing my hands of his organisation, whatever it is.""",Skyrim.esm:021556,A,"Override; this stage is the mod's addition - vanilla ends only at s200, whose text is carried unchanged and is therefore skipped, as are the vanilla Madesi's-ring stages s10/s20. NEEDS-TAG: refuse_criminal_faction (declined to join a criminal organisation)"
TG03,Dampened Spirits,31,Warned Sabjorn to call off the tasting instead of letting the framing run its course.,mercy_spare,"RUNTIME-VERIFY - s31 obj ""(Optional) Warn Sabjorn to cancel the tasting""; objective only, no journal text, tier B.",Skyrim.esm:02154F,B,Override; this stage is the mod's addition - vanilla has no warn-the-mark objective. Opens the spare-Sabjorn branch.
