status,race,lane,deity,tier,spellEditorId,exists,filled,targetEdid,source,label
PASS,Altmer,Offer,Auri-El,T1,PDV_Bless_Altmer_AuriEl_T1,true,true,PDV_Bless_Altmer_AuriEl_T1,SyncAltmerRewardFamily,Auri-El
PASS,Altmer,Offer,Auri-El,T2,PDV_Bless_Altmer_AuriEl_T2,true,true,PDV_Bless_Altmer_AuriEl_T2,SyncAltmerRewardFamily,Auri-El
PASS,Altmer,Offer,Auri-El,T3,PDV_Bless_Altmer_AuriEl_T3,true,true,PDV_Bless_Altmer_AuriEl_T3,SyncAltmerRewardFamily,Auri-El
PASS,Altmer,Offer,Magnus,T1,PDV_Bless_Altmer_Magnus_T1,true,true,PDV_Bless_Altmer_Magnus_T1,SyncAltmerRewardFamily,Magnus
PASS,Altmer,Offer,Magnus,T2,PDV_Bless_Altmer_Magnus_T2,true,true,PDV_Bless_Altmer_Magnus_T2,SyncAltmerRewardFamily,Magnus
PASS,Altmer,Offer,Magnus,T3,PDV_Bless_Altmer_Magnus_T3,true,true,PDV_Bless_Altmer_Magnus_T3,SyncAltmerRewardFamily,Magnus
PASS,Altmer,Offer,PDV_Syrabane,T1,PDV_Bless_Altmer_Syrabane_T1,true,true,PDV_Bless_Altmer_Syrabane_T1,SyncAltmerRewardFamily,Syrabane
PASS,Altmer,Offer,PDV_Syrabane,T2,PDV_Bless_Altmer_Syrabane_T2,true,true,PDV_Bless_Altmer_Syrabane_T2,SyncAltmerRewardFamily,Syrabane
PASS,Altmer,Offer,PDV_Syrabane,T3,PDV_Bless_Altmer_Syrabane_T3,true,true,PDV_Bless_Altmer_Syrabane_T3,SyncAltmerRewardFamily,Syrabane
PASS,Altmer,Offer,PDV_Trinimac,T1,PDV_Bless_Altmer_Trinimac_T1,true,true,PDV_Bless_Altmer_Trinimac_T1,SyncAltmerRewardFamily,Trinimac
PASS,Altmer,Offer,PDV_Trinimac,T2,PDV_Bless_Altmer_Trinimac_T2,true,true,PDV_Bless_Altmer_Trinimac_T2,SyncAltmerRewardFamily,Trinimac
PASS,Altmer,Offer,PDV_Trinimac,T3,PDV_Bless_Altmer_Trinimac_T3,true,true,PDV_Bless_Altmer_Trinimac_T3,SyncAltmerRewardFamily,Trinimac
PASS,Altmer,Offer,Xarxes,T1,PDV_Bless_Altmer_Xarxes_T1,true,true,PDV_Bless_Altmer_Xarxes_T1,SyncAltmerRewardFamily,Xarxes
PASS,Altmer,Offer,Xarxes,T2,PDV_Bless_Altmer_Xarxes_T2,true,true,PDV_Bless_Altmer_Xarxes_T2,SyncAltmerRewardFamily,Xarxes
PASS,Altmer,Offer,Xarxes,T3,PDV_Bless_Altmer_Xarxes_T3,true,true,PDV_Bless_Altmer_Xarxes_T3,SyncAltmerRewardFamily,Xarxes
PASS,Argonian,Hist,Hist,Signature,PDV_Bless_Argonian_Hist_Signature,true,true,PDV_Bless_Argonian_Hist_Signature,SyncArgonianRewards,Argonian Hist Signature
PASS,Argonian,Hist,Hist,T1,PDV_Bless_Argonian_Hist_T1,true,true,PDV_Bless_Argonian_Hist_T1,SyncArgonianRewards,Argonian Hist T1
PASS,Argonian,Hist,Hist,T2,PDV_Bless_Argonian_Hist_T2,true,true,PDV_Bless_Argonian_Hist_T2,SyncArgonianRewards,Argonian Hist T2
PASS,Argonian,People,People,T1,PDV_Bless_Argonian_People_T1,true,true,PDV_Bless_Argonian_People_T1,SyncArgonianRewards,Argonian People T1
PASS,Argonian,People,People,T2,PDV_Bless_Argonian_People_T2,true,true,PDV_Bless_Argonian_People_T2,SyncArgonianRewards,Argonian People T2
PASS,Argonian,People,People,T3,PDV_Bless_Argonian_People_T3,true,true,PDV_Bless_Argonian_People_T3,SyncArgonianRewards,Argonian People T3
PASS,Argonian,Sithis,Sithis,T1,PDV_Bless_Argonian_Sithis_T1,true,true,PDV_Bless_Argonian_Sithis_T1,SyncArgonianRewards,Argonian Sithis T1
PASS,Argonian,Sithis,Sithis,T2,PDV_Bless_Argonian_Sithis_T2,true,true,PDV_Bless_Argonian_Sithis_T2,SyncArgonianRewards,Argonian Sithis T2
PASS,Argonian,Sithis,Sithis,T3,PDV_Bless_Argonian_Sithis_T3,true,true,PDV_Bless_Argonian_Sithis_T3,SyncArgonianRewards,Argonian Sithis T3
PASS,Bosmer,Bandit Road,Baan Dar,T1,PDV_Bless_Bosmer_BanditRoad_T1,true,true,PDV_Bless_Bosmer_BanditRoad_T1,SyncBosmerPathRewardFamily,BanditRoad
PASS,Bosmer,Bandit Road,Baan Dar,T2,PDV_Bless_Bosmer_BanditRoad_T2,true,true,PDV_Bless_Bosmer_BanditRoad_T2,SyncBosmerPathRewardFamily,BanditRoad
PASS,Bosmer,Bandit Road,Baan Dar,T3,PDV_Bless_Bosmer_BanditRoad_T3,true,true,PDV_Bless_Bosmer_BanditRoad_T3,SyncBosmerPathRewardFamily,BanditRoad
PASS,Bosmer,Exchange,Z'en,T1,PDV_Bless_Bosmer_Exchange_T1,true,true,PDV_Bless_Bosmer_Exchange_T1,SyncBosmerPathRewardFamily,Exchange
PASS,Bosmer,Exchange,Z'en,T2,PDV_Bless_Bosmer_Exchange_T2,true,true,PDV_Bless_Bosmer_Exchange_T2,SyncBosmerPathRewardFamily,Exchange
PASS,Bosmer,Exchange,Z'en,T3,PDV_Bless_Bosmer_Exchange_T3,true,true,PDV_Bless_Bosmer_Exchange_T3,SyncBosmerPathRewardFamily,Exchange
PASS,Bosmer,Living Story,Y'ffre,T1,PDV_Bless_Bosmer_LivingStory_T1,true,true,PDV_Bless_Bosmer_LivingStory_T1,SyncBosmerPathRewardFamily,LivingStory
PASS,Bosmer,Living Story,Y'ffre,T2,PDV_Bless_Bosmer_LivingStory_T2,true,true,PDV_Bless_Bosmer_LivingStory_T2,SyncBosmerPathRewardFamily,LivingStory
PASS,Bosmer,Living Story,Y'ffre,T3,PDV_Bless_Bosmer_LivingStory_T3,true,true,PDV_Bless_Bosmer_LivingStory_T3,SyncBosmerPathRewardFamily,LivingStory
PASS,Bosmer,Old Contract,Y'ffre,T1,PDV_Bless_Bosmer_OldContract_T1,true,true,PDV_Bless_Bosmer_OldContract_T1,SyncBosmerPathRewardFamily,OldContract
PASS,Bosmer,Old Contract,Y'ffre,T2,PDV_Bless_Bosmer_OldContract_T2,true,true,PDV_Bless_Bosmer_OldContract_T2,SyncBosmerPathRewardFamily,OldContract
