race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Molag Bal,Boon -- Seeker (Tier 1),10,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Bless_Daedric_Molag_Seeker,Boon description,Quiet,Narrator,140,200,115,,Passive blessing description; visible whenever the player views active effects.,Molag Bal's domination-edge settles in you. Coercive leverage comes more easily; hierarchy bends in your direction.,
Molag Bal,Boon -- Devoted (Tier 2),11,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Bless_Daedric_Molag_Devoted,Boon description,Quiet,Narrator,140,200,100,,Passive blessing description; visible whenever the player views active effects.,The grip deepens. Molag Bal's vampiric authority extends your reach -- the dominated stay dominated.,
Molag Bal,Boon -- Champion (Tier 3),12,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Bless_Daedric_Molag_Champion,Boon description,Quiet,Narrator,140,200,116,,Passive blessing description; visible whenever the player views active effects.,You carry the full weight of Molag Bal's domination. The hierarchy bends; resistance buckles; the leverage is yours.,
Molag Bal,Price -- Seeker (Tier 1),20,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Price_Daedric_Molag_Seeker,Price description,Quiet,Narrator,140,200,103,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price of the domination-path: the cruelty it asks of you will return. Those you bend do not forget.,
Molag Bal,Price -- Devoted (Tier 2),21,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Price_Daedric_Molag_Devoted,Price description,Quiet,Narrator,140,200,117,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price deepens: isolation of the predator. Those who sense Molag Bal's claim keep their distance or their silence.,
Molag Bal,Price -- Champion (Tier 3),22,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Price_Daedric_Molag_Champion,Price description,Quiet,Narrator,140,200,134,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: everything mediated through dominance. Molag Bal's Champion relates to others through leverage, and leverage corrodes.",
Molag Bal,Tier-up -- Seeker,30,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Notif_Daedric_Molag_SeekerEntry,Notification,Noted,Narrator,60,80,52,,HUD corner notification. One per save.,Molag Bal marks you a Seeker of the domination-path.,
Molag Bal,Tier-up -- Devoted,31,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Notif_Daedric_Molag_DevotedEntry,Notification,Marked,Narrator,60,80,34,,HUD corner notification. One per save.,Molag Bal's grip deepens. Devoted.,
Molag Bal,Tier-down (lapse),32,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Notif_Daedric_Molag_Lapse,Notification,Noted,Narrator,60,80,77,,HUD corner notification. One per direction per save.,Molag Bal's claim loosens. The domination-edge fades; the leverage withdraws.,
Molag Bal,Champion recognition (MessageBox),33,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Msg_Daedric_Molag_ChampionEntry,MessageBox,Marked,God-voice,280,500,22+276,,MessageBox. One-time on first Champion tier.,"Title: ""Molag Bal's Instrument"" Body: ""You have done it three times -- bent the will, taken the leverage, made the hierarchy work in your favor. That is the commitment. You are useful to me; in my terms, that is the closest thing to honor I extend. Use the domination well. Do not mistake it for permission to stop.""",
Molag Bal,Commitment / pact (the gate clears),40,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Msg_Daedric_Molag_Commitment,MessageBox,Marked,God-voice,280,500,17+274,,MessageBox. Fires once when commitment gate clears; curse-access reframe: player carries vampirism and has signaled three times.,"Title: ""Molag Bal's Touch"" Body: ""The thirst is in you, and you know what the thing under the hunger is: the hierarchy reflex, the dominance that makes sense now in a way it did not before the curse. That is mine. You chose to keep it three times when the cure was available. That is the commitment I record.""",
Molag Bal,Drifting away (neglect),60,"Molag Bal (Daedric path): Crushing, domination-absolute; cold contempt that occasionally warms when you are useful; does not persuade -- he states; the hierarchy is its own argument; speaks to those who understand that power over others is its own purpose; no warmth toward the player themselves, only toward their utility.",PDV_Notif_Daedric_Molag_NeglectTexture,Notification,Noted,Player-2nd,60,80,77,,HUD corner notification. One per lapse-band crossing.,You ease the grip. Molag Bal's domination-edge withdraws; the leverage fades.,
