act_tag,rows,reviewed,reason
show_mercy,12,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
defy_daedra,10,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
smite_corruption,7,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
show_compassion,6,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
honest_reckoning,5,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
pride_in_slaughter,4,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
abandon_the_suffering,3,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
honor_daedra,3,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
hope_for_the_fallen,3,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
show_humility,3,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
aid_kin,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
cleanse_undeath,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
honor_elven_dead,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
prove_worth,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
refuse_daedra,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
renounce_war,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
righteous_war,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
self_as_weapon,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
serve_daedra,2,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
abandon_the_beast,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
accept_fate,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
arcane_mastery,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
comfort_the_dying,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
comfort_the_grieving,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
cruelty,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
deny_a_second_chance,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
despair_of_the_fallen,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
dignity_in_death,1,no,"pre-existing 2026-08-09 seed: shipped through the ARR reconciliation lane before any tag was linted. NOT a ruling that the tag is correct -- it records that the row exists and has not been reviewed against Part A."
