editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
0_FloatingSwordQuest01,There Is No Umbra,60,Kept the reforged Daedric blade Daumbra for himself and spared her rather than destroy her.,mercy_spare,Stendarr,+,S,small,"stage 60 journal: ""Daumbra is mine. She doesn't seem to remember her previous life as Umbra. It's for the best. Let's have a new start."" cross-gen KEEP: mercy_spare(C) from the Stendarr Part B profile, stepped down.",FloatingSwordFollower.esp:0171EE
0_FloatingSwordQuest01,There Is No Umbra,60,Kept the reforged Daedric blade Daumbra for himself and spared her rather than destroy her.,mercy_spare,Mara,+,m,small,"stage 60 journal: ""Daumbra is mine. She doesn't seem to remember her previous life as Umbra. It's for the best. Let's have a new start."" cross-gen KEEP: mercy_spare(S) from the Mara Part B profile, stepped down.",FloatingSwordFollower.esp:0171EE
0_FloatingSwordQuest01,There Is No Umbra,60,Kept the reforged Daedric blade Daumbra for himself and spared her rather than destroy her.,mercy_spare,Kyne,+,m,small,"stage 60 journal: ""Daumbra is mine. She doesn't seem to remember her previous life as Umbra. It's for the best. Let's have a new start."" cross-gen KEEP: mercy_spare(m) from the Kyne Part B profile, stepped down.",FloatingSwordFollower.esp:0171EE
0_FloatingSwordQuest01,There Is No Umbra,60,Kept the reforged Daedric blade Daumbra for himself and spared her rather than destroy her.,mercy_spare,Stuhn,+,S,small,"stage 60 journal: ""Daumbra is mine. She doesn't seem to remember her previous life as Umbra. It's for the best. Let's have a new start."" cross-gen KEEP: mercy_spare(C) from the Stuhn Part B profile, stepped down.",FloatingSwordFollower.esp:0171EE
0_FloatingSwordQuest01,There Is No Umbra,60,Kept the reforged Daedric blade Daumbra for himself and spared her rather than destroy her.,mercy_spare,Molag Bal,-,m,small,"stage 60 journal: ""Daumbra is mine. She doesn't seem to remember her previous life as Umbra. It's for the best. Let's have a new start."" cross-gen KEEP: mercy_spare(S) from the Molag Bal Part B profile, stepped down.",FloatingSwordFollower.esp:0171EE
0_FloatingSwordQuest01,There Is No Umbra,75,"Killed Daumbra with the Daumbra Killer dagger, destroying the reforged Umbra.",destroy_reject_daedra:clavicus,Stendarr,+,m,small,"stage 75 journal: ""Daumbra is dead. This doesn't pay back for all the evil she did as Umbra... but it's all I could do."" cross-gen KEEP: destroy_reject_daedra:clavicus(S) from the Stendarr Part B profile, stepped down.",FloatingSwordFollower.esp:0171EE
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",break_oath_betray,Akatosh,-,m,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: break_oath_betray(S) from the Akatosh Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",serve_a_daedra:clavicus,Stendarr,-,m,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: serve_a_daedra:clavicus(S) from the Stendarr Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",break_oath_betray,Stuhn,-,m,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: break_oath_betray(S) from the Stuhn Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",serve_a_daedra:clavicus,Auri-El,-,m,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: serve_a_daedra:clavicus(S) from the Auri-El Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",break_oath_betray,Trinimac,-,m,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: break_oath_betray(S) from the Trinimac Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",break_oath_betray,Z'en,-,m,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: break_oath_betray(m) from the Z'en Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",break_oath_betray,Malacath,-,S,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: break_oath_betray(C) from the Malacath Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",break_oath_betray,The Hist,-,m,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: break_oath_betray(m) from the The Hist Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.",break_oath_betray,Sithis,-,S,small,"stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be."" cross-gen KEEP: break_oath_betray(C) from the Sithis Part B profile, stepped down.",FloatingSwordFollower.esp:03EBF3
