editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
Cow_Breathing,Rapture of the Deep,50,Learned Waterbreathing and tested it by diving into a sunken temple,disciplined_study,Julianos,+,C,milestone,"T15 direct raw-file read: s50 CompleteQuest/ShutDownStage says Tolfdir taught the spell and the player tested it by diving into a sunken temple for Arniel.",College Of Winterhold - Quest Expansion.esp:000801
Cow_Breathing,Rapture of the Deep,50,Learned Waterbreathing and tested it by diving into a sunken temple,disciplined_study,Magnus,+,C,milestone,"T15 direct raw-file read: s50 resolves the taught-and-tested Alteration lesson.",College Of Winterhold - Quest Expansion.esp:000801
Cow_restoration,None Escape The Light,25,Learned Restoration's valid use against the undead,"disciplined_study,slay_undead",Julianos,+,C,milestone,"T15 direct raw-file read: s25 CompleteQuest/ShutDownStage says the player learned Restoration is a useful and valid school against undead after dealing with Draugr in the Midden.",College Of Winterhold - Quest Expansion.esp:00086E
Cow_restoration,None Escape The Light,25,Learned Restoration's valid use against the undead,"disciplined_study,slay_undead",Magnus,+,C,milestone,"T15 direct raw-file read: s25 resolves the taught-and-tested Restoration lesson.",College Of Winterhold - Quest Expansion.esp:00086E
Cow_restoration,None Escape The Light,25,Learned Restoration's valid use against the undead,"disciplined_study,slay_undead",Arkay,+,C,milestone,"T15 direct raw-file read: objectives require dealing with Draugr and s25 explicitly validates Restoration against undead.",College Of Winterhold - Quest Expansion.esp:00086E
Cow_restoration,None Escape The Light,25,Learned Restoration's valid use against the undead,"disciplined_study,slay_undead",Meridia,+,C,milestone,"T15 direct raw-file read: objectives require dealing with Draugr and s25 explicitly validates Restoration against undead.",College Of Winterhold - Quest Expansion.esp:00086E
Cow_Conjuration,"I Choose You, Familiar",25,Learned to use a summoned familiar as a disciplined tactical tool,disciplined_study,Julianos,+,C,milestone,"T15 direct raw-file read: s25 CompleteQuest/ShutDownStage says all Conjuration spells serve a purpose and familiars create tactical openings or retreat windows.",College Of Winterhold - Quest Expansion.esp:00086F
Cow_Conjuration,"I Choose You, Familiar",25,Learned to use a summoned familiar as a disciplined tactical tool,disciplined_study,Magnus,+,C,milestone,"T15 direct raw-file read: s25 resolves the taught-and-tested Conjuration lesson without necromancy evidence.",College Of Winterhold - Quest Expansion.esp:00086F
Cow_Reading,Reading Comprehension 101,25,Passed Urag's test and learned to review source credibility,disciplined_study,Julianos,+,C,milestone,"T15 direct raw-file read: s25 CompleteQuest/ShutDownStage explicitly says the player passed Urag's test and learned the importance of reviewing source credibility.",College Of Winterhold - Quest Expansion.esp:000870
Cow_Reading,Reading Comprehension 101,25,Passed Urag's test and learned to review source credibility,disciplined_study,Xarxes,+,S,milestone,"T15 direct raw-file read: s25 explicitly resolves a book-reading and source-credibility lesson, matching the scribe's record/knowledge domain.",College Of Winterhold - Quest Expansion.esp:000870
